year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,11708,254,3692
2016,16103,254,4352
2017,16011,254,5119
2018,13014,252,4096
2019,13765,254,3629
2020,13636,254,4410
2021,13222,254,3879
2022,16592,254,4574
2023,23309,254,5873
2024,22537,254,5973
2025,17374,254,4568
