year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,10059,253,3167
2016,14637,254,4163
2017,15760,254,4861
2018,11363,254,3239
2019,11827,254,3362
2020,10935,254,3503
2021,12181,254,3593
2022,15113,254,4349
2023,20960,254,5169
2024,19702,254,5346
2025,16997,254,4434
