year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,8082,253,1991
2016,13115,254,2686
2017,12382,254,2780
2018,10707,249,2219
2019,12292,254,2243
2020,10784,254,2314
2021,9892,254,2220
2022,15448,254,2946
2023,19436,254,3566
2024,18520,254,3894
2025,12362,254,2423
