year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,8780,253,2137
2016,13467,254,2706
2017,12657,254,2858
2018,11618,250,2441
2019,12721,254,2335
2020,11239,254,2448
2021,10201,254,2293
2022,15777,254,3016
2023,19710,254,3596
2024,19079,254,4040
2025,12867,254,2493
