year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,7252,249,1727
2016,12679,254,2531
2017,11991,254,2670
2018,10712,252,2055
2019,11664,253,2246
2020,9724,254,1985
2021,10318,254,2362
2022,15129,254,2808
2023,18879,254,3425
2024,17098,254,3633
2025,12678,254,2456
