year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,7994,251,1880
2016,13451,254,2658
2017,12761,254,2812
2018,11283,254,2156
2019,12317,254,2349
2020,10151,254,2100
2021,10834,254,2461
2022,15642,254,2942
2023,19467,254,3550
2024,17926,254,3816
2025,13411,254,2564
