county_fips,county_name,year,heatwave_events_started,heatwave_days,first_event_start_date,last_event_end_date,longest_event_duration_days,event_durations,event_ids
48141,El Paso,2019,22,81,2019-01-10,2019-12-15,9,"2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,5,5,5,5,6,9",EL_2019_001;EL_2019_002;EL_2019_003;EL_2019_004;EL_2019_005;EL_2019_006;EL_2019_007;EL_2019_008;EL_2019_009;EL_2019_010;EL_2019_011;EL_2019_012;EL_2019_013;EL_2019_014;EL_2019_015;EL_2019_016;EL_2019_017;EL_2019_018;EL_2019_019;EL_2019_020;EL_2019_021;EL_2019_022
48141,El Paso,2020,20,63,2020-01-15,2020-11-23,7,"2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,6,7,7",EL_2020_001;EL_2020_002;EL_2020_003;EL_2020_004;EL_2020_005;EL_2020_006;EL_2020_007;EL_2020_008;EL_2020_009;EL_2020_010;EL_2020_011;EL_2020_012;EL_2020_013;EL_2020_014;EL_2020_015;EL_2020_016;EL_2020_017;EL_2020_018;EL_2020_019;EL_2020_020
48141,El Paso,2021,20,59,2021-01-29,2021-12-28,7,"2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,5,6,6,7",EL_2021_001;EL_2021_002;EL_2021_003;EL_2021_004;EL_2021_005;EL_2021_006;EL_2021_007;EL_2021_008;EL_2021_009;EL_2021_010;EL_2021_011;EL_2021_012;EL_2021_013;EL_2021_014;EL_2021_015;EL_2021_016;EL_2021_017;EL_2021_018;EL_2021_019;EL_2021_020
48141,El Paso,2022,14,45,2022-01-18,2023-01-02,9,"2,2,2,2,2,2,3,3,3,4,4,4,5,9",EL_2022_001;EL_2022_002;EL_2022_003;EL_2022_004;EL_2022_005;EL_2022_006;EL_2022_007;EL_2022_008;EL_2022_009;EL_2022_010;EL_2022_011;EL_2022_012;EL_2022_013;EL_2022_014
48141,El Paso,2023,22,94,2023-01-09,2023-12-23,13,"2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,11,12,13",EL_2023_001;EL_2023_002;EL_2023_003;EL_2023_004;EL_2023_005;EL_2023_006;EL_2023_007;EL_2023_008;EL_2023_009;EL_2023_010;EL_2023_011;EL_2023_012;EL_2023_013;EL_2023_014;EL_2023_015;EL_2023_016;EL_2023_017;EL_2023_018;EL_2023_019;EL_2023_020;EL_2023_021;EL_2023_022
48141,El Paso,2024,22,73,2024-01-23,2024-12-05,10,"2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,6,7,10",EL_2024_001;EL_2024_002;EL_2024_003;EL_2024_004;EL_2024_005;EL_2024_006;EL_2024_007;EL_2024_008;EL_2024_009;EL_2024_010;EL_2024_011;EL_2024_012;EL_2024_013;EL_2024_014;EL_2024_015;EL_2024_016;EL_2024_017;EL_2024_018;EL_2024_019;EL_2024_020;EL_2024_021;EL_2024_022
48141,El Paso,2025,27,110,2025-02-03,2025-12-28,11,"2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,6,9,9,11,11",EL_2025_001;EL_2025_002;EL_2025_003;EL_2025_004;EL_2025_005;EL_2025_006;EL_2025_007;EL_2025_008;EL_2025_009;EL_2025_010;EL_2025_011;EL_2025_012;EL_2025_013;EL_2025_014;EL_2025_015;EL_2025_016;EL_2025_017;EL_2025_018;EL_2025_019;EL_2025_020;EL_2025_021;EL_2025_022;EL_2025_023;EL_2025_024;EL_2025_025;EL_2025_026;EL_2025_027
48201,Harris (Houston),2015,18,54,2015-03-18,2015-12-26,10,"2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,10",HARRIS_2015_001;HARRIS_2015_002;HARRIS_2015_003;HARRIS_2015_004;HARRIS_2015_005;HARRIS_2015_006;HARRIS_2015_007;HARRIS_2015_008;HARRIS_2015_009;HARRIS_2015_010;HARRIS_2015_011;HARRIS_2015_012;HARRIS_2015_013;HARRIS_2015_014;HARRIS_2015_015;HARRIS_2015_016;HARRIS_2015_017;HARRIS_2015_018
48201,Harris (Houston),2016,21,102,2016-01-31,2016-12-28,17,"2,2,2,2,2,2,3,3,3,3,3,4,4,5,6,6,7,7,8,11,17",HARRIS_2016_001;HARRIS_2016_002;HARRIS_2016_003;HARRIS_2016_004;HARRIS_2016_005;HARRIS_2016_006;HARRIS_2016_007;HARRIS_2016_008;HARRIS_2016_009;HARRIS_2016_010;HARRIS_2016_011;HARRIS_2016_012;HARRIS_2016_013;HARRIS_2016_014;HARRIS_2016_015;HARRIS_2016_016;HARRIS_2016_017;HARRIS_2016_018;HARRIS_2016_019;HARRIS_2016_020;HARRIS_2016_021
48201,Harris (Houston),2017,28,103,2017-01-01,2017-12-20,12,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,7,7,8,9,12",HARRIS_2017_001;HARRIS_2017_002;HARRIS_2017_003;HARRIS_2017_004;HARRIS_2017_005;HARRIS_2017_006;HARRIS_2017_007;HARRIS_2017_008;HARRIS_2017_009;HARRIS_2017_010;HARRIS_2017_011;HARRIS_2017_012;HARRIS_2017_013;HARRIS_2017_014;HARRIS_2017_015;HARRIS_2017_016;HARRIS_2017_017;HARRIS_2017_018;HARRIS_2017_019;HARRIS_2017_020;HARRIS_2017_021;HARRIS_2017_022;HARRIS_2017_023;HARRIS_2017_024;HARRIS_2017_025;HARRIS_2017_026;HARRIS_2017_027;HARRIS_2017_028
