county_fips,county_name,calendar_month,analysis_year,threshold_value_f,n_reference_values,window_method,definition_id,percentile,reference_method
48061,Cameron (Brownsville),12,2017,72.20659119204286,1178,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),1,2018,69.46202144267143,1209,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),2,2018,72.71023647770001,1102,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),3,2018,76.2698245508,1209,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),4,2018,81.97568039215834,1170,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),5,2018,90.22643629998414,1209,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),6,2018,95.96482928893212,1170,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),7,2018,96.83333048178856,1209,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),8,2018,98.47210988447421,1209,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),9,2018,94.92774859351557,1170,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),10,2018,87.60504105940748,1209,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),11,2018,77.87302669935,1170,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),12,2018,72.21112203999999,1209,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),1,2019,69.43993158450355,1240,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),2,2019,72.921253702575,1130,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),3,2019,76.373359063375,1240,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),4,2019,81.319245304175,1200,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),5,2019,90.2986847496652,1240,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),6,2019,96.1763566886445,1200,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),7,2019,96.99000550812622,1240,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),8,2019,98.53167972420177,1240,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),9,2019,95.03655450120856,1200,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),10,2019,87.77606298828026,1240,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),11,2019,77.89158078032501,1200,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),12,2019,72.19549747248213,1240,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),1,2020,69.44345894167856,1271,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),2,2020,72.99610315275714,1158,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),3,2020,76.40918257714287,1271,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),4,2020,81.218387649675,1230,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),5,2020,90.54336107467128,1271,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),6,2020,96.28882480295992,1230,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),7,2020,97.18049801946098,1271,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
48061,Cameron (Brownsville),8,2020,98.96107939323184,1271,calendar_month_bucket,relMeanHI_p85_2d_walkforward,85,walk_forward_1979_to_Yminus1
