year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,7463,253,1669
2016,8751,253,1994
2017,9366,254,2249
2018,9135,252,1660
2019,7585,250,1556
2020,8976,253,2119
2021,7896,254,1737
2022,16965,254,2966
2023,21451,254,3437
2024,13990,254,2902
2025,13234,254,2530
