year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,8283,252,1830
2016,7921,254,1982
2017,9994,254,2369
2018,9338,252,1703
2019,7072,254,1439
2020,8506,254,1898
2021,7883,253,1735
2022,16786,254,2979
2023,20877,254,3209
2024,13592,254,2739
2025,14279,254,2748
