year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,7495,251,1703
2016,7262,253,1831
2017,9155,254,2207
2018,8755,252,1606
2019,6310,253,1302
2020,7811,254,1743
2021,7041,253,1589
2022,15987,254,2855
2023,20081,254,3058
2024,12652,254,2585
2025,13129,254,2612
