year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,7954,253,1773
2016,9180,253,2074
2017,9831,254,2317
2018,9611,252,1758
2019,8104,252,1675
2020,9602,254,2247
2021,8283,254,1818
2022,17636,254,3054
2023,21719,254,3474
2024,14424,254,2913
2025,13774,254,2640
