run_id,county_fips,ehf_assessment_period_start,ehf_assessment_period_end,event_duration_days,event_id,onset_year,seq,event_definition_type
48.0,48003,2017-07-29,2017-07-31,3,48_003_2017_004_EHF_TX_WALKFORWARD,2017,4,positive_ehf_assessment_period
49.0,48003,2018-05-28,2018-06-03,7,48_003_2018_001_EHF_TX_WALKFORWARD,2018,1,positive_ehf_assessment_period
50.0,48003,2018-06-07,2018-06-08,2,48_003_2018_002_EHF_TX_WALKFORWARD,2018,2,positive_ehf_assessment_period
51.0,48003,2018-06-12,2018-06-14,3,48_003_2018_003_EHF_TX_WALKFORWARD,2018,3,positive_ehf_assessment_period
52.0,48003,2018-06-24,2018-06-26,3,48_003_2018_004_EHF_TX_WALKFORWARD,2018,4,positive_ehf_assessment_period
53.0,48003,2018-07-19,2018-07-25,7,48_003_2018_005_EHF_TX_WALKFORWARD,2018,5,positive_ehf_assessment_period
54.0,48003,2018-07-30,2018-07-30,1,48_003_2018_006_EHF_TX_WALKFORWARD,2018,6,positive_ehf_assessment_period
55.0,48003,2018-08-27,2018-08-29,3,48_003_2018_007_EHF_TX_WALKFORWARD,2018,7,positive_ehf_assessment_period
56.0,48003,2019-06-21,2019-06-23,3,48_003_2019_001_EHF_TX_WALKFORWARD,2019,1,positive_ehf_assessment_period
57.0,48003,2019-07-18,2019-07-22,5,48_003_2019_002_EHF_TX_WALKFORWARD,2019,2,positive_ehf_assessment_period
58.0,48003,2019-08-02,2019-08-04,3,48_003_2019_003_EHF_TX_WALKFORWARD,2019,3,positive_ehf_assessment_period
59.0,48003,2019-08-07,2019-08-14,8,48_003_2019_004_EHF_TX_WALKFORWARD,2019,4,positive_ehf_assessment_period
60.0,48003,2019-08-17,2019-08-21,5,48_003_2019_005_EHF_TX_WALKFORWARD,2019,5,positive_ehf_assessment_period
61.0,48003,2019-08-26,2019-08-27,2,48_003_2019_006_EHF_TX_WALKFORWARD,2019,6,positive_ehf_assessment_period
62.0,48003,2020-06-29,2020-07-03,5,48_003_2020_001_EHF_TX_WALKFORWARD,2020,1,positive_ehf_assessment_period
63.0,48003,2020-07-09,2020-07-20,12,48_003_2020_002_EHF_TX_WALKFORWARD,2020,2,positive_ehf_assessment_period
64.0,48003,2020-07-29,2020-07-30,2,48_003_2020_003_EHF_TX_WALKFORWARD,2020,3,positive_ehf_assessment_period
65.0,48003,2020-08-06,2020-08-16,11,48_003_2020_004_EHF_TX_WALKFORWARD,2020,4,positive_ehf_assessment_period
66.0,48003,2020-08-29,2020-09-01,4,48_003_2020_005_EHF_TX_WALKFORWARD,2020,5,positive_ehf_assessment_period
67.0,48003,2021-06-09,2021-06-13,5,48_003_2021_001_EHF_TX_WALKFORWARD,2021,1,positive_ehf_assessment_period
68.0,48003,2021-06-25,2021-06-26,2,48_003_2021_002_EHF_TX_WALKFORWARD,2021,2,positive_ehf_assessment_period
69.0,48003,2021-07-26,2021-07-26,1,48_003_2021_003_EHF_TX_WALKFORWARD,2021,3,positive_ehf_assessment_period
70.0,48003,2021-08-10,2021-08-10,1,48_003_2021_004_EHF_TX_WALKFORWARD,2021,4,positive_ehf_assessment_period
71.0,48003,2022-05-17,2022-05-19,3,48_003_2022_001_EHF_TX_WALKFORWARD,2022,1,positive_ehf_assessment_period
72.0,48003,2022-05-30,2022-05-31,2,48_003_2022_002_EHF_TX_WALKFORWARD,2022,2,positive_ehf_assessment_period
73.0,48003,2022-06-07,2022-06-07,1,48_003_2022_003_EHF_TX_WALKFORWARD,2022,3,positive_ehf_assessment_period
74.0,48003,2022-06-11,2022-06-16,6,48_003_2022_004_EHF_TX_WALKFORWARD,2022,4,positive_ehf_assessment_period
75.0,48003,2022-06-25,2022-06-25,1,48_003_2022_005_EHF_TX_WALKFORWARD,2022,5,positive_ehf_assessment_period
76.0,48003,2022-07-07,2022-07-13,7,48_003_2022_006_EHF_TX_WALKFORWARD,2022,6,positive_ehf_assessment_period
77.0,48003,2022-07-18,2022-08-07,21,48_003_2022_007_EHF_TX_WALKFORWARD,2022,7,positive_ehf_assessment_period
78.0,48003,2023-06-20,2023-06-30,11,48_003_2023_001_EHF_TX_WALKFORWARD,2023,1,positive_ehf_assessment_period
79.0,48003,2023-07-07,2023-07-21,15,48_003_2023_002_EHF_TX_WALKFORWARD,2023,2,positive_ehf_assessment_period
80.0,48003,2023-07-24,2023-07-29,6,48_003_2023_003_EHF_TX_WALKFORWARD,2023,3,positive_ehf_assessment_period
81.0,48003,2023-08-01,2023-08-15,15,48_003_2023_004_EHF_TX_WALKFORWARD,2023,4,positive_ehf_assessment_period
82.0,48003,2023-08-17,2023-08-19,3,48_003_2023_005_EHF_TX_WALKFORWARD,2023,5,positive_ehf_assessment_period
83.0,48003,2023-09-05,2023-09-10,6,48_003_2023_006_EHF_TX_WALKFORWARD,2023,6,positive_ehf_assessment_period
84.0,48003,2024-06-08,2024-06-08,1,48_003_2024_001_EHF_TX_WALKFORWARD,2024,1,positive_ehf_assessment_period
85.0,48003,2024-06-17,2024-06-18,2,48_003_2024_002_EHF_TX_WALKFORWARD,2024,2,positive_ehf_assessment_period
86.0,48003,2024-06-25,2024-06-28,4,48_003_2024_003_EHF_TX_WALKFORWARD,2024,3,positive_ehf_assessment_period
87.0,48003,2024-07-01,2024-07-04,4,48_003_2024_004_EHF_TX_WALKFORWARD,2024,4,positive_ehf_assessment_period
88.0,48003,2024-07-17,2024-07-17,1,48_003_2024_005_EHF_TX_WALKFORWARD,2024,5,positive_ehf_assessment_period
89.0,48003,2024-07-31,2024-08-03,4,48_003_2024_006_EHF_TX_WALKFORWARD,2024,6,positive_ehf_assessment_period
90.0,48003,2024-08-08,2024-08-26,19,48_003_2024_007_EHF_TX_WALKFORWARD,2024,7,positive_ehf_assessment_period
91.0,48003,2025-08-06,2025-08-10,5,48_003_2025_001_EHF_TX_WALKFORWARD,2025,1,positive_ehf_assessment_period
92.0,48003,2025-08-16,2025-08-16,1,48_003_2025_002_EHF_TX_WALKFORWARD,2025,2,positive_ehf_assessment_period
93.0,48005,2015-07-20,2015-07-31,12,48_005_2015_001_EHF_TX_WALKFORWARD,2015,1,positive_ehf_assessment_period
94.0,48005,2015-08-06,2015-08-14,9,48_005_2015_002_EHF_TX_WALKFORWARD,2015,2,positive_ehf_assessment_period
95.0,48005,2016-07-05,2016-07-17,13,48_005_2016_001_EHF_TX_WALKFORWARD,2016,1,positive_ehf_assessment_period
96.0,48005,2016-07-21,2016-07-25,5,48_005_2016_002_EHF_TX_WALKFORWARD,2016,2,positive_ehf_assessment_period
97.0,48005,2016-08-01,2016-08-13,13,48_005_2016_003_EHF_TX_WALKFORWARD,2016,3,positive_ehf_assessment_period
98.0,48005,2017-07-21,2017-07-22,2,48_005_2017_001_EHF_TX_WALKFORWARD,2017,1,positive_ehf_assessment_period
99.0,48005,2017-08-12,2017-08-21,10,48_005_2017_002_EHF_TX_WALKFORWARD,2017,2,positive_ehf_assessment_period
100.0,48005,2018-06-03,2018-06-03,1,48_005_2018_001_EHF_TX_WALKFORWARD,2018,1,positive_ehf_assessment_period
101.0,48005,2018-06-13,2018-06-14,2,48_005_2018_002_EHF_TX_WALKFORWARD,2018,2,positive_ehf_assessment_period
102.0,48005,2018-06-23,2018-07-03,11,48_005_2018_003_EHF_TX_WALKFORWARD,2018,3,positive_ehf_assessment_period
103.0,48005,2018-07-17,2018-07-25,9,48_005_2018_004_EHF_TX_WALKFORWARD,2018,4,positive_ehf_assessment_period
104.0,48005,2018-07-29,2018-07-30,2,48_005_2018_005_EHF_TX_WALKFORWARD,2018,5,positive_ehf_assessment_period
105.0,48005,2018-08-17,2018-08-22,6,48_005_2018_006_EHF_TX_WALKFORWARD,2018,6,positive_ehf_assessment_period
106.0,48005,2019-07-18,2019-07-18,1,48_005_2019_001_EHF_TX_WALKFORWARD,2019,1,positive_ehf_assessment_period
107.0,48005,2019-08-08,2019-08-15,8,48_005_2019_002_EHF_TX_WALKFORWARD,2019,2,positive_ehf_assessment_period
108.0,48005,2019-08-18,2019-08-22,5,48_005_2019_003_EHF_TX_WALKFORWARD,2019,3,positive_ehf_assessment_period
109.0,48005,2019-08-26,2019-08-28,3,48_005_2019_004_EHF_TX_WALKFORWARD,2019,4,positive_ehf_assessment_period
110.0,48005,2020-07-02,2020-07-03,2,48_005_2020_001_EHF_TX_WALKFORWARD,2020,1,positive_ehf_assessment_period
111.0,48005,2020-07-10,2020-07-18,9,48_005_2020_002_EHF_TX_WALKFORWARD,2020,2,positive_ehf_assessment_period
112.0,48005,2020-08-08,2020-08-17,10,48_005_2020_003_EHF_TX_WALKFORWARD,2020,3,positive_ehf_assessment_period
113.0,48005,2020-08-30,2020-09-02,4,48_005_2020_004_EHF_TX_WALKFORWARD,2020,4,positive_ehf_assessment_period
114.0,48005,2021-06-25,2021-06-26,2,48_005_2021_001_EHF_TX_WALKFORWARD,2021,1,positive_ehf_assessment_period
115.0,48005,2021-07-26,2021-08-01,7,48_005_2021_002_EHF_TX_WALKFORWARD,2021,2,positive_ehf_assessment_period
116.0,48005,2021-08-10,2021-08-13,4,48_005_2021_003_EHF_TX_WALKFORWARD,2021,3,positive_ehf_assessment_period
117.0,48005,2021-08-21,2021-08-22,2,48_005_2021_004_EHF_TX_WALKFORWARD,2021,4,positive_ehf_assessment_period
118.0,48005,2021-08-25,2021-08-27,3,48_005_2021_005_EHF_TX_WALKFORWARD,2021,5,positive_ehf_assessment_period
119.0,48005,2021-09-01,2021-09-05,5,48_005_2021_006_EHF_TX_WALKFORWARD,2021,6,positive_ehf_assessment_period
120.0,48005,2022-06-10,2022-06-28,19,48_005_2022_001_EHF_TX_WALKFORWARD,2022,1,positive_ehf_assessment_period
121.0,48005,2022-07-04,2022-07-15,12,48_005_2022_002_EHF_TX_WALKFORWARD,2022,2,positive_ehf_assessment_period
122.0,48005,2022-07-17,2022-08-09,24,48_005_2022_003_EHF_TX_WALKFORWARD,2022,3,positive_ehf_assessment_period
123.0,48005,2022-08-13,2022-08-13,1,48_005_2022_004_EHF_TX_WALKFORWARD,2022,4,positive_ehf_assessment_period
124.0,48005,2022-08-15,2022-08-18,4,48_005_2022_005_EHF_TX_WALKFORWARD,2022,5,positive_ehf_assessment_period
125.0,48005,2023-06-16,2023-06-23,8,48_005_2023_001_EHF_TX_WALKFORWARD,2023,1,positive_ehf_assessment_period
126.0,48005,2023-06-25,2023-07-05,11,48_005_2023_002_EHF_TX_WALKFORWARD,2023,2,positive_ehf_assessment_period
127.0,48005,2023-07-10,2023-08-29,51,48_005_2023_003_EHF_TX_WALKFORWARD,2023,3,positive_ehf_assessment_period
128.0,48005,2023-09-05,2023-09-09,5,48_005_2023_004_EHF_TX_WALKFORWARD,2023,4,positive_ehf_assessment_period
129.0,48005,2024-06-24,2024-06-26,3,48_005_2024_001_EHF_TX_WALKFORWARD,2024,1,positive_ehf_assessment_period
130.0,48005,2024-06-29,2024-07-06,8,48_005_2024_002_EHF_TX_WALKFORWARD,2024,2,positive_ehf_assessment_period
131.0,48005,2024-07-17,2024-07-17,1,48_005_2024_003_EHF_TX_WALKFORWARD,2024,3,positive_ehf_assessment_period
132.0,48005,2024-07-31,2024-08-10,11,48_005_2024_004_EHF_TX_WALKFORWARD,2024,4,positive_ehf_assessment_period
133.0,48005,2024-08-14,2024-08-24,11,48_005_2024_005_EHF_TX_WALKFORWARD,2024,5,positive_ehf_assessment_period
134.0,48005,2025-07-21,2025-07-22,2,48_005_2025_001_EHF_TX_WALKFORWARD,2025,1,positive_ehf_assessment_period
135.0,48005,2025-07-24,2025-07-25,2,48_005_2025_002_EHF_TX_WALKFORWARD,2025,2,positive_ehf_assessment_period
136.0,48005,2025-07-29,2025-08-01,4,48_005_2025_003_EHF_TX_WALKFORWARD,2025,3,positive_ehf_assessment_period
137.0,48005,2025-08-09,2025-08-09,1,48_005_2025_004_EHF_TX_WALKFORWARD,2025,4,positive_ehf_assessment_period
138.0,48005,2025-08-15,2025-08-21,7,48_005_2025_005_EHF_TX_WALKFORWARD,2025,5,positive_ehf_assessment_period
139.0,48007,2015-07-24,2015-07-24,1,48_007_2015_001_EHF_TX_WALKFORWARD,2015,1,positive_ehf_assessment_period
140.0,48007,2015-08-06,2015-08-09,4,48_007_2015_002_EHF_TX_WALKFORWARD,2015,2,positive_ehf_assessment_period
141.0,48007,2015-08-13,2015-08-14,2,48_007_2015_003_EHF_TX_WALKFORWARD,2015,3,positive_ehf_assessment_period
142.0,48007,2016-06-14,2016-06-16,3,48_007_2016_001_EHF_TX_WALKFORWARD,2016,1,positive_ehf_assessment_period
143.0,48007,2016-07-04,2016-07-11,8,48_007_2016_002_EHF_TX_WALKFORWARD,2016,2,positive_ehf_assessment_period
144.0,48007,2016-07-13,2016-07-15,3,48_007_2016_003_EHF_TX_WALKFORWARD,2016,3,positive_ehf_assessment_period
145.0,48007,2016-08-07,2016-08-13,7,48_007_2016_004_EHF_TX_WALKFORWARD,2016,4,positive_ehf_assessment_period
146.0,48007,2016-09-06,2016-09-08,3,48_007_2016_005_EHF_TX_WALKFORWARD,2016,5,positive_ehf_assessment_period
147.0,48007,2017-06-21,2017-06-23,3,48_007_2017_001_EHF_TX_WALKFORWARD,2017,1,positive_ehf_assessment_period
148.0,48007,2017-07-01,2017-07-05,5,48_007_2017_002_EHF_TX_WALKFORWARD,2017,2,positive_ehf_assessment_period
149.0,48007,2017-07-23,2017-07-26,4,48_007_2017_003_EHF_TX_WALKFORWARD,2017,3,positive_ehf_assessment_period
150.0,48007,2017-07-31,2017-07-31,1,48_007_2017_004_EHF_TX_WALKFORWARD,2017,4,positive_ehf_assessment_period
151.0,48007,2017-08-06,2017-08-09,4,48_007_2017_005_EHF_TX_WALKFORWARD,2017,5,positive_ehf_assessment_period
152.0,48007,2017-08-12,2017-08-19,8,48_007_2017_006_EHF_TX_WALKFORWARD,2017,6,positive_ehf_assessment_period
153.0,48007,2018-06-12,2018-06-13,2,48_007_2018_001_EHF_TX_WALKFORWARD,2018,1,positive_ehf_assessment_period
154.0,48007,2018-08-13,2018-08-17,5,48_007_2018_002_EHF_TX_WALKFORWARD,2018,2,positive_ehf_assessment_period
155.0,48007,2019-06-22,2019-06-23,2,48_007_2019_001_EHF_TX_WALKFORWARD,2019,1,positive_ehf_assessment_period
156.0,48007,2019-07-13,2019-07-14,2,48_007_2019_002_EHF_TX_WALKFORWARD,2019,2,positive_ehf_assessment_period
157.0,48007,2019-07-17,2019-07-17,1,48_007_2019_003_EHF_TX_WALKFORWARD,2019,3,positive_ehf_assessment_period
158.0,48007,2019-08-08,2019-08-14,7,48_007_2019_004_EHF_TX_WALKFORWARD,2019,4,positive_ehf_assessment_period
