county_fips,year,month,classified_assessment_dates
48019,2018,8,7
48019,2019,7,3
48019,2019,8,27
48019,2019,9,4
48019,2019,10,1
48019,2020,7,19
48019,2020,8,14
48019,2020,9,3
48019,2021,8,1
48019,2021,9,1
48019,2022,5,1
48019,2022,6,17
48019,2022,7,27
48019,2022,8,12
48019,2023,6,16
48019,2023,7,25
48019,2023,8,26
48019,2023,9,8
48019,2024,5,3
48019,2024,6,8
48019,2024,7,8
48019,2024,8,24
48019,2025,8,11
48021,2015,7,5
48021,2015,8,13
48021,2016,7,17
48021,2016,8,8
48021,2017,6,4
48021,2017,7,24
48021,2017,8,11
48021,2018,6,1
48021,2018,7,14
48021,2018,8,15
48021,2019,7,7
48021,2019,8,25
48021,2020,7,12
48021,2020,8,14
48021,2020,9,2
48021,2021,9,2
48021,2022,6,20
48021,2022,7,26
48021,2022,8,12
48021,2023,6,14
48021,2023,7,25
48021,2023,8,29
48021,2023,9,10
48021,2024,5,2
48021,2024,6,4
48021,2024,7,5
48021,2024,8,18
48021,2024,9,2
48021,2025,6,3
48021,2025,7,2
48021,2025,8,12
48021,2025,9,1
48023,2015,7,8
48023,2015,8,6
48023,2016,7,10
48023,2016,8,10
48023,2017,7,8
48023,2018,6,5
48023,2018,7,12
48023,2018,8,7
48023,2018,9,1
48023,2019,8,14
48023,2020,7,10
48023,2020,8,11
48023,2021,8,3
48023,2022,5,1
48023,2022,6,7
48023,2022,7,22
48023,2022,8,9
48023,2023,6,6
48023,2023,7,12
48023,2023,8,25
48023,2023,9,6
48023,2024,6,5
48023,2024,7,7
48023,2024,8,21
48023,2025,7,2
48023,2025,8,3
48025,2015,8,3
48025,2016,7,5
48025,2016,8,6
48025,2017,7,2
48025,2017,8,12
48025,2018,6,8
48025,2018,8,1
48025,2019,7,1
48025,2019,8,22
48025,2020,7,10
48025,2020,8,6
48025,2020,9,5
48025,2022,6,5
48025,2022,7,5
48025,2022,8,5
48025,2023,6,17
48025,2023,7,26
48025,2023,8,26
48025,2023,9,13
48025,2024,5,1
48025,2024,6,7
48025,2024,8,4
48025,2025,8,17
48025,2025,9,3
48027,2015,7,3
48027,2015,8,14
48027,2016,7,13
48027,2016,8,11
48027,2017,7,10
48027,2017,8,6
48027,2018,6,4
48027,2018,7,20
48027,2018,8,13
48027,2019,8,18
48027,2020,7,17
48027,2020,8,16
48027,2020,9,1
48027,2022,6,14
48027,2022,7,27
48027,2022,8,15
48027,2023,6,14
48027,2023,7,25
48027,2023,8,28
48027,2023,9,10
48027,2024,6,4
48027,2024,7,5
48027,2024,8,22
48027,2025,8,4
48029,2015,7,6
48029,2015,8,18
48029,2015,9,6
48029,2016,7,22
48029,2016,8,8
48029,2017,6,1
48029,2017,7,17
48029,2017,8,9
48029,2018,6,3
48029,2018,7,9
48029,2018,8,6
48029,2019,8,23
48029,2020,7,11
48029,2020,8,10
48029,2020,9,2
48029,2022,6,7
48029,2022,7,21
48029,2022,8,5
48029,2023,6,12
48029,2023,7,19
48029,2023,8,27
48029,2023,9,8
48029,2024,5,3
48029,2024,6,7
48029,2024,7,6
48029,2024,8,19
48029,2025,7,1
48029,2025,8,12
48031,2015,8,12
48031,2015,9,1
48031,2016,7,19
48031,2016,8,12
48031,2017,6,1
48031,2017,7,11
48031,2017,8,3
48031,2018,6,3
48031,2018,7,15
48031,2018,8,2
48031,2019,8,22
48031,2020,7,12
48031,2020,8,15
48031,2020,9,4
48031,2021,9,2
48031,2022,5,2
48031,2022,6,19
48031,2022,7,31
48031,2022,8,20
48031,2023,6,16
48031,2023,7,31
48031,2023,8,29
48031,2023,9,16
48031,2024,5,1
48031,2024,6,6
48031,2024,7,6
48031,2024,8,27
48031,2025,8,9
48033,2015,7,1
48033,2015,8,9
48033,2016,7,13
48033,2016,8,6
48033,2017,6,3
48033,2017,7,5
48033,2018,5,5
48033,2018,6,9
48033,2018,7,9
48033,2018,8,5
48033,2019,7,8
48033,2019,8,20
48033,2020,6,2
48033,2020,7,16
48033,2020,8,16
48033,2021,8,1
48033,2022,5,6
48033,2022,6,10
48033,2022,7,27
48033,2022,8,9
48033,2023,6,9
48033,2023,7,17
48033,2023,8,22
48033,2023,9,6
48033,2024,6,5
48033,2024,7,7
48033,2024,8,22
48033,2025,8,6
48035,2015,8,10
48035,2016,7,2
48035,2016,8,9
48035,2017,7,3
48035,2018,6,1
48035,2018,7,15
48035,2019,8,11
48035,2020,7,4
48035,2020,8,8
48035,2020,9,1
48035,2022,6,6
48035,2022,7,22
48035,2022,8,10
48035,2023,6,10
48035,2023,7,21
48035,2023,8,31
48035,2023,9,9
48035,2024,6,3
48035,2024,7,4
48035,2024,8,13
48037,2015,7,10
48037,2015,8,8
48037,2016,7,12
48037,2016,8,8
48037,2017,7,3
48037,2018,6,2
48037,2018,7,11
48037,2018,8,6
48037,2019,8,13
48037,2019,9,2
48037,2020,7,2
48037,2021,7,3
48037,2021,8,5
48037,2022,6,4
48037,2022,7,24
48037,2022,8,7
48037,2023,6,1
48037,2023,7,8
48037,2023,8,22
48037,2023,9,2
48037,2024,6,3
48037,2024,7,7
48037,2024,8,8
48037,2025,7,8
48037,2025,8,8
48039,2015,7,18
48039,2015,8,20
48039,2016,6,10
48039,2016,7,27
48039,2016,8,17
48039,2016,9,13
48039,2017,6,2
48039,2017,7,17
48039,2017,8,13
48039,2018,6,7
48039,2018,7,10
48039,2018,8,13
48039,2019,6,3
48039,2019,7,13
48039,2019,8,16
48039,2020,6,2
48039,2020,7,15
48039,2020,8,20
48039,2020,9,5
48039,2021,6,5
48039,2021,8,8
48039,2021,9,2
48039,2022,6,8
48039,2022,7,22
48039,2022,8,7
48039,2023,6,15
48039,2023,7,23
48039,2023,8,31
48039,2023,9,8
48039,2024,5,1
48039,2024,6,5
48039,2024,7,7
48039,2024,8,23
48039,2025,6,3
48039,2025,7,4
48039,2025,8,5
48041,2015,7,2
48041,2015,8,14
48041,2016,7,15
48041,2016,8,11
48041,2017,7,14
48041,2017,8,12
48041,2018,6,1
48041,2018,7,11
48041,2018,8,12
48041,2019,6,1
48041,2019,7,4
48041,2019,8,24
48041,2019,9,3
48041,2020,7,12
48041,2020,8,12
48041,2020,9,2
48041,2021,8,1
48041,2021,9,3
48041,2022,6,23
48041,2022,7,30
48041,2022,8,18
48041,2023,6,16
48041,2023,7,28
48041,2023,8,31
48041,2023,9,16
48041,2024,6,1
48041,2024,7,3
48041,2024,8,16
48041,2025,5,1
48041,2025,6,2
48043,2015,6,1
48043,2015,7,5
48043,2015,8,7
48043,2016,6,5
48043,2016,7,15
48043,2016,8,6
48043,2017,6,10
48043,2017,7,4
48043,2018,5,4
48043,2018,6,15
48043,2018,7,5
48043,2019,5,1
48043,2019,7,2
48043,2019,8,19
48043,2020,6,3
48043,2020,7,12
48043,2020,8,14
48043,2020,9,2
48043,2021,6,13
48043,2022,5,5
48043,2022,6,10
48043,2022,7,16
48043,2022,8,5
48043,2023,6,17
48043,2023,7,22
48043,2023,8,18
48043,2023,9,7
48043,2024,5,4
48043,2024,6,18
48043,2024,7,8
48043,2024,8,20
48043,2025,5,1
48043,2025,6,8
48043,2025,8,4
48045,2015,7,11
48045,2015,8,4
48045,2016,6,3
48045,2016,7,17
48045,2016,8,8
48045,2017,6,4
48045,2017,7,5
48045,2018,5,2
48045,2018,6,7
48045,2018,7,16
48045,2018,8,6
48045,2018,9,2
48045,2019,7,7
48045,2019,8,19
48045,2020,6,2
48045,2020,7,18
48045,2020,8,13
48045,2021,6,8
48045,2021,7,1
48045,2021,8,7
48045,2021,9,3
48045,2022,5,3
48045,2022,6,11
48045,2022,7,29
48045,2022,8,12
48045,2023,6,4
48045,2023,7,15
48045,2023,8,19
48045,2023,9,1
48045,2024,6,9
48045,2024,7,15
48045,2024,8,26
