logged_utc,state,run_id,definition_id,def_number,git_commit,input_fingerprint,heatwave_days_QA_pooled,heatwave_events_QA_pooled,per_county_heatwave_days_median,runtime_seconds
2026-07-29T20:55:10Z,TX,TMIN_P85_3D__month_pm7,TMIN_P85_3D,13,9e49806,md5:f0276ee5888539f9,138124,27722,537.0,4.2
2026-07-29T20:55:16Z,TX,TMIN_P90_2D__month_pm7,TMIN_P90_2D,4,9e49806,md5:f0276ee5888539f9,115028,32499,444.0,6.0
2026-07-29T20:55:21Z,TX,TMIN_P90_3D__month_pm7,TMIN_P90_3D,11,9e49806,md5:f0276ee5888539f9,87272,18621,334.5,4.3
2026-07-29T20:55:25Z,TX,TMIN_P95_2D__month_pm7,TMIN_P95_2D,8,9e49806,md5:f0276ee5888539f9,56590,17579,213.5,3.8
2026-07-29T20:55:27Z,TX,TMIN_P95_3D__month_pm7,TMIN_P95_3D,15,9e49806,md5:f0276ee5888539f9,39412,8990,141.5,2.3
2026-07-29T20:56:19Z,TX,TMIN_P85_2D__w05,TMIN_P85_2D,6,9e49806,md5:f0276ee5888539f9,187198,49657,726.5,4.9
2026-07-29T20:56:23Z,TX,TMIN_P85_3D__w05,TMIN_P85_3D,13,9e49806,md5:f0276ee5888539f9,148116,30116,575.5,3.9
2026-07-29T20:56:26Z,TX,TMIN_P90_2D__w05,TMIN_P90_2D,4,9e49806,md5:f0276ee5888539f9,127906,36636,492.0,3.8
2026-07-29T20:56:29Z,TX,TMIN_P90_3D__w05,TMIN_P90_3D,11,9e49806,md5:f0276ee5888539f9,95876,20621,362.5,2.5
2026-07-29T20:56:32Z,TX,TMIN_P95_2D__w05,TMIN_P95_2D,8,9e49806,md5:f0276ee5888539f9,67525,21010,254.0,2.5
2026-07-29T20:56:33Z,TX,TMIN_P95_3D__w05,TMIN_P95_3D,15,9e49806,md5:f0276ee5888539f9,47099,10797,172.0,1.6
2026-07-29T20:57:24Z,TX,TMIN_P85_2D__w15,TMIN_P85_2D,6,9e49806,md5:f0276ee5888539f9,181444,48193,701.0,4.7
2026-07-29T20:57:28Z,TX,TMIN_P85_3D__w15,TMIN_P85_3D,13,9e49806,md5:f0276ee5888539f9,143020,28981,556.0,3.5
2026-07-29T20:57:31Z,TX,TMIN_P90_2D__w15,TMIN_P90_2D,4,9e49806,md5:f0276ee5888539f9,121777,34951,471.0,3.7
2026-07-29T20:57:34Z,TX,TMIN_P90_3D__w15,TMIN_P90_3D,11,9e49806,md5:f0276ee5888539f9,91133,19629,348.5,2.6
2026-07-29T20:57:36Z,TX,TMIN_P95_2D__w15,TMIN_P95_2D,8,9e49806,md5:f0276ee5888539f9,61496,19215,231.0,2.3
2026-07-29T20:57:38Z,TX,TMIN_P95_3D__w15,TMIN_P95_3D,15,9e49806,md5:f0276ee5888539f9,42638,9786,156.0,1.6
