county_fips,county_name,climate_division,climdiv_id,temperature_imputation_pct,fully_imputed_county,data_complete,report_card
48485,Wichita,Low Rolling Plains,4102,0.0,False,True,county_profiles/48485/fig08_report_card_48485.png
48487,Wilbarger,Low Rolling Plains,4102,100.0,True,False,county_profiles/48487/fig08_report_card_48487.png
48009,Archer,North Central,4103,89.4,False,False,county_profiles/48009/fig08_report_card_48009.png
48027,Bell,North Central,4103,0.1,False,True,county_profiles/48027/fig08_report_card_48027.png
48035,Bosque,North Central,4103,60.6,False,False,county_profiles/48035/fig08_report_card_48035.png
48049,Brown,North Central,4103,9.7,False,True,county_profiles/48049/fig08_report_card_48049.png
48059,Callahan,North Central,4103,0.0,False,True,county_profiles/48059/fig08_report_card_48059.png
48077,Clay,North Central,4103,100.0,True,False,county_profiles/48077/fig08_report_card_48077.png
48085,Collin,North Central,4103,0.0,False,True,county_profiles/48085/fig08_report_card_48085.png
48093,Comanche,North Central,4103,3.9,False,True,county_profiles/48093/fig08_report_card_48093.png
48097,Cooke,North Central,4103,0.6,False,True,county_profiles/48097/fig08_report_card_48097.png
48099,Coryell,North Central,4103,1.4,False,True,county_profiles/48099/fig08_report_card_48099.png
48113,Dallas,North Central,4103,0.0,False,True,county_profiles/48113/fig08_report_card_48113.png
48119,Delta,North Central,4103,100.0,True,False,county_profiles/48119/fig08_report_card_48119.png
48121,Denton,North Central,4103,0.0,False,True,county_profiles/48121/fig08_report_card_48121.png
48133,Eastland,North Central,4103,100.0,True,False,county_profiles/48133/fig08_report_card_48133.png
48139,Ellis,North Central,4103,0.3,False,True,county_profiles/48139/fig08_report_card_48139.png
48143,Erath,North Central,4103,0.9,False,True,county_profiles/48143/fig08_report_card_48143.png
48145,Falls,North Central,4103,88.7,False,False,county_profiles/48145/fig08_report_card_48145.png
48147,Fannin,North Central,4103,0.1,False,True,county_profiles/48147/fig08_report_card_48147.png
48181,Grayson,North Central,4103,0.0,False,True,county_profiles/48181/fig08_report_card_48181.png
48193,Hamilton,North Central,4103,61.0,False,False,county_profiles/48193/fig08_report_card_48193.png
48217,Hill,North Central,4103,0.0,False,True,county_profiles/48217/fig08_report_card_48217.png
48221,Hood,North Central,4103,0.5,False,True,county_profiles/48221/fig08_report_card_48221.png
48231,Hunt,North Central,4103,0.0,False,True,county_profiles/48231/fig08_report_card_48231.png
48237,Jack,North Central,4103,6.3,False,True,county_profiles/48237/fig08_report_card_48237.png
48251,Johnson,North Central,4103,0.1,False,True,county_profiles/48251/fig08_report_card_48251.png
48257,Kaufman,North Central,4103,0.6,False,True,county_profiles/48257/fig08_report_card_48257.png
48277,Lamar,North Central,4103,0.1,False,True,county_profiles/48277/fig08_report_card_48277.png
48293,Limestone,North Central,4103,69.3,False,False,county_profiles/48293/fig08_report_card_48293.png
48309,McLennan,North Central,4103,0.0,False,True,county_profiles/48309/fig08_report_card_48309.png
48331,Milam,North Central,4103,26.7,False,False,county_profiles/48331/fig08_report_card_48331.png
48333,Mills,North Central,4103,4.0,False,True,county_profiles/48333/fig08_report_card_48333.png
48337,Montague,North Central,4103,0.0,False,True,county_profiles/48337/fig08_report_card_48337.png
48349,Navarro,North Central,4103,0.0,False,True,county_profiles/48349/fig08_report_card_48349.png
48363,Palo Pinto,North Central,4103,1.6,False,True,county_profiles/48363/fig08_report_card_48363.png
48367,Parker,North Central,4103,0.2,False,True,county_profiles/48367/fig08_report_card_48367.png
48397,Rockwall,North Central,4103,25.0,False,False,county_profiles/48397/fig08_report_card_48397.png
48417,Shackelford,North Central,4103,0.1,False,True,county_profiles/48417/fig08_report_card_48417.png
48425,Somervell,North Central,4103,18.3,False,False,county_profiles/48425/fig08_report_card_48425.png
48429,Stephens,North Central,4103,1.7,False,True,county_profiles/48429/fig08_report_card_48429.png
48439,Tarrant,North Central,4103,0.0,False,True,county_profiles/48439/fig08_report_card_48439.png
48447,Throckmorton,North Central,4103,41.0,False,False,county_profiles/48447/fig08_report_card_48447.png
48491,Williamson,North Central,4103,0.0,False,True,county_profiles/48491/fig08_report_card_48491.png
48497,Wise,North Central,4103,0.1,False,True,county_profiles/48497/fig08_report_card_48497.png
48503,Young,North Central,4103,7.3,False,True,county_profiles/48503/fig08_report_card_48503.png
48001,Anderson,East Texas,4104,0.0,False,True,county_profiles/48001/fig08_report_card_48001.png
48005,Angelina,East Texas,4104,0.0,False,True,county_profiles/48005/fig08_report_card_48005.png
48037,Bowie,East Texas,4104,0.0,False,True,county_profiles/48037/fig08_report_card_48037.png
48041,Brazos,East Texas,4104,0.1,False,True,county_profiles/48041/fig08_report_card_48041.png
48063,Camp,East Texas,4104,82.5,False,False,county_profiles/48063/fig08_report_card_48063.png
48067,Cass,East Texas,4104,0.6,False,True,county_profiles/48067/fig08_report_card_48067.png
48073,Cherokee,East Texas,4104,0.2,False,True,county_profiles/48073/fig08_report_card_48073.png
48159,Franklin,East Texas,4104,4.4,False,True,county_profiles/48159/fig08_report_card_48159.png
48161,Freestone,East Texas,4104,100.0,True,False,county_profiles/48161/fig08_report_card_48161.png
48183,Gregg,East Texas,4104,0.1,False,True,county_profiles/48183/fig08_report_card_48183.png
48185,Grimes,East Texas,4104,100.0,True,False,county_profiles/48185/fig08_report_card_48185.png
48199,Hardin,East Texas,4104,1.3,False,True,county_profiles/48199/fig08_report_card_48199.png
48203,Harrison,East Texas,4104,0.0,False,True,county_profiles/48203/fig08_report_card_48203.png
48213,Henderson,East Texas,4104,0.0,False,True,county_profiles/48213/fig08_report_card_48213.png
48223,Hopkins,East Texas,4104,0.0,False,True,county_profiles/48223/fig08_report_card_48223.png
48225,Houston,East Texas,4104,0.1,False,True,county_profiles/48225/fig08_report_card_48225.png
48241,Jasper,East Texas,4104,5.7,False,True,county_profiles/48241/fig08_report_card_48241.png
48289,Leon,East Texas,4104,1.8,False,True,county_profiles/48289/fig08_report_card_48289.png
48313,Madison,East Texas,4104,7.1,False,True,county_profiles/48313/fig08_report_card_48313.png
48315,Marion,East Texas,4104,7.3,False,True,county_profiles/48315/fig08_report_card_48315.png
48339,Montgomery,East Texas,4104,0.0,False,True,county_profiles/48339/fig08_report_card_48339.png
48343,Morris,East Texas,4104,0.4,False,True,county_profiles/48343/fig08_report_card_48343.png
48347,Nacogdoches,East Texas,4104,1.1,False,True,county_profiles/48347/fig08_report_card_48347.png
48351,Newton,East Texas,4104,0.9,False,True,county_profiles/48351/fig08_report_card_48351.png
48365,Panola,East Texas,4104,1.8,False,True,county_profiles/48365/fig08_report_card_48365.png
48373,Polk,East Texas,4104,86.0,False,False,county_profiles/48373/fig08_report_card_48373.png
48379,Rains,East Texas,4104,0.5,False,True,county_profiles/48379/fig08_report_card_48379.png
48387,Red River,East Texas,4104,0.6,False,True,county_profiles/48387/fig08_report_card_48387.png
48395,Robertson,East Texas,4104,5.3,False,True,county_profiles/48395/fig08_report_card_48395.png
48401,Rusk,East Texas,4104,0.0,False,True,county_profiles/48401/fig08_report_card_48401.png
48403,Sabine,East Texas,4104,1.2,False,True,county_profiles/48403/fig08_report_card_48403.png
48405,San Augustine,East Texas,4104,9.2,False,True,county_profiles/48405/fig08_report_card_48405.png
48407,San Jacinto,East Texas,4104,100.0,True,False,county_profiles/48407/fig08_report_card_48407.png
48419,Shelby,East Texas,4104,54.8,False,False,county_profiles/48419/fig08_report_card_48419.png
48423,Smith,East Texas,4104,0.0,False,True,county_profiles/48423/fig08_report_card_48423.png
48449,Titus,East Texas,4104,2.4,False,True,county_profiles/48449/fig08_report_card_48449.png
48455,Trinity,East Texas,4104,100.0,True,False,county_profiles/48455/fig08_report_card_48455.png
48457,Tyler,East Texas,4104,0.0,False,True,county_profiles/48457/fig08_report_card_48457.png
48459,Upshur,East Texas,4104,0.0,False,True,county_profiles/48459/fig08_report_card_48459.png
48467,Van Zandt,East Texas,4104,1.7,False,True,county_profiles/48467/fig08_report_card_48467.png
48471,Walker,East Texas,4104,0.0,False,True,county_profiles/48471/fig08_report_card_48471.png
48473,Waller,East Texas,4104,100.0,True,False,county_profiles/48473/fig08_report_card_48473.png
48499,Wood,East Texas,4104,0.0,False,True,county_profiles/48499/fig08_report_card_48499.png
48043,Brewster,Trans-Pecos,4105,0.0,False,True,county_profiles/48043/fig08_report_card_48043.png
48103,Crane,Trans-Pecos,4105,2.8,False,True,county_profiles/48103/fig08_report_card_48103.png
48109,Culberson,Trans-Pecos,4105,0.0,False,True,county_profiles/48109/fig08_report_card_48109.png
48135,Ector,Trans-Pecos,4105,0.3,False,True,county_profiles/48135/fig08_report_card_48135.png
