county_fips,year,month,classified_dates
48039,2023,9,3
48039,2023,10,2
48039,2024,10,2
48039,2024,12,4
48039,2025,2,7
48039,2025,3,2
48039,2025,12,4
48041,2016,12,2
48041,2017,1,3
48041,2017,2,5
48041,2019,10,2
48041,2020,4,2
48041,2021,4,2
48041,2021,12,8
48041,2022,1,1
48041,2022,8,2
48041,2022,11,2
48041,2023,2,1
48041,2023,3,1
48041,2023,5,2
48041,2023,9,2
48041,2023,11,2
48041,2024,10,4
48041,2024,11,2
48041,2024,12,2
48041,2025,2,3
48041,2025,5,2
48041,2025,12,3
48043,2016,2,4
48043,2017,1,3
48043,2017,2,2
48043,2018,2,2
48043,2019,8,2
48043,2021,12,7
48043,2025,2,6
48043,2025,12,8
48045,2015,2,3
48045,2015,9,2
48045,2016,7,2
48045,2016,11,2
48045,2017,2,2
48045,2018,1,2
48045,2020,8,3
48045,2021,6,2
48045,2021,12,4
48045,2022,7,2
48045,2023,7,5
48045,2023,8,3
48045,2024,2,2
48045,2024,5,2
48045,2024,8,7
48045,2024,9,5
48045,2024,10,4
48045,2025,2,2
48045,2025,7,2
48045,2025,11,2
48045,2025,12,6
48047,2016,2,2
48047,2023,9,2
48049,2015,3,2
48049,2016,11,2
48049,2017,2,2
48049,2017,11,2
48049,2019,7,2
48049,2019,10,2
48049,2020,10,2
48049,2021,12,8
48049,2022,7,2
48049,2023,1,2
48049,2023,5,2
48049,2023,11,2
48049,2024,8,2
48049,2025,2,5
48049,2025,11,2
48049,2025,12,2
48051,2015,1,2
48051,2015,2,2
48051,2015,10,2
48051,2015,12,5
48051,2016,3,3
48051,2016,9,3
48051,2016,10,6
48051,2016,11,2
48051,2016,12,4
48051,2017,1,2
48051,2017,2,6
48051,2017,3,2
48051,2017,11,2
48051,2018,11,2
48051,2019,4,2
48051,2019,10,8
48051,2020,4,2
48051,2021,12,5
48051,2022,1,1
48051,2023,2,3
48051,2023,3,1
48051,2024,2,2
48051,2025,2,6
48051,2025,5,2
48051,2025,10,2
48051,2025,12,3
48053,2017,2,2
48053,2019,4,2
48053,2019,10,2
48053,2020,3,2
48053,2021,12,3
48053,2022,1,1
48053,2022,7,2
48053,2023,1,2
48053,2023,9,2
48053,2024,2,2
48053,2025,2,4
48053,2025,12,3
48055,2015,1,2
48055,2015,12,2
48055,2016,3,2
48055,2017,1,4
48055,2017,2,4
48055,2019,4,2
48055,2019,10,2
48055,2020,4,2
48055,2020,6,2
48055,2021,12,3
48055,2022,1,1
48055,2024,11,2
48055,2024,12,2
48055,2025,2,2
48055,2025,3,2
48055,2025,5,3
48055,2025,10,2
48057,2015,1,2
48057,2015,7,1
48057,2015,8,1
48057,2015,10,2
48057,2015,12,2
48057,2017,1,2
48057,2017,2,5
48057,2017,4,2
48057,2019,6,3
48057,2019,7,2
48057,2020,4,2
48057,2020,6,3
48057,2020,8,2
48057,2021,12,8
48057,2022,1,1
48057,2023,1,4
48057,2023,2,2
48057,2023,3,2
48057,2023,7,2
48057,2023,8,8
48057,2023,9,6
48057,2024,5,4
48057,2024,8,4
48057,2024,10,2
48057,2024,12,7
48057,2025,2,4
48057,2025,3,2
48057,2025,11,2
48057,2025,12,5
48059,2016,2,2
48059,2017,3,2
48059,2020,5,2
48059,2021,10,3
48059,2021,12,11
48059,2022,7,2
48059,2023,1,2
48059,2023,11,2
48059,2024,2,2
48059,2024,8,2
48059,2025,2,3
48059,2025,9,2
48059,2025,11,5
48059,2025,12,6
48061,2015,10,2
48061,2015,12,3
48061,2016,1,1
48061,2016,2,1
48061,2016,9,4
48061,2016,10,2
48061,2017,2,4
48061,2017,6,8
48061,2017,11,3
48061,2018,3,2
48061,2018,5,6
48061,2018,6,5
48061,2018,7,7
48061,2019,7,3
48061,2019,8,6
48061,2019,10,2
48061,2020,7,2
48061,2021,1,2
48061,2022,5,2
48061,2022,7,8
48061,2023,2,2
48061,2023,6,8
48061,2023,7,13
48061,2023,8,16
48061,2023,9,13
48061,2024,5,3
48061,2025,10,3
48061,2025,11,2
48063,2015,1,3
48063,2015,3,4
48063,2015,6,2
48063,2015,7,2
48063,2015,8,2
48063,2015,12,6
48063,2016,3,2
48063,2016,4,2
48063,2016,8,4
48063,2017,1,5
48063,2017,2,5
48063,2017,3,2
48063,2020,4,2
48063,2021,12,2
48063,2023,1,2
48063,2023,2,2
48063,2024,2,2
48063,2024,10,2
48063,2025,2,3
48063,2025,11,3
48063,2025,12,3
48065,2015,2,2
48065,2016,1,2
48065,2016,10,3
48065,2017,2,3
48065,2020,5,2
48065,2021,12,6
48065,2023,7,2
48065,2024,2,2
48065,2025,2,2
48065,2025,11,2
48065,2025,12,6
48067,2015,1,2
48067,2015,12,2
48067,2016,2,2
48067,2016,3,2
48067,2016,7,2
48067,2016,10,1
48067,2016,11,3
48067,2017,3,2
48067,2017,10,4
48067,2019,10,4
48067,2020,3,2
48067,2020,4,2
48067,2021,12,8
48067,2022,5,2
48067,2023,8,2
48067,2023,9,2
48067,2024,2,3
48067,2025,2,4
48067,2025,10,2
48067,2025,11,3
48067,2025,12,3
48069,2015,2,4
48069,2016,11,2
48069,2017,2,2
48069,2017,3,3
48069,2018,1,2
48069,2020,5,2
48069,2023,7,5
48069,2024,2,2
48069,2025,2,5
48069,2025,12,8
48071,2015,8,3
48071,2015,12,2
48071,2017,12,2
48071,2018,3,2
48071,2018,5,2
48071,2021,12,4
48071,2022,1,1
48071,2022,12,4
48071,2023,2,2
48071,2023,3,1
48071,2025,2,6
48071,2025,12,4
48073,2015,1,2
48073,2015,10,2
48073,2016,11,2
48073,2017,1,4
48073,2017,2,2
48073,2017,10,2
48073,2021,12,9
48073,2022,1,2
48073,2023,3,2
48073,2025,2,5
48073,2025,12,2
48075,2015,1,2
48075,2015,2,4
48075,2016,2,3
48075,2016,7,2
48075,2016,10,2
48075,2016,11,4
48075,2017,2,2
48075,2017,3,3
48075,2019,12,2
48075,2020,3,2
48075,2020,5,2
48075,2021,12,6
48075,2022,5,2
48075,2023,1,2
48075,2023,7,2
48075,2023,8,2
48075,2023,11,2
48075,2024,2,2
48075,2025,11,2
48075,2025,12,6
48077,2016,11,2
48077,2017,1,2
48077,2017,2,2
48077,2017,3,3
48077,2020,5,2
48077,2021,12,4
48077,2023,1,2
48077,2023,2,2
48077,2023,11,2
48077,2024,2,2
48077,2025,11,5
48077,2025,12,6
48079,2015,2,2
48079,2015,9,2
48079,2016,2,3
48079,2016,7,4
48079,2017,2,4
48079,2017,3,3
48079,2020,7,2
48079,2020,10,2
48079,2021,12,4
48079,2024,9,2
48079,2025,2,5
48079,2025,11,3
48079,2025,12,8
48081,2015,12,2
48081,2017,3,2
48081,2021,12,9
48081,2023,1,2
48081,2025,2,4
48081,2025,12,3
48083,2015,3,2
48083,2015,12,5
48083,2016,1,2
48083,2016,2,1
48083,2016,10,2
48083,2017,1,2
48083,2017,2,4
48083,2017,3,3
48083,2017,11,2
48083,2020,5,2
48083,2021,10,2
48083,2021,12,8
48083,2022,7,2
48083,2023,9,2
48083,2023,11,2
48083,2024,2,2
48083,2024,8,2
48083,2024,12,2
48083,2025,2,3
48083,2025,11,6
48083,2025,12,7
48085,2015,1,2
48085,2016,3,2
48085,2016,10,2
48085,2017,1,4
48085,2017,2,1
48085,2017,11,2
48085,2017,12,2
48085,2019,4,2
48085,2020,3,4
48085,2020,12,2
48085,2021,12,10
48085,2023,1,4
48085,2023,4,2
48085,2024,2,2
48085,2024,5,2
48085,2025,5,2
48085,2025,11,3
48085,2025,12,6
48087,2015,1,2
48087,2015,2,2
48087,2016,1,2
48087,2016,2,2
48087,2016,10,8
48087,2016,11,2
48087,2017,2,2
48087,2017,11,3
48087,2017,12,2
48087,2018,2,2
48087,2021,12,4
48087,2024,2,2
48087,2025,2,2
48087,2025,12,6
48089,2016,10,3
48089,2022,1,2
48089,2023,2,1
48089,2023,3,1
48089,2024,10,2
48089,2025,3,2
48091,2015,1,2
48091,2016,3,2
48091,2016,12,2
48091,2017,1,3
48091,2017,2,6
48091,2017,11,2
48091,2019,10,2
48091,2020,4,2
48091,2021,12,2
48091,2022,1,1
48091,2022,7,2
48091,2025,5,2
48091,2025,11,2
48091,2025,12,6
48093,2019,2,2
48093,2020,5,2
48093,2021,10,2
48093,2021,12,8
48093,2022,5,3
48093,2022,7,3
48093,2023,1,4
48093,2023,5,2
48093,2023,6,4
48093,2023,7,4
48093,2023,9,2
48093,2024,6,10
48093,2024,7,2
48093,2024,8,9
48093,2024,9,3
48093,2024,12,2
48093,2025,2,6
48093,2025,5,2
48093,2025,7,2
48093,2025,9,2
48093,2025,11,8
48093,2025,12,6
48095,2016,1,1
48095,2016,2,2
48095,2016,10,2
48095,2016,12,2
48095,2017,1,2
48095,2017,11,2
48095,2019,12,2
48095,2021,12,9
48095,2022,7,2
48095,2023,1,2
48095,2023,9,2
48095,2023,11,2
48095,2024,2,2
48095,2024,4,2
48095,2025,2,4
48095,2025,9,2
48095,2025,11,7
48095,2025,12,4
48097,2017,1,1
48097,2017,2,1
48097,2017,3,2
48097,2017,12,2
48097,2020,3,2
48097,2021,12,8
48097,2023,1,3
48097,2023,2,2
48097,2024,2,2
48097,2024,10,2
48097,2025,2,2
48097,2025,11,2
48097,2025,12,6
48099,2016,1,2
48099,2016,3,2
48099,2016,9,2
48099,2016,12,2
48099,2017,2,4
48099,2019,4,2
48099,2020,3,2
48099,2020,4,2
48099,2021,4,2
48099,2021,12,6
48099,2023,1,4
48099,2024,2,2
48099,2025,2,5
48099,2025,11,4
48099,2025,12,5
48101,2015,2,2
48101,2015,7,2
48101,2016,2,2
48101,2016,7,4
48101,2016,10,2
48101,2016,11,4
48101,2017,3,4
48101,2020,12,2
48101,2021,11,2
48101,2021,12,6
48101,2023,8,2
48101,2023,11,3
48101,2024,2,2
48101,2025,11,2
48101,2025,12,6
48103,2015,8,2
48103,2016,2,2
48103,2016,10,4
48103,2016,12,2
48103,2017,1,3
48103,2017,2,2
48103,2017,3,2
48103,2017,6,2
48103,2017,10,2
48103,2017,11,2
48103,2018,7,2
48103,2019,6,2
48103,2019,8,2
48103,2019,12,2
48103,2021,12,7
48103,2022,8,2
48103,2023,9,2
48103,2023,11,3
48103,2024,2,2
48103,2024,5,2
48103,2024,7,2
48103,2024,10,2
48103,2024,11,2
48103,2024,12,1
48103,2025,1,1
48103,2025,2,7
48103,2025,6,2
48103,2025,12,8
48105,2015,10,2
48105,2015,12,4
48105,2016,1,1
48105,2016,2,1
48105,2016,7,3
48105,2016,10,3
48105,2017,2,2
48105,2018,7,2
48105,2019,12,2
48105,2021,12,9
48105,2022,7,2
48105,2023,1,2
48105,2024,2,3
48105,2024,12,2
48105,2025,2,7
48105,2025,11,7
48105,2025,12,4
48107,2016,1,2
48107,2016,2,3
48107,2016,7,4
48107,2016,10,2
48107,2017,2,4
48107,2017,3,2
48107,2017,6,3
48107,2017,7,1
48107,2017,11,2
48107,2018,2,2
48107,2018,5,2
48107,2018,6,2
48107,2020,7,2
48107,2020,8,4
48107,2021,12,6
48107,2022,5,2
48107,2023,1,2
48107,2023,7,3
48107,2023,8,2
48107,2024,8,2
48107,2024,9,2
48107,2024,10,2
48107,2025,2,5
48107,2025,11,2
48107,2025,12,5
48109,2016,2,3
48109,2017,3,3
48109,2025,2,5
