stratum,stratum_label,construct_id,counties,median_annual_classified_days,p25_annual_classified_days,p75_annual_classified_days,median_annual_event_count,median_cumulative_classified_days,classified_days_per_1000_valid,warm_season_rate_per_1000,shoulder_rate_per_1000,cool_season_rate_per_1000,pct_days_june_september,long_events_per_100_county_years,pct_classified_days_imputed
all_counties,All counties,HYB_TX_P85_D2_A90_W15,254,23.0,11.0,42.0,6.0,315.5,80.302,174.642,110.202,6.583,72.64,15.748,15.3
all_counties,All counties,HYB_TX_P85_D3_A80_W15,254,28.0,16.0,49.0,6.0,365.0,96.718,151.584,140.884,44.687,52.35,16.679,15.7
all_counties,All counties,HYB_TX_P85_D3_A90_W15,254,18.0,7.0,36.0,4.0,255.0,66.674,151.264,87.365,2.667,75.77,15.748,15.83
all_counties,All counties,HYB_TX_P85_D5_A80_W15,254,15.0,6.0,31.0,2.0,226.0,61.113,109.972,90.747,18.094,60.1,16.679,15.83
all_counties,All counties,HYB_TX_P85_D5_A90_W15,254,11.0,0.0,24.0,2.0,174.0,46.549,109.784,56.163,0.703,78.77,15.748,15.96
all_counties,All counties,HYB_TX_P90_D2_A80_W15,254,25.0,15.0,42.0,8.0,326.0,86.176,119.539,118.497,52.668,46.33,8.125,14.37
all_counties,All counties,HYB_TX_P90_D2_A90_W15,254,14.0,6.0,29.0,4.0,218.0,56.786,119.448,83.641,5.428,70.26,7.874,14.38
all_counties,All counties,HYB_TX_P90_D3_A80_W15,254,18.0,9.0,32.0,4.0,236.5,64.839,100.725,92.999,31.056,51.89,8.125,14.84
all_counties,All counties,HYB_TX_P90_D3_A90_W15,254,11.0,3.0,23.75,2.0,168.0,45.512,100.64,63.939,2.107,73.86,7.874,14.94
all_counties,All counties,HYB_TX_P90_D5_A80_W15,254,8.0,0.0,18.0,1.0,134.0,37.772,67.888,54.564,11.76,60.03,8.125,15.15
all_counties,All counties,HYB_TX_P90_D5_A90_W15,254,5.0,0.0,15.0,1.0,105.5,29.336,67.868,37.863,0.486,77.27,7.874,15.32
all_counties,All counties,REL_TX_P80_D2_W15,254,71.0,54.0,95.0,19.0,815.5,209.097,228.813,225.674,190.159,36.55,26.199,16.7
all_counties,All counties,REL_TX_P80_D3_W15,254,54.0,40.0,79.0,11.0,651.0,168.499,203.533,188.994,137.91,40.34,26.199,17.17
all_counties,All counties,REL_TX_P80_D5_W15,254,31.0,20.0,51.0,4.0,394.5,104.959,154.045,129.806,63.425,49.02,26.199,17.23
all_counties,All counties,REL_TX_P85_D2_W15,254,51.0,38.0,73.0,15.0,617.0,157.759,175.027,173.165,140.867,37.06,16.714,16.01
all_counties,All counties,REL_TX_P85_D3_W15,254,38.0,27.0,57.0,8.0,470.5,122.296,151.584,141.092,96.157,41.4,16.714,16.47
all_counties,All counties,REL_TX_P85_D5_W15,254,20.0,12.0,34.0,3.0,273.0,72.767,109.972,90.869,41.536,50.48,16.714,16.44
all_counties,All counties,REL_TX_P90_D2_W15,254,33.0,24.0,49.0,10.0,403.0,106.175,119.539,118.532,92.954,37.6,8.125,15.25
all_counties,All counties,REL_TX_P90_D3_W15,254,23.0,15.0,36.0,5.0,297.5,79.127,100.725,93.045,59.831,42.52,8.125,15.69
all_counties,All counties,REL_TX_P90_D5_W15,254,12.0,5.0,21.0,2.0,162.5,44.162,67.888,54.627,24.615,51.34,8.125,15.85
any_observed,Counties with any observed temperature,ABS_TX_A80_D2,232,184.0,168.0,206.0,13.0,2040.5,518.28,967.965,694.756,155.274,62.38,199.569,10.15
any_observed,Counties with any observed temperature,ABS_TX_A80_D3,232,177.0,160.0,199.0,10.0,1952.0,497.809,965.623,668.495,124.583,64.79,199.569,10.25
any_observed,Counties with any observed temperature,ABS_TX_A80_D5,232,164.0,149.0,186.0,6.0,1817.5,463.209,960.693,603.562,80.388,69.27,199.569,10.34
