,TX-P80-D2,TX-P80-D3,TX-P80-D5,TX-P85-D2,TX-P85-D3,TX-P85-D5,TX-P90-D2,TX-P90-D3,TX-P90-D5,TX-P80-D2+A80,TX-P80-D2+A90,TX-P80-D3+A80,TX-P80-D3+A90,TX-P80-D5+A80,TX-P80-D5+A90,TX-P85-D2+A80,TX-P85-D2+A90,TX-P85-D3+A80,TX-P85-D3+A90,TX-P85-D5+A80,TX-P85-D5+A90,TX-P90-D2+A80,TX-P90-D2+A90,TX-P90-D3+A80,TX-P90-D3+A90,TX-P90-D5+A80,TX-P90-D5+A90,TX->80-D2,TX->90-D2,TX->80-D3,TX->90-D3,TX->80-D5,TX->90-D5
TX-P85-D5+A90,0.2226,0.2763,0.4435,0.2951,0.3806,0.6397,0.3233,0.3974,0.4782,0.2954,0.4581,0.363,0.5353,0.5444,0.7312,0.3778,0.5797,0.4813,0.6982,0.7617,1.0,0.391,0.5651,0.4724,0.6345,0.5338,0.6302,0.0899,0.1693,0.0935,0.1774,0.1003,0.193
TX-P90-D2+A80,0.4121,0.4518,0.4494,0.5463,0.5641,0.4764,0.8116,0.6713,0.4307,0.5468,0.4335,0.5486,0.4271,0.4815,0.3864,0.6995,0.5177,0.6588,0.4881,0.4964,0.391,1.0,0.659,0.7524,0.5281,0.4383,0.3404,0.1661,0.1866,0.1585,0.1802,0.1461,0.1762
TX-P90-D2+A90,0.2716,0.315,0.3799,0.36,0.4074,0.4326,0.5348,0.5221,0.428,0.3603,0.5589,0.4118,0.5636,0.4552,0.5307,0.4609,0.7072,0.5099,0.6837,0.4963,0.5651,0.659,1.0,0.6216,0.8015,0.4706,0.5166,0.1096,0.2065,0.1137,0.2001,0.1202,0.197
TX-P90-D3+A80,0.3101,0.3848,0.4585,0.411,0.5302,0.5385,0.6107,0.8194,0.552,0.4114,0.3891,0.5056,0.4283,0.5159,0.431,0.5263,0.4732,0.6704,0.5292,0.586,0.4724,0.7524,0.6216,1.0,0.7019,0.5825,0.4524,0.1251,0.159,0.1301,0.1616,0.123,0.1602
TX-P90-D3+A90,0.2177,0.2701,0.3664,0.2885,0.3721,0.4526,0.4286,0.5752,0.5012,0.2888,0.4479,0.3549,0.5234,0.445,0.5492,0.3694,0.5668,0.4706,0.6826,0.5281,0.6345,0.5281,0.8015,0.7019,1.0,0.5612,0.6446,0.0879,0.1655,0.0914,0.1735,0.0977,0.1729
TX-P90-D5+A80,0.1806,0.2242,0.3599,0.2394,0.3089,0.5191,0.3558,0.4774,0.8553,0.2397,0.2773,0.2945,0.3158,0.4418,0.4071,0.3066,0.3446,0.3905,0.4018,0.6181,0.5338,0.4383,0.4706,0.5825,0.5612,1.0,0.7766,0.0729,0.1071,0.0758,0.1108,0.0814,0.1176
TX-P90-D5+A90,0.1403,0.1741,0.2795,0.186,0.2399,0.4031,0.2763,0.3707,0.6643,0.1861,0.2887,0.2287,0.3374,0.3431,0.4608,0.2381,0.3653,0.3033,0.44,0.48,0.6302,0.3404,0.5166,0.4524,0.6446,0.7766,1.0,0.0566,0.1067,0.0589,0.1118,0.0632,0.1216
TX->80-D2,0.2763,0.2377,0.167,0.2226,0.1834,0.1204,0.1599,0.1249,0.075,0.3038,0.1961,0.2474,0.1678,0.165,0.1229,0.2375,0.155,0.1866,0.1287,0.1179,0.0899,0.1661,0.1096,0.1251,0.0879,0.0729,0.0566,1.0,0.5308,0.9613,0.5065,0.8955,0.4656
TX->90-D2,0.2657,0.2527,0.2133,0.2279,0.2082,0.1619,0.1751,0.1516,0.1047,0.307,0.3695,0.2851,0.3162,0.2273,0.2315,0.2526,0.292,0.2258,0.2425,0.1684,0.1693,0.1866,0.2065,0.159,0.1655,0.1071,0.1067,0.5308,1.0,0.5514,0.9542,0.5879,0.8771
TX->80-D3,0.263,0.238,0.1707,0.212,0.1845,0.1235,0.1525,0.1265,0.077,0.2896,0.2035,0.2572,0.1746,0.1716,0.1278,0.2264,0.1608,0.194,0.1339,0.1227,0.0935,0.1585,0.1137,0.1301,0.0914,0.0758,0.0589,0.9613,0.5514,1.0,0.5269,0.9316,0.4843
TX->90-D3,0.2552,0.2528,0.2175,0.2192,0.2097,0.1661,0.1688,0.1538,0.1082,0.2958,0.3575,0.2864,0.3314,0.2325,0.2426,0.2436,0.2827,0.228,0.2541,0.1731,0.1774,0.1802,0.2001,0.1616,0.1735,0.1108,0.1118,0.5065,0.9542,0.5269,1.0,0.5646,0.9192
TX->80-D5,0.2405,0.2213,0.1768,0.1942,0.1725,0.1284,0.1403,0.1194,0.0803,0.2657,0.216,0.24,0.1869,0.1842,0.1372,0.208,0.1704,0.1818,0.1433,0.1316,0.1003,0.1461,0.1202,0.123,0.0977,0.0814,0.0632,0.8955,0.5879,0.9316,0.5646,1.0,0.5199
TX->90-D5,0.2434,0.2442,0.2254,0.2109,0.2048,0.1741,0.1644,0.152,0.1146,0.2837,0.3461,0.2782,0.3246,0.2421,0.264,0.2356,0.2757,0.2237,0.251,0.1821,0.193,0.1762,0.197,0.1602,0.1729,0.1176,0.1216,0.4656,0.8771,0.4843,0.9192,0.5199,1.0
