state,variable,year,contributing_counties,median_across_counties_f,p25_across_counties_f,p75_across_counties_f,series
MS,Tmax,2013,53,73.897,72.099,75.797,all_reporting_counties
MS,Tmax,2014,56,73.588,71.128,75.718,all_reporting_counties
MS,Tmax,2015,52,76.101,73.936,78.211,all_reporting_counties
MS,Tmax,2016,50,77.335,75.961,78.983,all_reporting_counties
MS,Tmax,2017,46,76.894,75.168,78.414,all_reporting_counties
MS,Tmax,2018,34,76.348,73.664,77.88,all_reporting_counties
MS,Tmax,2019,34,76.876,74.526,78.206,all_reporting_counties
MS,Tmax,2020,33,76.221,74.032,78.189,all_reporting_counties
MS,Tmax,2021,34,76.236,75.189,77.357,all_reporting_counties
MS,Tmax,2022,37,76.874,75.782,77.992,all_reporting_counties
MS,Tmax,2023,33,79.12,76.313,80.309,all_reporting_counties
MS,Tmax,2024,33,78.421,75.755,79.449,all_reporting_counties
MS,Tmax,2025,36,77.878,75.542,78.811,all_reporting_counties
MS,Tmin,1979,67,50.54,49.031,52.1,all_reporting_counties
MS,Tmin,1980,69,51.426,49.927,53.014,all_reporting_counties
MS,Tmin,1981,66,51.299,49.34,52.838,all_reporting_counties
MS,Tmin,1982,63,52.426,51.195,54.384,all_reporting_counties
MS,Tmin,1983,62,50.841,49.08,52.174,all_reporting_counties
MS,Tmin,1984,64,51.61,50.014,53.267,all_reporting_counties
MS,Tmin,1985,61,51.726,50.093,53.733,all_reporting_counties
MS,Tmin,1986,60,52.933,50.863,54.429,all_reporting_counties
MS,Tmin,1987,60,51.467,49.887,52.988,all_reporting_counties
MS,Tmin,1988,63,50.797,49.268,52.216,all_reporting_counties
MS,Tmin,1989,63,51.24,50.098,53.192,all_reporting_counties
MS,Tmin,1990,63,52.893,51.609,54.338,all_reporting_counties
MS,Tmin,1991,63,53.128,52.032,55.275,all_reporting_counties
MS,Tmin,1992,63,51.444,50.045,53.268,all_reporting_counties
MS,Tmin,1993,62,51.258,49.769,52.917,all_reporting_counties
MS,Tmin,1994,59,52.364,50.896,54.178,all_reporting_counties
MS,Tmin,1995,64,52.176,50.092,53.852,all_reporting_counties
MS,Tmin,1996,60,51.391,49.922,52.911,all_reporting_counties
MS,Tmin,1997,54,51.68,50.414,53.441,all_reporting_counties
MS,Tmin,1998,56,54.249,53.094,56.056,all_reporting_counties
MS,Tmin,1999,51,52.164,51.184,53.741,all_reporting_counties
MS,Tmin,2000,55,51.484,50.032,53.172,all_reporting_counties
MS,Tmin,2001,51,51.612,50.242,53.525,all_reporting_counties
MS,Tmin,2002,53,53.05,51.056,54.256,all_reporting_counties
MS,Tmin,2003,61,52.058,50.481,53.733,all_reporting_counties
MS,Tmin,2004,60,52.8,51.239,54.626,all_reporting_counties
MS,Tmin,2005,59,52.539,50.844,53.92,all_reporting_counties
MS,Tmin,2006,66,52.835,50.946,54.506,all_reporting_counties
MS,Tmin,2007,60,53.562,51.62,55.146,all_reporting_counties
MS,Tmin,2008,57,51.845,49.711,53.382,all_reporting_counties
MS,Tmin,2009,56,52.793,51.251,54.49,all_reporting_counties
MS,Tmin,2010,59,51.611,50.18,53.411,all_reporting_counties
MS,Tmin,2011,59,52.473,51.141,53.804,all_reporting_counties
MS,Tmin,2012,53,54.096,52.99,56.34,all_reporting_counties
MS,Tmin,2013,53,52.354,50.246,54.062,all_reporting_counties
MS,Tmin,2014,56,51.299,49.159,53.044,all_reporting_counties
MS,Tmin,2015,52,54.704,52.587,56.637,all_reporting_counties
MS,Tmin,2016,51,54.255,52.584,56.287,all_reporting_counties
MS,Tmin,2017,47,55.386,53.28,56.9,all_reporting_counties
MS,Tmin,2018,34,54.815,52.209,56.429,all_reporting_counties
MS,Tmin,2019,35,55.115,52.576,56.3,all_reporting_counties
MS,Tmin,2020,32,55.185,53.357,56.954,all_reporting_counties
MS,Tmin,2021,33,54.939,52.735,56.547,all_reporting_counties
MS,Tmin,2022,36,53.354,51.38,55.026,all_reporting_counties
MS,Tmin,2023,32,55.832,53.705,57.363,all_reporting_counties
MS,Tmin,2024,32,55.609,54.288,57.538,all_reporting_counties
MS,Tmin,2025,37,55.146,52.916,56.671,all_reporting_counties
TX,Tavg,1979,222,63.308,61.06,65.417,all_reporting_counties
TX,Tavg,1980,222,65.517,63.693,67.529,all_reporting_counties
TX,Tavg,1981,215,65.329,63.418,67.619,all_reporting_counties
TX,Tavg,1982,203,65.435,62.692,67.907,all_reporting_counties
TX,Tavg,1983,201,63.628,61.547,65.592,all_reporting_counties
TX,Tavg,1984,201,65.685,63.08,68.103,all_reporting_counties
TX,Tavg,1985,196,65.147,62.966,67.382,all_reporting_counties
TX,Tavg,1986,205,65.972,63.921,68.45,all_reporting_counties
TX,Tavg,1987,207,64.199,61.807,66.469,all_reporting_counties
TX,Tavg,1988,210,64.345,62.507,66.945,all_reporting_counties
TX,Tavg,1989,214,63.943,61.708,66.772,all_reporting_counties
TX,Tavg,1990,221,65.893,63.674,68.794,all_reporting_counties
TX,Tavg,1991,216,64.915,62.947,67.614,all_reporting_counties
TX,Tavg,1992,214,64.581,62.469,66.905,all_reporting_counties
TX,Tavg,1993,210,64.255,61.551,66.588,all_reporting_counties
TX,Tavg,1994,210,65.388,62.646,67.993,all_reporting_counties
TX,Tavg,1995,212,65.158,62.55,68.42,all_reporting_counties
TX,Tavg,1996,215,65.353,62.554,68.338,all_reporting_counties
TX,Tavg,1997,210,63.896,61.799,66.747,all_reporting_counties
TX,Tavg,1998,219,67.183,64.992,69.688,all_reporting_counties
TX,Tavg,1999,212,66.734,64.892,69.66,all_reporting_counties
TX,Tavg,2000,209,66.502,64.122,69.021,all_reporting_counties
TX,Tavg,2001,203,65.308,63.492,67.521,all_reporting_counties
TX,Tavg,2002,211,64.834,62.445,67.724,all_reporting_counties
TX,Tavg,2003,207,65.503,63.567,67.848,all_reporting_counties
TX,Tavg,2004,203,65.154,63.468,67.888,all_reporting_counties
TX,Tavg,2005,206,66.104,64.019,68.592,all_reporting_counties
TX,Tavg,2006,209,67.247,65.316,69.214,all_reporting_counties
TX,Tavg,2007,207,65.168,62.78,68.038,all_reporting_counties
TX,Tavg,2008,212,65.363,63.277,68.253,all_reporting_counties
TX,Tavg,2009,208,65.56,63.504,68.593,all_reporting_counties
TX,Tavg,2010,210,65.273,63.118,67.317,all_reporting_counties
TX,Tavg,2011,211,67.371,65.458,69.784,all_reporting_counties
TX,Tavg,2012,210,67.565,65.964,69.793,all_reporting_counties
TX,Tavg,2013,213,64.962,63.006,67.582,all_reporting_counties
TX,Tavg,2014,207,64.674,62.82,67.06,all_reporting_counties
TX,Tavg,2015,203,65.981,63.62,68.523,all_reporting_counties
TX,Tavg,2016,211,66.966,64.864,69.764,all_reporting_counties
TX,Tavg,2017,201,67.108,65.076,69.933,all_reporting_counties
TX,Tavg,2018,201,66.11,64.026,68.216,all_reporting_counties
TX,Tavg,2019,198,65.844,63.698,68.456,all_reporting_counties
TX,Tavg,2020,194,66.214,64.435,69.383,all_reporting_counties
TX,Tavg,2021,196,65.772,63.987,68.847,all_reporting_counties
TX,Tavg,2022,194,66.41,64.923,69.066,all_reporting_counties
TX,Tavg,2023,200,68.018,66.387,71.032,all_reporting_counties
TX,Tavg,2024,192,68.092,66.533,70.916,all_reporting_counties
TX,Tavg,2025,188,67.306,65.532,70.718,all_reporting_counties
TX,Tmax,1979,225,75.53,73.562,77.55,all_reporting_counties
TX,Tmax,1980,225,78.554,76.787,80.068,all_reporting_counties
TX,Tmax,1981,223,77.658,76.027,79.151,all_reporting_counties
TX,Tmax,1982,220,77.504,74.905,79.728,all_reporting_counties
TX,Tmax,1983,214,75.842,73.589,77.827,all_reporting_counties
TX,Tmax,1984,215,78.026,75.679,80.152,all_reporting_counties
TX,Tmax,1985,209,77.112,74.692,78.625,all_reporting_counties
TX,Tmax,1986,213,77.61,75.854,79.552,all_reporting_counties
TX,Tmax,1987,213,76.753,74.893,78.468,all_reporting_counties
TX,Tmax,1988,218,77.894,75.387,79.644,all_reporting_counties
TX,Tmax,1989,218,76.45,74.378,78.963,all_reporting_counties
TX,Tmax,1990,222,77.915,75.97,80.335,all_reporting_counties
TX,Tmax,1991,218,76.553,74.956,78.568,all_reporting_counties
TX,Tmax,1992,217,76.365,74.444,78.506,all_reporting_counties
TX,Tmax,1993,215,76.06,74.104,78.262,all_reporting_counties
TX,Tmax,1994,218,77.377,75.517,79.711,all_reporting_counties
TX,Tmax,1995,220,77.502,75.427,79.776,all_reporting_counties
TX,Tmax,1996,225,78.197,75.997,80.687,all_reporting_counties
TX,Tmax,1997,222,75.928,73.684,77.578,all_reporting_counties
TX,Tmax,1998,224,79.304,77.586,81.109,all_reporting_counties
TX,Tmax,1999,219,79.878,77.72,81.776,all_reporting_counties
TX,Tmax,2000,217,78.586,76.423,80.56,all_reporting_counties
TX,Tmax,2001,214,76.904,75.587,78.565,all_reporting_counties
TX,Tmax,2002,219,76.552,74.646,78.506,all_reporting_counties
TX,Tmax,2003,214,77.464,76.222,78.84,all_reporting_counties
TX,Tmax,2004,209,76.221,74.617,78.397,all_reporting_counties
TX,Tmax,2005,214,78.432,76.746,80.465,all_reporting_counties
TX,Tmax,2006,217,80.025,78.402,81.866,all_reporting_counties
TX,Tmax,2007,210,76.226,74.383,78.932,all_reporting_counties
TX,Tmax,2008,215,78.575,76.374,80.794,all_reporting_counties
TX,Tmax,2009,213,78.322,76.025,80.433,all_reporting_counties
TX,Tmax,2010,211,77.302,75.462,79.093,all_reporting_counties
TX,Tmax,2011,216,80.772,78.852,82.76,all_reporting_counties
TX,Tmax,2012,213,80.158,78.652,81.641,all_reporting_counties
TX,Tmax,2013,214,77.38,75.49,79.16,all_reporting_counties
TX,Tmax,2014,208,76.993,74.59,78.785,all_reporting_counties
TX,Tmax,2015,206,77.354,75.662,79.021,all_reporting_counties
TX,Tmax,2016,212,78.556,77.167,80.716,all_reporting_counties
TX,Tmax,2017,202,79.304,77.311,81.316,all_reporting_counties
TX,Tmax,2018,202,77.696,76.31,79.26,all_reporting_counties
TX,Tmax,2019,198,77.39,75.48,79.754,all_reporting_counties
TX,Tmax,2020,194,78.536,76.74,81.071,all_reporting_counties
TX,Tmax,2021,197,77.554,75.925,79.699,all_reporting_counties
TX,Tmax,2022,195,79.356,77.609,80.986,all_reporting_counties
TX,Tmax,2023,200,80.488,78.633,82.35,all_reporting_counties
TX,Tmax,2024,193,80.047,78.189,82.336,all_reporting_counties
TX,Tmax,2025,188,79.722,77.849,81.954,all_reporting_counties
TX,Tmin,1979,226,50.773,47.492,54.614,all_reporting_counties
TX,Tmin,1980,225,52.337,49.632,55.953,all_reporting_counties
TX,Tmin,1981,218,53.166,50.601,56.502,all_reporting_counties
TX,Tmin,1982,212,52.901,49.898,56.689,all_reporting_counties
TX,Tmin,1983,211,51.13,48.444,54.024,all_reporting_counties
TX,Tmin,1984,208,52.511,49.43,56.052,all_reporting_counties
TX,Tmin,1985,205,52.936,49.667,56.302,all_reporting_counties
TX,Tmin,1986,214,54.463,51.051,57.414,all_reporting_counties
TX,Tmin,1987,213,51.829,48.121,54.641,all_reporting_counties
TX,Tmin,1988,213,51.216,47.777,55.061,all_reporting_counties
TX,Tmin,1989,219,51.392,47.783,55.473,all_reporting_counties
TX,Tmin,1990,224,53.734,50.024,57.196,all_reporting_counties
TX,Tmin,1991,218,53.442,49.675,56.636,all_reporting_counties
TX,Tmin,1992,219,52.64,49.278,56.267,all_reporting_counties
TX,Tmin,1993,216,52.134,48.64,55.54,all_reporting_counties
TX,Tmin,1994,217,53.365,49.918,56.903,all_reporting_counties
TX,Tmin,1995,217,52.881,49.595,56.504,all_reporting_counties
TX,Tmin,1996,223,52.297,49.507,56.052,all_reporting_counties
TX,Tmin,1997,218,52.414,49.228,55.888,all_reporting_counties
TX,Tmin,1998,226,55.176,51.183,58.735,all_reporting_counties
TX,Tmin,1999,217,53.92,50.525,57.263,all_reporting_counties
TX,Tmin,2000,215,54.171,51.604,57.79,all_reporting_counties
TX,Tmin,2001,209,53.95,51.004,56.788,all_reporting_counties
TX,Tmin,2002,214,53.356,50.283,56.595,all_reporting_counties
TX,Tmin,2003,209,53.454,50.532,56.732,all_reporting_counties
TX,Tmin,2004,207,54.132,51.405,57.427,all_reporting_counties
TX,Tmin,2005,206,53.537,50.829,56.602,all_reporting_counties
TX,Tmin,2006,209,54.379,51.409,57.3,all_reporting_counties
TX,Tmin,2007,208,54.001,50.489,57.213,all_reporting_counties
TX,Tmin,2008,212,52.589,49.375,55.862,all_reporting_counties
TX,Tmin,2009,211,53.647,49.938,56.774,all_reporting_counties
TX,Tmin,2010,210,53.03,49.683,55.534,all_reporting_counties
TX,Tmin,2011,211,54.214,50.556,57.075,all_reporting_counties
TX,Tmin,2012,212,55.11,51.988,58.224,all_reporting_counties
TX,Tmin,2013,214,52.936,49.701,55.961,all_reporting_counties
TX,Tmin,2014,208,52.872,49.671,55.775,all_reporting_counties
TX,Tmin,2015,206,55.041,50.872,58.005,all_reporting_counties
TX,Tmin,2016,211,55.777,51.827,58.916,all_reporting_counties
TX,Tmin,2017,201,55.546,51.393,58.925,all_reporting_counties
TX,Tmin,2018,201,54.461,51.143,57.736,all_reporting_counties
TX,Tmin,2019,198,54.267,50.718,57.7,all_reporting_counties
TX,Tmin,2020,194,54.68,50.704,57.971,all_reporting_counties
TX,Tmin,2021,196,54.59,51.036,57.999,all_reporting_counties
TX,Tmin,2022,194,53.995,51.352,57.267,all_reporting_counties
TX,Tmin,2023,200,56.416,53.268,59.595,all_reporting_counties
TX,Tmin,2024,193,56.675,54.069,59.792,all_reporting_counties
TX,Tmin,2025,188,55.552,52.08,59.222,all_reporting_counties
AL,Tavg,1979,25,61.96,60.698,63.795,consistent_county_sample_A
AL,Tavg,1980,26,62.89,61.542,64.748,consistent_county_sample_A
AL,Tavg,1981,26,62.66,60.923,63.943,consistent_county_sample_A
AL,Tavg,1982,24,63.364,60.927,65.682,consistent_county_sample_A
AL,Tavg,1983,25,61.193,59.414,63.215,consistent_county_sample_A
AL,Tavg,1984,25,62.676,61.825,65.003,consistent_county_sample_A
AL,Tavg,1985,26,62.768,61.21,65.346,consistent_county_sample_A
AL,Tavg,1986,26,64.018,62.56,66.187,consistent_county_sample_A
AL,Tavg,1987,26,63.529,62.108,64.716,consistent_county_sample_A
AL,Tavg,1988,24,62.074,60.722,63.936,consistent_county_sample_A
AL,Tavg,1989,25,62.269,60.425,63.984,consistent_county_sample_A
AL,Tavg,1990,26,64.944,63.768,66.824,consistent_county_sample_A
AL,Tavg,1991,26,64.39,62.925,65.308,consistent_county_sample_A
AL,Tavg,1992,26,62.518,60.757,63.67,consistent_county_sample_A
AL,Tavg,1993,25,62.558,61.111,64.114,consistent_county_sample_A
AL,Tavg,1994,25,63.288,61.587,64.786,consistent_county_sample_A
AL,Tavg,1995,25,63.38,61.433,64.618,consistent_county_sample_A
AL,Tavg,1996,25,62.193,59.882,63.718,consistent_county_sample_A
AL,Tavg,1997,26,62.344,60.558,64.252,consistent_county_sample_A
AL,Tavg,1998,26,64.889,63.694,66.664,consistent_county_sample_A
AL,Tavg,1999,26,63.77,63.194,65.276,consistent_county_sample_A
AL,Tavg,2000,25,63.413,62.028,64.783,consistent_county_sample_A
AL,Tavg,2001,26,62.969,61.644,64.517,consistent_county_sample_A
AL,Tavg,2002,26,63.656,62.186,65.142,consistent_county_sample_A
AL,Tavg,2003,24,62.526,60.818,64.53,consistent_county_sample_A
AL,Tavg,2004,26,63.279,62.128,64.65,consistent_county_sample_A
AL,Tavg,2005,25,63.115,61.863,64.952,consistent_county_sample_A
AL,Tavg,2006,25,64.193,62.827,66.189,consistent_county_sample_A
AL,Tavg,2007,26,64.572,62.809,66.128,consistent_county_sample_A
AL,Tavg,2008,26,62.8,61.147,64.89,consistent_county_sample_A
AL,Tavg,2009,25,62.982,60.637,64.556,consistent_county_sample_A
AL,Tavg,2010,26,62.876,61.188,64.254,consistent_county_sample_A
AL,Tavg,2011,26,63.763,61.99,65.494,consistent_county_sample_A
AL,Tavg,2012,26,64.866,62.99,66.186,consistent_county_sample_A
AL,Tavg,2013,26,62.528,59.997,64.884,consistent_county_sample_A
AL,Tavg,2014,26,62.398,59.985,64.049,consistent_county_sample_A
AL,Tavg,2015,26,65.183,62.612,66.593,consistent_county_sample_A
AL,Tavg,2016,26,65.914,63.608,66.63,consistent_county_sample_A
AL,Tavg,2017,26,65.471,63.139,66.644,consistent_county_sample_A
AL,Tavg,2018,26,65.006,62.318,66.307,consistent_county_sample_A
AL,Tavg,2019,26,65.632,63.313,67.399,consistent_county_sample_A
AL,Tavg,2020,26,65.079,62.46,67.092,consistent_county_sample_A
AL,Tavg,2021,26,64.341,62.684,66.448,consistent_county_sample_A
AL,Tavg,2022,26,64.488,62.027,66.006,consistent_county_sample_A
AL,Tavg,2023,26,65.734,63.443,66.585,consistent_county_sample_A
AL,Tavg,2024,26,65.932,63.52,66.69,consistent_county_sample_A
AL,Tavg,2025,26,64.916,62.721,66.182,consistent_county_sample_A
AL,Tmax,1979,28,73.026,71.395,75.256,consistent_county_sample_A
AL,Tmax,1980,28,74.628,73.558,76.705,consistent_county_sample_A
AL,Tmax,1981,28,75.286,73.4,76.416,consistent_county_sample_A
AL,Tmax,1982,26,74.846,73.816,77.022,consistent_county_sample_A
AL,Tmax,1983,28,72.852,71.201,74.711,consistent_county_sample_A
AL,Tmax,1984,28,75.113,73.38,77.143,consistent_county_sample_A
AL,Tmax,1985,28,74.46,72.347,76.68,consistent_county_sample_A
AL,Tmax,1986,28,76.402,74.402,77.623,consistent_county_sample_A
AL,Tmax,1987,28,75.456,73.84,76.574,consistent_county_sample_A
AL,Tmax,1988,27,74.534,72.259,75.666,consistent_county_sample_A
AL,Tmax,1989,28,73.645,71.204,74.745,consistent_county_sample_A
AL,Tmax,1990,28,77.584,75.577,79.059,consistent_county_sample_A
AL,Tmax,1991,28,75.254,73.638,76.036,consistent_county_sample_A
AL,Tmax,1992,28,73.637,71.786,74.431,consistent_county_sample_A
AL,Tmax,1993,27,74.182,72.369,75.368,consistent_county_sample_A
AL,Tmax,1994,27,74.243,72.918,75.502,consistent_county_sample_A
AL,Tmax,1995,28,74.99,73.245,76.074,consistent_county_sample_A
AL,Tmax,1996,27,73.678,72.202,75.216,consistent_county_sample_A
AL,Tmax,1997,28,73.74,72.251,75.11,consistent_county_sample_A
AL,Tmax,1998,28,76.589,74.942,77.598,consistent_county_sample_A
AL,Tmax,1999,28,76.771,75.272,77.387,consistent_county_sample_A
AL,Tmax,2000,28,76.216,74.149,77.34,consistent_county_sample_A
AL,Tmax,2001,28,74.965,72.929,76.413,consistent_county_sample_A
AL,Tmax,2002,28,75.48,73.217,76.716,consistent_county_sample_A
AL,Tmax,2003,28,74.436,72.134,75.672,consistent_county_sample_A
AL,Tmax,2004,28,74.83,72.954,76.085,consistent_county_sample_A
AL,Tmax,2005,28,75.28,73.46,76.72,consistent_county_sample_A
AL,Tmax,2006,27,77.34,75.816,78.604,consistent_county_sample_A
AL,Tmax,2007,28,77.206,76.01,78.312,consistent_county_sample_A
AL,Tmax,2008,28,74.524,73.275,76.485,consistent_county_sample_A
AL,Tmax,2009,27,73.51,72.192,75.754,consistent_county_sample_A
AL,Tmax,2010,28,75.026,73.373,76.313,consistent_county_sample_A
AL,Tmax,2011,28,76.093,73.876,77.887,consistent_county_sample_A
AL,Tmax,2012,28,76.664,75.003,78.156,consistent_county_sample_A
AL,Tmax,2013,28,73.089,70.984,75.794,consistent_county_sample_A
AL,Tmax,2014,28,74.215,71.1,75.613,consistent_county_sample_A
AL,Tmax,2015,28,76.119,72.855,77.738,consistent_county_sample_A
AL,Tmax,2016,27,77.555,75.86,78.614,consistent_county_sample_A
AL,Tmax,2017,28,75.878,74.171,77.902,consistent_county_sample_A
AL,Tmax,2018,28,75.149,72.838,77.362,consistent_county_sample_A
AL,Tmax,2019,28,76.946,74.087,78.642,consistent_county_sample_A
AL,Tmax,2020,28,75.786,73.139,77.86,consistent_county_sample_A
AL,Tmax,2021,28,75.062,72.755,77.161,consistent_county_sample_A
AL,Tmax,2022,28,76.06,73.798,77.692,consistent_county_sample_A
AL,Tmax,2023,28,77.03,74.772,78.939,consistent_county_sample_A
AL,Tmax,2024,28,76.893,74.842,78.394,consistent_county_sample_A
AL,Tmax,2025,28,76.223,74.007,78.088,consistent_county_sample_A
AL,Tmin,1979,27,50.421,49.122,51.65,consistent_county_sample_A
AL,Tmin,1980,27,50.801,49.655,52.151,consistent_county_sample_A
AL,Tmin,1981,27,49.954,49.202,51.169,consistent_county_sample_A
AL,Tmin,1982,25,52.312,50.51,53.68,consistent_county_sample_A
AL,Tmin,1983,27,49.847,48.689,51.368,consistent_county_sample_A
AL,Tmin,1984,26,50.932,49.47,52.5,consistent_county_sample_A
AL,Tmin,1985,27,51.749,50.163,53.83,consistent_county_sample_A
AL,Tmin,1986,27,52.291,50.9,54.572,consistent_county_sample_A
AL,Tmin,1987,27,51.417,50.003,52.912,consistent_county_sample_A
AL,Tmin,1988,25,50.304,48.814,51.972,consistent_county_sample_A
AL,Tmin,1989,26,51.646,49.757,52.66,consistent_county_sample_A
AL,Tmin,1990,27,52.919,51.05,54.21,consistent_county_sample_A
AL,Tmin,1991,27,53.79,51.782,54.532,consistent_county_sample_A
AL,Tmin,1992,27,51.446,49.393,52.717,consistent_county_sample_A
AL,Tmin,1993,26,51.596,48.786,52.836,consistent_county_sample_A
AL,Tmin,1994,26,52.73,49.743,53.943,consistent_county_sample_A
AL,Tmin,1995,26,51.414,49.19,52.923,consistent_county_sample_A
AL,Tmin,1996,26,50.382,48.353,52.141,consistent_county_sample_A
AL,Tmin,1997,27,51.199,49.024,53.051,consistent_county_sample_A
AL,Tmin,1998,27,53.392,52.168,55.585,consistent_county_sample_A
AL,Tmin,1999,27,51.432,50.546,53.59,consistent_county_sample_A
AL,Tmin,2000,26,50.69,49.982,52.683,consistent_county_sample_A
AL,Tmin,2001,27,50.976,50.116,52.922,consistent_county_sample_A
AL,Tmin,2002,27,52.176,50.862,54.015,consistent_county_sample_A
AL,Tmin,2003,25,51.607,49.761,53.389,consistent_county_sample_A
AL,Tmin,2004,27,52.077,50.775,53.872,consistent_county_sample_A
AL,Tmin,2005,25,51.54,49.694,53.297,consistent_county_sample_A
AL,Tmin,2006,26,51.915,49.945,53.619,consistent_county_sample_A
AL,Tmin,2007,27,52.465,50.308,53.894,consistent_county_sample_A
AL,Tmin,2008,27,51.558,48.915,52.88,consistent_county_sample_A
AL,Tmin,2009,26,52.712,50.232,53.768,consistent_county_sample_A
AL,Tmin,2010,27,50.911,49.248,52.168,consistent_county_sample_A
AL,Tmin,2011,27,51.615,50.207,53.159,consistent_county_sample_A
AL,Tmin,2012,27,53.404,51.198,54.702,consistent_county_sample_A
AL,Tmin,2013,27,52.105,49.34,53.3,consistent_county_sample_A
AL,Tmin,2014,27,50.594,48.578,51.749,consistent_county_sample_A
AL,Tmin,2015,27,54.296,51.884,55.566,consistent_county_sample_A
AL,Tmin,2016,27,53.832,51.616,54.956,consistent_county_sample_A
AL,Tmin,2017,27,54.515,52.221,55.408,consistent_county_sample_A
AL,Tmin,2018,27,54.291,51.74,55.282,consistent_county_sample_A
AL,Tmin,2019,27,54.213,52.142,55.764,consistent_county_sample_A
AL,Tmin,2020,27,54.188,51.78,56.198,consistent_county_sample_A
AL,Tmin,2021,27,53.486,51.752,55.512,consistent_county_sample_A
AL,Tmin,2022,27,52.702,50.334,54.288,consistent_county_sample_A
AL,Tmin,2023,27,54.148,51.913,55.503,consistent_county_sample_A
AL,Tmin,2024,27,54.416,52.483,55.677,consistent_county_sample_A
AL,Tmin,2025,27,53.522,51.523,54.421,consistent_county_sample_A
FL,Tavg,1979,31,72.033,69.896,73.184,consistent_county_sample_A
FL,Tavg,1980,32,71.947,69.922,72.865,consistent_county_sample_A
FL,Tavg,1981,32,71.26,69.124,72.038,consistent_county_sample_A
FL,Tavg,1982,31,73.701,71.144,74.608,consistent_county_sample_A
FL,Tavg,1983,32,71.5,69.103,72.813,consistent_county_sample_A
FL,Tavg,1984,31,71.785,69.438,72.887,consistent_county_sample_A
FL,Tavg,1985,32,72.658,70.553,73.686,consistent_county_sample_A
FL,Tavg,1986,32,73.328,70.835,74.406,consistent_county_sample_A
FL,Tavg,1987,32,71.86,69.562,73.274,consistent_county_sample_A
FL,Tavg,1988,32,71.556,68.956,73.034,consistent_county_sample_A
FL,Tavg,1989,32,73.094,70.585,74.157,consistent_county_sample_A
FL,Tavg,1990,32,74.486,72.262,75.102,consistent_county_sample_A
FL,Tavg,1991,31,73.611,71.406,74.674,consistent_county_sample_A
FL,Tavg,1992,31,72.303,70.248,73.405,consistent_county_sample_A
FL,Tavg,1993,32,72.158,69.966,73.287,consistent_county_sample_A
FL,Tavg,1994,30,73.714,71.618,74.703,consistent_county_sample_A
FL,Tavg,1995,30,72.652,70.109,73.82,consistent_county_sample_A
FL,Tavg,1996,31,71.611,68.957,73.063,consistent_county_sample_A
FL,Tavg,1997,32,72.756,70.485,74.517,consistent_county_sample_A
FL,Tavg,1998,32,73.765,71.777,75.141,consistent_county_sample_A
FL,Tavg,1999,32,72.58,70.893,73.764,consistent_county_sample_A
FL,Tavg,2000,31,72.034,70.019,73.279,consistent_county_sample_A
FL,Tavg,2001,31,72.625,70.068,73.346,consistent_county_sample_A
FL,Tavg,2002,32,73.054,71.014,73.919,consistent_county_sample_A
FL,Tavg,2003,32,72.764,70.363,73.866,consistent_county_sample_A
FL,Tavg,2004,32,72.404,70.323,73.199,consistent_county_sample_A
FL,Tavg,2005,32,72.322,70.297,73.353,consistent_county_sample_A
FL,Tavg,2006,32,72.867,71.091,73.709,consistent_county_sample_A
FL,Tavg,2007,32,73.624,71.556,74.166,consistent_county_sample_A
FL,Tavg,2008,32,72.755,70.382,73.83,consistent_county_sample_A
FL,Tavg,2009,32,73.301,71.161,74.086,consistent_county_sample_A
FL,Tavg,2010,32,70.65,68.468,71.806,consistent_county_sample_A
FL,Tavg,2011,32,73.23,71.176,74.347,consistent_county_sample_A
FL,Tavg,2012,32,73.324,71.311,74.372,consistent_county_sample_A
FL,Tavg,2013,32,73.502,71.288,74.61,consistent_county_sample_A
FL,Tavg,2014,31,72.677,70.08,73.608,consistent_county_sample_A
FL,Tavg,2015,32,75.333,73.082,76.062,consistent_county_sample_A
FL,Tavg,2016,32,74.03,71.913,74.743,consistent_county_sample_A
FL,Tavg,2017,32,74.556,72.72,75.509,consistent_county_sample_A
FL,Tavg,2018,32,73.882,71.727,74.81,consistent_county_sample_A
FL,Tavg,2019,31,74.745,73.13,75.703,consistent_county_sample_A
FL,Tavg,2020,31,74.709,73.354,75.924,consistent_county_sample_A
FL,Tavg,2021,31,73.955,71.642,75.194,consistent_county_sample_A
FL,Tavg,2022,32,74.018,72.414,75.31,consistent_county_sample_A
FL,Tavg,2023,32,74.879,72.89,76.055,consistent_county_sample_A
FL,Tavg,2024,32,74.34,72.62,75.428,consistent_county_sample_A
FL,Tavg,2025,32,73.771,71.526,74.851,consistent_county_sample_A
FL,Tmax,1979,36,82.138,80.105,83.375,consistent_county_sample_A
FL,Tmax,1980,37,82.099,80.936,83.375,consistent_county_sample_A
FL,Tmax,1981,37,82.451,80.487,83.784,consistent_county_sample_A
FL,Tmax,1982,37,83.377,81.897,84.521,consistent_county_sample_A
FL,Tmax,1983,37,80.895,79.69,82.673,consistent_county_sample_A
FL,Tmax,1984,36,81.87,80.122,83.292,consistent_county_sample_A
FL,Tmax,1985,37,83.132,80.806,84.416,consistent_county_sample_A
FL,Tmax,1986,35,83.247,81.565,84.556,consistent_county_sample_A
FL,Tmax,1987,36,82.024,79.98,83.461,consistent_county_sample_A
