construct_id,construct_family,month,season,classified_days,valid_daily_observations,counties,classified_days_per_1000_valid,month_name,short_label,percentile,duration_days,absolute_gate_f,threshold_window,day_label,denominator_definition
HYB_TX_P85_D5_A90_W15,hybrid,7,warm,10075,86614,254,116.321,Jul,TX-P85-D5+A90,85.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P85_D5_A90_W15,hybrid,8,warm,11564,86614,254,133.512,Aug,TX-P85-D5+A90,85.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P85_D5_A90_W15,hybrid,9,warm,8243,83820,254,98.342,Sep,TX-P85-D5+A90,85.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P85_D5_A90_W15,hybrid,10,shoulder,3779,86614,254,43.63,Oct,TX-P85-D5+A90,85.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P85_D5_A90_W15,hybrid,11,cool,84,83820,254,1.002,Nov,TX-P85-D5+A90,85.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P85_D5_A90_W15,hybrid,12,cool,0,86614,254,0.0,Dec,TX-P85-D5+A90,85.0,5,90.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,1,cool,850,86614,254,9.814,Jan,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,2,cool,4463,78994,254,56.498,Feb,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,3,cool,7391,86614,254,85.333,Mar,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,4,cool,4393,83820,254,52.41,Apr,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,5,shoulder,8610,86614,254,99.407,May,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,6,warm,8466,83820,254,101.002,Jun,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,7,warm,10470,86614,254,120.881,Jul,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
HYB_TX_P90_D2_A80_W15,hybrid,8,warm,12428,86614,254,143.487,Aug,TX-P90-D2+A80,90.0,2,80.0,w15,hybrid heat-event day,relative eligibility AND the absolute gate is evaluable
