county_fips,relative_construct,hybrid_construct,label,percentile,duration_days,absolute_gate_f,cumulative_classified_days_no_gate,cumulative_classified_days_with_gate,cumulative_events_no_gate,classified_days_lost,pct_retained,county_name,pct_analysis_days_imputed,fully_imputed_county,analysis_days,native_analysis_days
48073,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,665,382,182,283,57.44,Cherokee,0.2,False,4018,4011
48075,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,864,602,227,262,69.68,Childress,0.0,False,4018,4018
48077,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,746,493,182,253,66.09,Clay,100.0,True,4018,0
48079,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,780,550,235,230,70.51,Cochran,0.0,False,4018,4018
48081,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,660,503,181,157,76.21,Coke,0.3,False,4018,4006
48083,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,947,709,222,238,74.87,Coleman,0.0,False,4018,4018
48085,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,715,455,195,260,63.64,Collin,0.0,False,4018,4018
48087,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,598,384,186,214,64.21,Collingsworth,70.7,False,4018,1179
48089,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,670,560,150,110,83.58,Colorado,0.0,False,4018,4016
48091,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,846,677,209,169,80.02,Comal,7.8,False,4018,3705
48093,REL_TX_P80_D2_W15,HYB_TX_P80_D2_A80_W15,TX-P80-D2,80,2,80.0,994,819,220,175,82.39,Comanche,3.9,False,4018,3861
