county_fips,county_name,climate_division,year,valid_days_full_year,valid_days_in_junsep,candidate_exceedance_days,heatwave_days_full_year,heatwave_days_in_junsep,heatwave_days_flagged_suspicious,number_of_events,pct_full_year_days_classified,pct_junsep_days_classified,pct_valid_days_heatwave_PRIMARY,primary_denominator_basis,pct_candidate_removed_by_persistence,mean_event_duration,max_event_duration,mean_event_peak_hi_proxy,annual_peak_hi_proxy,annual_cumulative_exceedance,first_event_start,last_event_end,first_to_last_event_span_days,n_events_reaching_hi100,n_events_reaching_hi103,definition_id,construct_label,metric,reference_method,season,floor_variable,floor_value,minimum_duration,comparison_operator
48061,Cameron (Brownsville),Lower Valley (4110),2015,365,122,50,41,14,0,14,11.23,11.48,11.23,full_year,18.0,2.93,7,98.18,108.22,116.59,2015-04-24,2015-12-27,248,7,6,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2016,366,122,115,96,52,0,28,26.23,42.62,26.23,full_year,16.52,3.43,8,99.55,111.22,215.78,2016-01-31,2016-12-28,333,16,14,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2017,365,122,158,149,61,0,40,40.82,50.0,40.82,full_year,5.7,3.72,12,95.94,114.25,468.81,2017-01-02,2017-12-22,355,17,14,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2018,365,122,114,92,43,0,23,25.21,35.25,25.21,full_year,19.3,4.0,13,98.72,114.05,241.57,2018-02-15,2018-11-08,267,10,10,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2019,365,122,123,103,64,0,23,28.22,52.46,28.22,full_year,16.26,4.48,14,99.15,114.21,309.13,2019-01-07,2019-12-16,344,14,10,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2020,366,122,106,84,21,0,22,22.95,17.21,22.95,full_year,20.75,3.82,10,95.58,115.57,250.15,2020-01-13,2020-12-30,353,6,5,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2021,365,122,103,90,33,0,23,24.66,27.05,24.66,full_year,12.62,3.96,10,96.26,110.41,225.22,2021-01-05,2021-12-31,361,9,8,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2022,365,122,91,79,37,0,16,21.64,30.33,21.64,full_year,13.19,4.88,13,99.0,112.91,212.83,2022-01-01,2022-12-13,347,8,7,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2023,365,122,161,153,96,2,21,41.92,78.69,41.92,full_year,4.97,7.29,26,99.15,118.55,722.63,2023-01-01,2023-11-09,313,9,8,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2024,366,122,126,110,39,0,22,30.05,31.97,30.05,full_year,12.7,5.0,30,97.21,113.01,380.1,2024-02-26,2024-12-31,310,9,8,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48061,Cameron (Brownsville),Lower Valley (4110),2025,365,122,120,111,38,0,19,30.41,31.15,30.41,full_year,7.5,5.84,14,100.83,113.64,370.57,2025-02-05,2025-12-28,327,10,9,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2015,365,122,2,0,0,0,0,0.0,0.0,0.0,full_year,100.0,,0,,,0.0,,,0,0,0,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2016,366,122,8,5,0,0,2,1.37,0.0,1.37,full_year,37.5,2.5,3,81.2,81.92,2.59,2016-10-26,2016-10-31,6,0,0,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2017,365,122,48,41,7,0,10,11.23,5.74,11.23,full_year,14.58,4.1,10,88.14,103.13,129.04,2017-02-10,2017-10-20,253,1,1,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2018,365,122,43,28,7,0,10,7.67,5.74,7.67,full_year,34.88,2.8,6,90.45,101.32,61.26,2018-03-22,2018-10-05,198,1,0,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2019,365,122,34,25,17,0,10,6.85,13.93,6.85,full_year,26.47,2.5,3,95.05,101.92,45.2,2019-03-26,2019-08-27,155,1,0,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2020,366,122,68,60,30,0,17,16.39,24.59,16.39,full_year,11.76,3.53,7,92.07,101.78,133.8,2020-03-25,2020-11-21,242,2,0,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2021,365,122,33,25,14,0,7,6.85,11.48,6.85,full_year,24.24,3.57,6,92.04,100.84,43.6,2021-04-02,2021-10-22,204,1,0,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2022,365,122,44,32,16,0,11,8.77,13.11,8.77,full_year,27.27,2.91,5,93.3,102.85,66.79,2022-03-26,2022-11-09,229,2,0,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2023,365,122,69,54,43,0,11,14.79,35.25,14.79,full_year,21.74,4.91,10,95.42,103.16,119.97,2023-04-11,2023-11-08,212,3,2,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2024,366,122,64,53,37,0,17,14.48,30.33,14.48,full_year,17.19,3.12,9,94.82,105.47,116.37,2024-04-13,2024-10-29,200,5,2,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48141,El Paso,Trans-Pecos (4105),2025,365,122,45,31,17,0,11,8.49,13.93,8.49,full_year,31.11,2.82,6,92.99,100.13,52.03,2025-03-25,2025-10-15,205,1,0,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2015,365,122,62,51,26,0,15,13.97,21.31,13.97,full_year,17.74,3.4,11,94.28,112.17,135.74,2015-03-03,2015-12-26,299,5,5,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2016,366,122,108,94,54,0,20,25.68,44.26,25.68,full_year,12.96,4.7,13,98.25,114.36,355.55,2016-02-19,2016-12-28,314,9,9,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2017,365,122,94,79,31,0,23,21.64,25.41,21.64,full_year,15.96,3.43,11,94.96,111.41,321.91,2017-01-11,2017-11-18,312,10,8,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
48201,Harris (Houston),Upper Coast (4108),2018,365,122,61,53,16,0,17,14.52,13.11,14.52,full_year,13.11,3.12,9,94.82,107.94,147.09,2018-02-14,2018-11-07,267,8,4,HI85_2D_RETAINALL,persistent_apparent_heat_anomaly,derived_tmax_rhmin_hi_proxy_f,walk_forward_1979_to_Yminus1,year_round,floor_hi_ge_80,80,2,>
