role,artifact,path,exists,size_bytes,md5,n_rows,n_cols
current_table,e01_county_year_temperature.csv,outputs\extreme_temp_tests\tables\e01_county_year_temperature.csv,True,5709249,f06f7dae5b1bc26c9dd1b95b50dc72a2,65031.0,12.0
current_table,e01_level_vs_change_summary.csv,outputs\extreme_temp_tests\tables\e01_level_vs_change_summary.csv,True,2517,47ed752f0e6983139f4ae54207c6a865,15.0,10.0
current_table,e01_record_extent_and_coverage.csv,outputs\extreme_temp_tests\tables\e01_record_extent_and_coverage.csv,True,441,b217a0e71e976f77a4442ec176a758ad,5.0,9.0
current_table,e01_state_decade_temperature.csv,outputs\extreme_temp_tests\tables\e01_state_decade_temperature.csv,True,13118,1b29452d458c2d473022ced00ca3691e,150.0,13.0
current_table,e01_state_month_decadal_change.csv,outputs\extreme_temp_tests\tables\e01_state_month_decadal_change.csv,True,9423,b154b4c20dad761408d7514d962212ab,180.0,9.0
current_table,e01_state_month_temperature.csv,outputs\extreme_temp_tests\tables\e01_state_month_temperature.csv,True,7371,ab5cb5567b52b47598bc451947d186de,180.0,8.0
current_table,e01_state_year_temperature.csv,outputs\extreme_temp_tests\tables\e01_state_year_temperature.csv,True,41122,35e3fbb3ac807f4ffe086f7e9aa29e17,705.0,10.0
current_table,e02_master_run_summary.csv,outputs\extreme_temp_tests\tables\e02_master_run_summary.csv,True,16286,028a4a9cbbfbbc33dc1ab1c228682b0f,60.0,36.0
current_table,e03_absolute_vs_relative.csv,outputs\extreme_temp_tests\tables\e03_absolute_vs_relative.csv,True,2315,5fe485c724739e06500142bf4d582b9e,18.0,17.0
current_table,e03_agreement_matrix.csv,outputs\extreme_temp_tests\tables\e03_agreement_matrix.csv,True,8407,9c4ba3d248fa04a725862cba6bc387e9,33.0,34.0
current_table,e03_county_floor_effect.csv,outputs\extreme_temp_tests\tables\e03_county_floor_effect.csv,True,271518,7d9c25b14893c6ea423a47fe351f9777,4572.0,12.0
current_table,e03_floor_effect.csv,outputs\extreme_temp_tests\tables\e03_floor_effect.csv,True,3067,a327f28d9810ecd39ceda12ad3cbf3e5,18.0,24.0
current_table,e03_monthly_rates.csv,outputs\extreme_temp_tests\tables\e03_monthly_rates.csv,True,46313,c3d35f138b5da2cd20a1bb95724df9e4,720.0,11.0
current_table,e03_part2_percentile_duration_grid.csv,outputs\extreme_temp_tests\tables\e03_part2_percentile_duration_grid.csv,True,3841,1e3e0ce0e6b9e357907a3e04e14dd905,36.0,17.0
current_figure,e01_fig01_annual_series_by_state.png,outputs\extreme_temp_tests\figures\e01_fig01_annual_series_by_state.png,True,649013,096ec0c32e98204151717ca7bf547578,,
current_figure,e01_fig02_distribution_by_state.png,outputs\extreme_temp_tests\figures\e01_fig02_distribution_by_state.png,True,379684,436c7a3fbdfac17cdf20fea100e9f752,,
current_figure,e01_fig03_decadal_change.png,outputs\extreme_temp_tests\figures\e01_fig03_decadal_change.png,True,279794,9f914064e2f3b137cdd659aaf26b9d02,,
current_figure,e01_fig04_monthly.png,outputs\extreme_temp_tests\figures\e01_fig04_monthly.png,True,397585,b52ff5001f378eada1639cdbc49b29f8,,
current_figure,e03_fig05_part2_percentile_duration_grid.png,outputs\extreme_temp_tests\figures\e03_fig05_part2_percentile_duration_grid.png,True,129823,7975ac8bcc6f2a63f99b914e6ab626af,,
current_figure,e03_fig05b_part2_agreement.png,outputs\extreme_temp_tests\figures\e03_fig05b_part2_agreement.png,True,101243,f0fd7a778fa9a78aaad1e711a7144c94,,
current_figure,e03_fig06_part2_seasonality.png,outputs\extreme_temp_tests\figures\e03_fig06_part2_seasonality.png,True,190920,7405a919be99b0f48c0dae4655d74e28,,
current_figure,e03_fig07_floor_effect.png,outputs\extreme_temp_tests\figures\e03_fig07_floor_effect.png,True,339435,de64e415deab82bbd267f11d2a434d54,,
current_figure,e03_fig08_absolute_vs_relative.png,outputs\extreme_temp_tests\figures\e03_fig08_absolute_vs_relative.png,True,203059,b427c418a8e3492ab6566ec79a9a4750,,
current_figure,e03_fig09_county_floor_effect_map.png,outputs\extreme_temp_tests\figures\e03_fig09_county_floor_effect_map.png,True,272724,704d1addaabd38ea93a02a54fc6dc7e2,,
current_qa,e02_floor_operator_check.csv,outputs\extreme_temp_tests\qa\e02_floor_operator_check.csv,True,1468,ae2a2a693433ca842c143447f9787cdb,2.0,9.0
current_qa,e02_reconciliation.csv,outputs\extreme_temp_tests\qa\e02_reconciliation.csv,True,2417,ba2e48cece320e6e98185ad39491de7b,32.0,6.0
current_document,FINDINGS.md,outputs\extreme_temp_tests\FINDINGS.md,True,11863,83c2489a331a1a4e9301ba5205644ca1,,
current_document,README.md,outputs\extreme_temp_tests\README.md,True,2555,f6cdbd92cec0523b998d6a9068cb5901,,
current_run_output,TMAX_ABS80_2D/county_month_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS80_2D\tables\county_month_summary_none.csv,True,678168,32187f3ad1117873540054986776a777,25946.0,8.0
current_run_output,TMAX_ABS80_2D/county_year_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS80_2D\tables\county_year_summary_none.csv,True,152581,0d397a81843495759d6b4a5b874660ca,2794.0,9.0
current_run_output,TMAX_ABS80_2D/daily_heatwave_days_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS80_2D\tables\daily_heatwave_days_none.csv.gz,True,3618877,742eee1ed4fc940b74e9473b3db07965,528693.0,9.0
current_run_output,TMAX_ABS80_2D/heatwave_events_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS80_2D\tables\heatwave_events_none.csv.gz,True,607079,50723d797c5e5b5f1d6c0d6aa6dc114b,37261.0,10.0
current_run_output,TMAX_ABS80_2D/run_summary_none.json,outputs\extreme_temp_tests\runs\TMAX_ABS80_2D\tables\run_summary_none.json,True,1273,7cb453b0b3150cfca81c3225e4729ad3,,
current_run_output,TMAX_ABS80_3D/county_month_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS80_3D\tables\county_month_summary_none.csv,True,628028,f9ce0e91b34887a78e625df8d6bb830b,23925.0,8.0
current_run_output,TMAX_ABS80_3D/county_year_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS80_3D\tables\county_year_summary_none.csv,True,151626,a7e485e1aecb7630cc1b5188341ca266,2794.0,9.0
current_run_output,TMAX_ABS80_3D/daily_heatwave_days_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS80_3D\tables\daily_heatwave_days_none.csv.gz,True,3481068,f7095659e017d632be29a2150a137994,508219.0,9.0
current_run_output,TMAX_ABS80_3D/heatwave_events_none.csv.gz,outputs\extreme_temp_tests\runs\TMAX_ABS80_3D\tables\heatwave_events_none.csv.gz,True,442982,c878b8739024c8571d156c1878c82885,27024.0,10.0
current_run_output,TMAX_ABS80_3D/run_summary_none.json,outputs\extreme_temp_tests\runs\TMAX_ABS80_3D\tables\run_summary_none.json,True,1272,90c5dda2226b2e901f806063bdf51ee1,,
current_run_output,TMAX_ABS80_5D/county_month_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS80_5D\tables\county_month_summary_none.csv,True,556135,ab9f574d02c0151745a21dc133bb8ed2,21038.0,8.0
current_run_output,TMAX_ABS80_5D/county_year_summary_none.csv,outputs\extreme_temp_tests\runs\TMAX_ABS80_5D\tables\county_year_summary_none.csv,True,150257,ac4b3eecfc07012a3aa406087053e0bd,2794.0,9.0
