construct_id,legacy_definition_id,window,quantity,rebuilt,stored,only_rebuilt,only_stored,result
REL_TX_P90_D3_MON,TMAX_P90_3D,month,event_boundaries,16596,16596,0,0,PASS
REL_TX_P90_D3_MONPM7,TMAX_P90_3D,month_pm7,classified_county_dates,72426,72426,0,0,PASS
REL_TX_P90_D3_MONPM7,TMAX_P90_3D,month_pm7,event_boundaries,15063,15063,0,0,PASS
REL_TX_P90_D5_W05,TMAX_P90_5D,w05,classified_county_dates,48844,48844,0,0,PASS
REL_TX_P90_D5_W05,TMAX_P90_5D,w05,event_boundaries,6533,6533,0,0,PASS
REL_TX_P90_D5_W15,TMAX_P90_5D,w15,classified_county_dates,45071,45071,0,0,PASS
REL_TX_P90_D5_W15,TMAX_P90_5D,w15,event_boundaries,6005,6005,0,0,PASS
REL_TX_P90_D5_MON,TMAX_P90_5D,month,classified_county_dates,45276,45276,0,0,PASS
REL_TX_P90_D5_MON,TMAX_P90_5D,month,event_boundaries,6086,6086,0,0,PASS
REL_TX_P90_D5_MONPM7,TMAX_P90_5D,month_pm7,classified_county_dates,40274,40274,0,0,PASS
REL_TX_P90_D5_MONPM7,TMAX_P90_5D,month_pm7,event_boundaries,5430,5430,0,0,PASS
HYB_TX_P80_D2_A80_W15,TMAX_P80_2D_F80,w15,classified_county_dates,160847,160847,0,0,PASS
HYB_TX_P80_D2_A80_W15,TMAX_P80_2D_F80,w15,event_boundaries,38323,38323,0,0,PASS
HYB_TX_P80_D3_A80_W15,TMAX_P80_3D_F80,w15,classified_county_dates,130885,130885,0,0,PASS
HYB_TX_P80_D3_A80_W15,TMAX_P80_3D_F80,w15,event_boundaries,23342,23342,0,0,PASS
HYB_TX_P80_D5_A80_W15,TMAX_P80_5D_F80,w15,classified_county_dates,87258,87258,0,0,PASS
HYB_TX_P80_D5_A80_W15,TMAX_P80_5D_F80,w15,event_boundaries,10369,10369,0,0,PASS
HYB_TX_P85_D2_A80_W15,TMAX_P85_2D_F80,w15,classified_county_dates,125734,125734,0,0,PASS
