year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,9837,254,2856
2016,11251,254,3247
2017,13970,254,4554
2018,12267,254,3226
2019,10275,254,2901
2020,12984,254,4123
2021,10424,254,3001
2022,20495,254,4732
2023,24983,254,5204
2024,17626,254,4721
2025,16892,254,4360
