year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,9665,254,2788
2016,9620,254,3011
2017,13167,254,4214
2018,11643,254,3050
2019,8918,254,2606
2020,11065,254,3370
2021,9332,254,2736
2022,19296,254,4512
2023,23409,254,4723
2024,15652,254,4086
2025,16455,254,4276
