year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,10489,254,2933
2016,10328,254,3187
2017,14123,254,4435
2018,12398,254,3233
2019,9866,254,2836
2020,11908,254,3599
2021,10351,254,2970
2022,20286,254,4731
2023,24213,254,4878
2024,16696,254,4292
2025,17691,254,4455
