year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2344,210,891
2016,5025,254,1736
2017,4881,253,1687
2018,3461,245,1155
2019,3388,251,1121
2020,3128,248,1152
2021,4782,254,1559
2022,4692,253,1655
2023,8843,252,2669
2024,6552,254,2183
2025,6177,253,1791
