year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2869,238,1102
2016,5404,253,1776
2017,5209,254,1830
2018,2883,234,1102
2019,4313,251,1340
2020,4163,250,1507
2021,4805,254,1528
2022,5290,251,1826
2023,9252,251,2900
2024,7840,253,2709
2025,6862,254,1779
