year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2340,216,918
2016,5060,253,1692
2017,4549,253,1610
2018,2392,223,910
2019,3730,249,1203
2020,3505,251,1269
2021,4203,254,1326
2022,4669,252,1612
2023,8703,251,2766
2024,7216,253,2524
2025,6419,254,1680
