year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,1770,189,699
2016,4324,253,1518
2017,4217,253,1495
2018,2654,240,970
2019,3048,247,1015
2020,2673,246,968
2021,3933,252,1350
2022,3846,251,1368
2023,7863,251,2381
2024,5783,253,1934
2025,4996,252,1486
