year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,1856,210,449
2016,2217,214,603
2017,2342,223,663
2018,2453,225,548
2019,1363,176,330
2020,2365,222,577
2021,2556,243,594
2022,5664,246,1336
2023,9134,250,1623
2024,3919,247,892
2025,5007,252,1058
