year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,1524,182,385
2016,1563,188,449
2017,2648,237,698
2018,2573,230,547
2019,1720,209,395
2020,2282,227,551
2021,2581,241,643
2022,5379,245,1291
2023,9902,253,1662
2024,3600,235,837
2025,4654,249,1113
