year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,2150,217,526
2016,2846,228,753
2017,2839,237,784
2018,2726,229,600
2019,1779,201,447
2020,2926,236,713
2021,2927,246,685
2022,6293,248,1388
2023,9277,251,1656
2024,4709,251,1049
2025,5505,253,1153
