year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,11065,253,3420
2016,15815,254,4406
2017,16754,254,5099
2018,12173,254,3421
2019,13106,254,3611
2020,11877,254,3788
2021,13111,254,3832
2022,15975,254,4541
2023,21881,254,5381
2024,21104,254,5623
2025,18254,254,4576
