year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,984,163,261
2016,3247,242,809
2017,2276,216,575
2018,2506,227,587
2019,3319,232,823
2020,2992,210,688
2021,2542,244,690
2022,5643,250,1231
2023,7851,252,1480
2024,4449,248,1030
2025,3603,246,834
