year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,1084,157,310
2016,2969,233,746
2017,2465,224,633
2018,2130,194,540
2019,4223,247,978
2020,3316,224,775
2021,2803,253,705
2022,5777,251,1297
2023,8356,251,1657
2024,5189,245,1233
2025,4326,252,941
