year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,1189,175,307
2016,3711,248,906
2017,2624,229,658
2018,2842,229,654
2019,3607,236,894
2020,3125,215,723
2021,3028,251,800
2022,6012,251,1321
2023,8233,252,1588
2024,4805,250,1130
2025,4133,246,937
