year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,1389,182,388
2016,3654,246,892
2017,2752,231,709
2018,2457,205,623
2019,4579,250,1028
2020,3647,228,864
2021,3087,251,776
2022,6289,250,1407
2023,8658,251,1709
2024,5800,246,1403
2025,4787,253,1033
