year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,3404,225,864
2016,6915,254,1690
2017,6021,254,1425
2018,4873,247,1059
2019,4853,249,1102
2020,3828,238,903
2021,6081,254,1465
2022,6658,254,1667
2023,11563,252,2354
2024,8732,254,1918
2025,8084,254,1677
