year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,4531,246,1167
2016,7981,254,1810
2017,6592,254,1582
2018,4452,236,1054
2019,6720,253,1363
2020,5313,251,1324
2021,6467,254,1507
2022,8195,254,1863
2023,12505,252,2626
2024,11039,254,2527
2025,9029,254,1693
