year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,3989,236,1037
2016,7684,253,1768
2017,6169,254,1481
2018,4130,233,974
2019,6258,252,1257
2020,4714,249,1151
2021,6000,254,1383
2022,7651,254,1809
2023,12197,252,2579
2024,10459,254,2379
2025,8534,254,1625
