year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,4077,238,1023
2016,7685,254,1867
2017,6904,254,1636
2018,5384,249,1124
2019,5567,252,1244
2020,4258,239,1015
2021,6825,254,1631
2022,7554,254,1885
2023,12397,252,2524
2024,9781,254,2159
2025,9454,254,1934
