run_a,run_b,jaccard,n_axes_differing,axes_differing,single_axis,metric_a,metric_b,percentile_a,percentile_b,duration_a,duration_b,window_a,window_b
TMIN_P85_3D__w05,TMIN_P85_3D__month_pm7,0.6978,1,window,window,TMIN,TMIN,85,85,3,3,w05,month_pm7
TMIN_P90_3D__w15,TMIN_P90_3D__month,0.6989,1,window,window,TMIN,TMIN,90,90,3,3,w15,month
TMAX_P95_2D__w05,TMAX_P95_3D__w05,0.699,1,duration,duration,TMAX,TMAX,95,95,2,3,w05,w05
TMAX_P85_2D__w15,TMAX_P85_2D__month_pm7,0.6991,1,window,window,TMAX,TMAX,85,85,2,2,w15,month_pm7
TMIN_P95_2D__month,TMIN_P95_3D__month,0.6996,1,duration,duration,TMIN,TMIN,95,95,2,3,month,month
TMIN_P85_3D__w05,TMIN_P85_3D__month,0.7035,1,window,window,TMIN,TMIN,85,85,3,3,w05,month
MHI_P90_2D__w15,MHI_P90_3D__w15,0.7056,1,duration,duration,MHI,MHI,90,90,2,3,w15,w15
TMAX_P85_2D__w15,TMAX_P85_2D__month,0.7073,1,window,window,TMAX,TMAX,85,85,2,2,w15,month
MHI_P90_2D__w05,MHI_P90_3D__w05,0.7091,1,duration,duration,MHI,MHI,90,90,2,3,w05,w05
MHI_P90_2D__month_pm7,MHI_P90_3D__month_pm7,0.7138,1,duration,duration,MHI,MHI,90,90,2,3,month_pm7,month_pm7
TMIN_P90_2D__w15,TMIN_P90_2D__month_pm7,0.7171,1,window,window,TMIN,TMIN,90,90,2,2,w15,month_pm7
TMIN_P85_2D__w05,TMIN_P85_2D__month_pm7,0.7209,1,window,window,TMIN,TMIN,85,85,2,2,w05,month_pm7
TMIN_P90_2D__w15,TMIN_P90_2D__month,0.7223,1,window,window,TMIN,TMIN,90,90,2,2,w15,month
MHI_P90_2D__month,MHI_P90_3D__month,0.724,1,duration,duration,MHI,MHI,90,90,2,3,month,month
TMIN_P85_3D__w15,TMIN_P85_3D__month_pm7,0.7253,1,window,window,TMIN,TMIN,85,85,3,3,w15,month_pm7
TMIN_P85_2D__w05,TMIN_P85_2D__month,0.7269,1,window,window,TMIN,TMIN,85,85,2,2,w05,month
TMIN_P85_3D__w15,TMIN_P85_3D__month,0.7283,1,window,window,TMIN,TMIN,85,85,3,3,w15,month
TMAX_P90_2D__month_pm7,TMAX_P90_3D__month_pm7,0.743,1,duration,duration,TMAX,TMAX,90,90,2,3,month_pm7,month_pm7
TMAX_P90_2D__w15,TMAX_P90_3D__w15,0.7453,1,duration,duration,TMAX,TMAX,90,90,2,3,w15,w15
TMIN_P85_2D__w15,TMIN_P85_2D__month_pm7,0.7471,1,window,window,TMIN,TMIN,85,85,2,2,w15,month_pm7
TMIN_P90_2D__w15,TMIN_P90_3D__w15,0.7484,1,duration,duration,TMIN,TMIN,90,90,2,3,w15,w15
TMIN_P90_2D__w05,TMIN_P90_3D__w05,0.7496,1,duration,duration,TMIN,TMIN,90,90,2,3,w05,w05
TMAX_P90_2D__w05,TMAX_P90_3D__w05,0.75,1,duration,duration,TMAX,TMAX,90,90,2,3,w05,w05
TMIN_P85_2D__w15,TMIN_P85_2D__month,0.7513,1,window,window,TMIN,TMIN,85,85,2,2,w15,month
TMAX_P90_2D__month,TMAX_P90_3D__month,0.7535,1,duration,duration,TMAX,TMAX,90,90,2,3,month,month
TMIN_P90_2D__month_pm7,TMIN_P90_3D__month_pm7,0.7587,1,duration,duration,TMIN,TMIN,90,90,2,3,month_pm7,month_pm7
TMIN_P90_2D__month,TMIN_P90_3D__month,0.7613,1,duration,duration,TMIN,TMIN,90,90,2,3,month,month
TMAX_P85_2D__w15,TMAX_P85_3D__w15,0.7752,1,duration,duration,TMAX,TMAX,85,85,2,3,w15,w15
TMIN_P95_3D__w05,TMIN_P95_3D__w15,0.7791,1,window,window,TMIN,TMIN,95,95,3,3,w05,w15
TMAX_P85_2D__month_pm7,TMAX_P85_3D__month_pm7,0.7804,1,duration,duration,TMAX,TMAX,85,85,2,3,month_pm7,month_pm7
TMAX_P85_2D__w05,TMAX_P85_3D__w05,0.7806,1,duration,duration,TMAX,TMAX,85,85,2,3,w05,w05
TMAX_P95_3D__w05,TMAX_P95_3D__w15,0.7819,1,window,window,TMAX,TMAX,95,95,3,3,w05,w15
TMAX_P85_2D__month,TMAX_P85_3D__month,0.7864,1,duration,duration,TMAX,TMAX,85,85,2,3,month,month
TMIN_P85_2D__w15,TMIN_P85_3D__w15,0.7882,1,duration,duration,TMIN,TMIN,85,85,2,3,w15,w15
TMIN_P85_2D__w05,TMIN_P85_3D__w05,0.7912,1,duration,duration,TMIN,TMIN,85,85,2,3,w05,w05
TMIN_P85_2D__month_pm7,TMIN_P85_3D__month_pm7,0.7932,1,duration,duration,TMIN,TMIN,85,85,2,3,month_pm7,month_pm7
TMIN_P95_2D__w05,TMIN_P95_2D__w15,0.7944,1,window,window,TMIN,TMIN,95,95,2,2,w05,w15
TMIN_P85_2D__month,TMIN_P85_3D__month,0.7969,1,duration,duration,TMIN,TMIN,85,85,2,3,month,month
TMAX_P95_2D__w05,TMAX_P95_2D__w15,0.8011,1,window,window,TMAX,TMAX,95,95,2,2,w05,w15
TMAX_P95_3D__month,TMAX_P95_3D__month_pm7,0.8293,1,window,window,TMAX,TMAX,95,95,3,3,month,month_pm7
MHI_P90_3D__w05,MHI_P90_3D__w15,0.8348,1,window,window,MHI,MHI,90,90,3,3,w05,w15
TMIN_P90_3D__w05,TMIN_P90_3D__w15,0.8427,1,window,window,TMIN,TMIN,90,90,3,3,w05,w15
TMAX_P95_2D__month,TMAX_P95_2D__month_pm7,0.8463,1,window,window,TMAX,TMAX,95,95,2,2,month,month_pm7
MHI_P90_2D__w05,MHI_P90_2D__w15,0.8496,1,window,window,MHI,MHI,90,90,2,2,w05,w15
MHI_P90_3D__month,MHI_P90_3D__month_pm7,0.851,1,window,window,MHI,MHI,90,90,3,3,month,month_pm7
TMAX_P90_3D__w05,TMAX_P90_3D__w15,0.8518,1,window,window,TMAX,TMAX,90,90,3,3,w05,w15
TMIN_P90_2D__w05,TMIN_P90_2D__w15,0.8576,1,window,window,TMIN,TMIN,90,90,2,2,w05,w15
TMAX_P90_2D__w05,TMAX_P90_2D__w15,0.8637,1,window,window,TMAX,TMAX,90,90,2,2,w05,w15
TMIN_P95_3D__month,TMIN_P95_3D__month_pm7,0.8662,1,window,window,TMIN,TMIN,95,95,3,3,month,month_pm7
MHI_P90_2D__month,MHI_P90_2D__month_pm7,0.8712,1,window,window,MHI,MHI,90,90,2,2,month,month_pm7
TMIN_P85_3D__w05,TMIN_P85_3D__w15,0.873,1,window,window,TMIN,TMIN,85,85,3,3,w05,w15
TMAX_P85_3D__w05,TMAX_P85_3D__w15,0.8776,1,window,window,TMAX,TMAX,85,85,3,3,w05,w15
TMAX_P90_3D__month,TMAX_P90_3D__month_pm7,0.8783,1,window,window,TMAX,TMAX,90,90,3,3,month,month_pm7
TMIN_P95_2D__month,TMIN_P95_2D__month_pm7,0.8798,1,window,window,TMIN,TMIN,95,95,2,2,month,month_pm7
TMIN_P85_2D__w05,TMIN_P85_2D__w15,0.8849,1,window,window,TMIN,TMIN,85,85,2,2,w05,w15
TMAX_P85_2D__w05,TMAX_P85_2D__w15,0.8884,1,window,window,TMAX,TMAX,85,85,2,2,w05,w15
TMAX_P90_2D__month,TMAX_P90_2D__month_pm7,0.8931,1,window,window,TMAX,TMAX,90,90,2,2,month,month_pm7
TMIN_P90_3D__month,TMIN_P90_3D__month_pm7,0.9041,1,window,window,TMIN,TMIN,90,90,3,3,month,month_pm7
TMAX_P85_3D__month,TMAX_P85_3D__month_pm7,0.9071,1,window,window,TMAX,TMAX,85,85,3,3,month,month_pm7
TMIN_P90_2D__month,TMIN_P90_2D__month_pm7,0.9135,1,window,window,TMIN,TMIN,90,90,2,2,month,month_pm7
TMAX_P85_2D__month,TMAX_P85_2D__month_pm7,0.9167,1,window,window,TMAX,TMAX,85,85,2,2,month,month_pm7
TMIN_P85_3D__month,TMIN_P85_3D__month_pm7,0.9254,1,window,window,TMIN,TMIN,85,85,3,3,month,month_pm7
TMIN_P85_2D__month,TMIN_P85_2D__month_pm7,0.9333,1,window,window,TMIN,TMIN,85,85,2,2,month,month_pm7
TMIN_P85_3D__month_pm7,TMAX_P95_3D__month_pm7,0.1357,2,metric+percentile,,TMIN,TMAX,85,95,3,3,month_pm7,month_pm7
TMIN_P85_3D__month,TMAX_P95_3D__month,0.1468,2,metric+percentile,,TMIN,TMAX,85,95,3,3,month,month
TMIN_P85_3D__w15,TMAX_P95_3D__w15,0.1497,2,metric+percentile,,TMIN,TMAX,85,95,3,3,w15,w15
TMIN_P85_2D__month_pm7,TMAX_P95_2D__month_pm7,0.1568,2,metric+percentile,,TMIN,TMAX,85,95,2,2,month_pm7,month_pm7
TMIN_P85_3D__w05,TMAX_P95_3D__w05,0.1582,2,metric+percentile,,TMIN,TMAX,85,95,3,3,w05,w05
TMIN_P90_3D__month_pm7,TMAX_P95_3D__month_pm7,0.1617,2,metric+percentile,,TMIN,TMAX,90,95,3,3,month_pm7,month_pm7
TMAX_P95_3D__month_pm7,TMIN_P95_3D__w05,0.1641,2,metric+window,,TMAX,TMIN,95,95,3,3,month_pm7,w05
