axis,contrast_pair,from_run,to_run,from_value,to_value,days_from,days_to,days_ratio_hi_over_lo,pct_change,jaccard
metric,TMAX vs TMIN,TMAX_P85_3D__month,TMIN_P85_3D__month,TMAX,TMIN,124531,145237,1.1663,16.6,0.287
metric,TMAX vs TMIN,TMAX_P85_2D__w15,TMIN_P85_2D__w15,TMAX,TMIN,161004,181444,1.127,12.7,0.2965
metric,TMAX vs TMIN,TMAX_P85_2D__w05,TMIN_P85_2D__w05,TMAX,TMIN,166682,187198,1.1231,12.3,0.2993
metric,TMAX vs TMIN,TMAX_P85_2D__month_pm7,TMIN_P85_2D__month_pm7,TMAX,TMIN,148222,174134,1.1748,17.5,0.3008
metric,TMAX vs TMIN,TMAX_P85_2D__month,TMIN_P85_2D__month,TMAX,TMIN,158349,182251,1.1509,15.1,0.3086
metric,MHI vs TMAX,MHI_P90_3D__month_pm7,TMAX_P90_3D__month_pm7,MHI,TMAX,71012,72426,1.0199,2.0,0.345
metric,MHI vs TMAX,MHI_P90_3D__w15,TMAX_P90_3D__w15,MHI,TMAX,77785,80755,1.0382,3.8,0.3507
metric,MHI vs TMAX,MHI_P90_3D__month,TMAX_P90_3D__month,MHI,TMAX,79886,80451,1.0071,0.7,0.3582
metric,MHI vs TMAX,MHI_P90_3D__w05,TMAX_P90_3D__w05,MHI,TMAX,82824,85949,1.0377,3.8,0.3592
metric,MHI vs TMAX,TMAX_P90_2D__month_pm7,MHI_P90_2D__month_pm7,TMAX,MHI,97478,99482,1.0206,2.1,0.383
metric,MHI vs TMAX,TMAX_P90_2D__w15,MHI_P90_2D__w15,TMAX,MHI,108359,110243,1.0174,1.7,0.3832
metric,MHI vs TMAX,TMAX_P90_2D__w05,MHI_P90_2D__w05,TMAX,MHI,114603,116802,1.0192,1.9,0.391
metric,MHI vs TMAX,TMAX_P90_2D__month,MHI_P90_2D__month,TMAX,MHI,106769,110334,1.0334,3.3,0.396
metric,MHI vs TMIN,MHI_P90_3D__w05,TMIN_P90_3D__w05,MHI,TMIN,82824,95876,1.1576,15.8,0.4621
metric,MHI vs TMIN,MHI_P90_3D__w15,TMIN_P90_3D__w15,MHI,TMIN,77785,91133,1.1716,17.2,0.4622
metric,MHI vs TMIN,MHI_P90_3D__month_pm7,TMIN_P90_3D__month_pm7,MHI,TMIN,71012,87272,1.229,22.9,0.4655
metric,MHI vs TMIN,MHI_P90_3D__month,TMIN_P90_3D__month,MHI,TMIN,79886,93161,1.1662,16.6,0.473
metric,MHI vs TMIN,MHI_P90_2D__month_pm7,TMIN_P90_2D__month_pm7,MHI,TMIN,99482,115028,1.1563,15.6,0.4995
metric,MHI vs TMIN,MHI_P90_2D__w15,TMIN_P90_2D__w15,MHI,TMIN,110243,121777,1.1046,10.5,0.4998
metric,MHI vs TMIN,MHI_P90_2D__w05,TMIN_P90_2D__w05,MHI,TMIN,116802,127906,1.0951,9.5,0.5009
metric,MHI vs TMIN,MHI_P90_2D__month,TMIN_P90_2D__month,MHI,TMIN,110334,122363,1.109,10.9,0.5096
percentile,85 vs 95,TMAX_P95_3D__month_pm7,TMAX_P85_3D__month_pm7,95,85,32851,115678,3.5213,252.1,0.284
percentile,85 vs 95,TMIN_P95_3D__month_pm7,TMIN_P85_3D__month_pm7,95,85,39412,138124,3.5046,250.5,0.2853
percentile,85 vs 95,TMIN_P95_3D__w15,TMIN_P85_3D__w15,95,85,42638,143020,3.3543,235.4,0.2981
percentile,85 vs 95,TMIN_P95_3D__month,TMIN_P85_3D__month,95,85,43309,145237,3.3535,235.4,0.2982
percentile,85 vs 95,TMAX_P95_3D__month,TMAX_P85_3D__month,95,85,38426,124531,3.2408,224.1,0.3086
percentile,85 vs 95,TMAX_P95_3D__w15,TMAX_P85_3D__w15,95,85,38876,124812,3.2105,221.1,0.3115
percentile,85 vs 95,TMIN_P95_3D__w05,TMIN_P85_3D__w05,95,85,47099,148116,3.1448,214.5,0.318
percentile,85 vs 95,TMAX_P95_2D__month_pm7,TMAX_P85_2D__month_pm7,95,85,48059,148222,3.0842,208.4,0.3242
percentile,85 vs 95,TMIN_P95_2D__month_pm7,TMIN_P85_2D__month_pm7,95,85,56590,174134,3.0771,207.7,0.325
percentile,85 vs 95,TMAX_P95_3D__w05,TMAX_P85_3D__w05,95,85,43977,130118,2.9588,195.9,0.338
percentile,85 vs 95,TMIN_P95_2D__w15,TMIN_P85_2D__w15,95,85,61496,181444,2.9505,195.1,0.3389
percentile,85 vs 95,TMIN_P95_2D__month,TMIN_P85_2D__month,95,85,61903,182251,2.9441,194.4,0.3397
percentile,85 vs 95,TMAX_P95_2D__month,TMAX_P85_2D__month,95,85,55270,158349,2.865,186.5,0.349
