run_id,definition_id,metric_code,percentile,min_duration,window_key,heatwave_days_total,pct_Jan,pct_Feb,pct_Mar,pct_Apr,pct_May,pct_Jun,pct_Jul,pct_Aug,pct_Sep,pct_Oct,pct_Nov,pct_Dec,pct_jun_sep,pct_outside_jun_sep,peak_month
TMAX_P90_3D__month,TMAX_P90_3D,TMAX,90,3,month,80451,3.65,6.81,7.35,1.57,9.19,8.46,11.53,13.83,7.21,11.08,7.87,11.45,41.03,58.97,Aug
TMAX_P90_3D__month_pm7,TMAX_P90_3D,TMAX,90,3,month_pm7,72426,3.87,7.41,6.98,1.44,8.78,9.65,12.2,15.78,6.0,9.42,7.24,11.23,43.64,56.36,Aug
TMIN_P90_3D__w05,TMIN_P90_3D,TMIN,90,3,w05,95876,4.47,6.62,5.68,4.95,7.54,9.49,12.64,13.46,9.8,7.39,6.23,11.71,45.38,54.62,Aug
TMIN_P90_3D__w15,TMIN_P90_3D,TMIN,90,3,w15,91133,4.54,6.74,5.66,4.83,7.17,9.56,12.69,13.97,9.67,7.61,5.77,11.8,45.89,54.11,Aug
TMIN_P90_3D__month,TMIN_P90_3D,TMIN,90,3,month,93161,4.59,5.52,5.66,5.27,6.95,10.2,12.49,14.04,9.58,7.8,7.06,10.83,46.31,53.69,Aug
TMIN_P90_3D__month_pm7,TMIN_P90_3D,TMIN,90,3,month_pm7,87272,4.3,5.54,5.75,4.81,6.41,11.11,13.2,15.95,8.28,7.21,6.34,11.11,48.52,51.48,Aug
TMAX_P85_3D__w05,TMAX_P85_3D,TMAX,85,3,w05,130118,4.48,7.29,7.39,2.99,8.46,8.53,10.64,11.4,9.88,11.59,6.52,10.83,40.45,59.55,Oct
TMAX_P85_3D__w15,TMAX_P85_3D,TMAX,85,3,w15,124812,4.54,7.36,7.19,2.91,8.44,8.86,10.7,11.85,9.99,11.14,6.23,10.78,41.4,58.6,Aug
TMAX_P85_3D__month,TMAX_P85_3D,TMAX,85,3,month,124531,4.29,7.07,7.52,2.62,8.69,8.81,10.9,12.23,8.16,11.36,7.71,10.65,40.1,59.9,Aug
TMAX_P85_3D__month_pm7,TMAX_P85_3D,TMAX,85,3,month_pm7,115678,4.56,7.48,7.37,2.6,8.58,9.74,11.28,13.59,6.84,10.2,7.28,10.49,41.45,58.55,Aug
TMIN_P85_3D__w05,TMIN_P85_3D,TMIN,85,3,w05,148116,5.41,6.32,6.99,5.58,7.65,9.58,11.7,12.32,9.72,7.58,6.43,10.71,43.33,56.67,Aug
TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,143020,5.5,6.32,6.94,5.39,7.4,9.71,11.86,12.72,9.65,7.65,6.14,10.72,43.94,56.06,Aug
TMIN_P85_3D__month,TMIN_P85_3D,TMIN,85,3,month,145237,5.42,5.72,6.85,5.69,7.09,10.08,11.8,12.87,9.55,7.96,7.16,9.82,44.3,55.7,Aug
TMIN_P85_3D__month_pm7,TMIN_P85_3D,TMIN,85,3,month_pm7,138124,5.36,5.76,6.98,5.31,6.73,10.72,12.42,14.25,8.45,7.53,6.49,10.0,45.84,54.16,Aug
TMAX_P95_3D__w05,TMAX_P95_3D,TMAX,95,3,w05,43977,2.73,6.57,5.68,1.09,9.01,7.92,12.0,15.5,7.94,11.83,6.95,12.75,43.37,56.63,Aug
TMAX_P95_3D__w15,TMAX_P95_3D,TMAX,95,3,w15,38876,2.78,6.69,5.41,0.8,8.55,8.35,12.4,17.18,7.75,10.55,6.36,13.19,45.68,54.32,Aug
TMAX_P95_3D__month,TMAX_P95_3D,TMAX,95,3,month,38426,2.4,5.93,6.43,0.64,8.68,7.99,12.8,17.38,7.02,10.4,8.03,12.29,45.2,54.8,Aug
TMAX_P95_3D__month_pm7,TMAX_P95_3D,TMAX,95,3,month_pm7,32851,2.53,6.83,6.23,0.55,8.09,9.25,13.67,20.73,6.37,7.71,6.67,11.37,50.03,49.97,Aug
TMIN_P95_3D__w05,TMIN_P95_3D,TMIN,95,3,w05,47099,3.44,6.52,3.55,3.99,7.65,9.27,13.96,14.63,9.97,7.11,5.89,14.02,47.83,52.17,Aug
TMIN_P95_3D__w15,TMIN_P95_3D,TMIN,95,3,w15,42638,3.35,6.7,3.53,3.78,7.28,9.52,14.16,15.37,9.75,7.32,5.11,14.12,48.8,51.2,Aug
TMIN_P95_3D__month,TMIN_P95_3D,TMIN,95,3,month,43309,3.16,5.18,3.73,4.76,6.76,10.02,13.59,15.92,9.34,7.88,7.33,12.34,48.86,51.14,Aug
TMIN_P95_3D__month_pm7,TMIN_P95_3D,TMIN,95,3,month_pm7,39412,2.76,5.44,3.53,3.79,6.28,11.48,14.47,18.67,7.57,7.41,6.39,12.22,52.19,47.81,Aug
MHI_P90_3D__w05,MHI_P90_3D,MHI,90,3,w05,82824,4.43,7.77,6.92,3.83,8.15,8.44,9.07,10.53,10.12,9.77,7.01,13.95,38.16,61.84,Dec
MHI_P90_3D__w15,MHI_P90_3D,MHI,90,3,w15,77785,4.57,8.13,6.78,3.76,7.62,8.65,9.28,11.06,10.22,9.54,6.58,13.8,39.21,60.79,Dec
MHI_P90_3D__month,MHI_P90_3D,MHI,90,3,month,79886,4.31,6.82,7.63,4.19,7.49,9.13,8.81,11.42,8.75,9.93,8.85,12.7,38.09,61.91,Dec
MHI_P90_3D__month_pm7,MHI_P90_3D,MHI,90,3,month_pm7,71012,4.38,7.46,7.89,3.45,6.38,10.13,9.76,14.52,6.61,8.28,8.13,13.03,41.02,58.98,Aug
