run_id,MHI_P90_2D__month,MHI_P90_2D__month_pm7,MHI_P90_2D__w05,MHI_P90_2D__w15,MHI_P90_3D__month,MHI_P90_3D__month_pm7,MHI_P90_3D__w05,MHI_P90_3D__w15,TMAX_P85_2D__month,TMAX_P85_2D__month_pm7,TMAX_P85_2D__w05,TMAX_P85_2D__w15,TMAX_P85_3D__month,TMAX_P85_3D__month_pm7,TMAX_P85_3D__w05,TMAX_P85_3D__w15,TMAX_P90_2D__month,TMAX_P90_2D__month_pm7,TMAX_P90_2D__w05,TMAX_P90_2D__w15,TMAX_P90_3D__month,TMAX_P90_3D__month_pm7,TMAX_P90_3D__w05,TMAX_P90_3D__w15,TMAX_P95_2D__month,TMAX_P95_2D__month_pm7,TMAX_P95_2D__w05,TMAX_P95_2D__w15,TMAX_P95_3D__month,TMAX_P95_3D__month_pm7,TMAX_P95_3D__w05,TMAX_P95_3D__w15,TMIN_P85_2D__month,TMIN_P85_2D__month_pm7,TMIN_P85_2D__w05,TMIN_P85_2D__w15,TMIN_P85_3D__month,TMIN_P85_3D__month_pm7,TMIN_P85_3D__w05,TMIN_P85_3D__w15,TMIN_P90_2D__month,TMIN_P90_2D__month_pm7,TMIN_P90_2D__w05,TMIN_P90_2D__w15,TMIN_P90_3D__month,TMIN_P90_3D__month_pm7,TMIN_P90_3D__w05,TMIN_P90_3D__w15,TMIN_P95_2D__month,TMIN_P95_2D__month_pm7,TMIN_P95_2D__w05,TMIN_P95_2D__w15,TMIN_P95_3D__month,TMIN_P95_3D__month_pm7,TMIN_P95_3D__w05,TMIN_P95_3D__w15
MHI_P90_2D__month,1.0,0.9931472879080115,0.9869488117153804,0.9868629185605134,0.9846069065597273,0.9770006482930588,0.9734813283453412,0.9747563228013111,0.7523579784620912,0.7508521982065076,0.732092209359839,0.7289058623960908,0.7172334223153375,0.7250014875265289,0.6915836245840058,0.6911191828889567,0.7276838595130033,0.7126270009637111,0.7155723769800599,0.7141419432350959,0.6907127917768793,0.6853445363936634,0.6833114980059413,0.6821016003847074,0.66971680912409,0.6442822614084475,0.7083768685610584,0.6992974922202562,0.641376580634146,0.6262911377655037,0.6939023944908026,0.6770743489898209,0.7692720747570899,0.7569073862333081,0.7796179841519025,0.7731683012532921,0.7481606504330768,0.7307856093608576,0.7577107980129038,0.7534455461138676,0.8002125563888286,0.7794397920060002,0.7986699967718066,0.7946068411424676,0.7766116161997364,0.7564275129626273,0.7798785927842588,0.769765095456247,0.805126798705105,0.7884298125984843,0.8073764504226376,0.8070413605690964,0.7766822246578189,0.7605674957916867,0.773401826050816,0.7720246745718669
MHI_P90_2D__month_pm7,0.9931472879080115,1.0,0.9768689571280809,0.9785905931628651,0.9793473108737851,0.9827850538334721,0.966852646389637,0.9693397876027522,0.7567367614217223,0.7564615052302252,0.7404692460675505,0.7354249712614865,0.7278218166042169,0.7369992845292859,0.70467307412128,0.7026130430989673,0.7334457816067231,0.71898245605085,0.722478708169118,0.7188183695290916,0.7015600887650402,0.6969876610844251,0.6952665511502986,0.6917292379684926,0.6757598687336606,0.6500177316812308,0.7129355651276839,0.7019728334089719,0.6512726755900129,0.635722571794107,0.7052707550216117,0.6847143344357087,0.7640527401581619,0.7601790735921188,0.7726537581644941,0.767112867249705,0.7438632689876682,0.733628299641389,0.7522803492357842,0.749067988925277,0.7952647613946102,0.7824327003962451,0.7917390826009284,0.7887788090214978,0.7705669354545778,0.7587534362070203,0.7737801308223368,0.7645296297432469,0.8040116198590623,0.7952691336830383,0.8045265813370786,0.8057749591390719,0.7733479948251618,0.7654522016862582,0.7709478674002681,0.7719724027893033
MHI_P90_2D__w05,0.9869488117153804,0.9768689571280809,1.0,0.9958772433155333,0.9749386956202488,0.9629255672043984,0.9818038916322015,0.9796547717929063,0.7464491809065698,0.7441213297105318,0.7230435153574023,0.7213575421776872,0.7077187160564057,0.7141910624116619,0.6803295645900193,0.6813548765538334,0.7184259032891332,0.7054415607721295,0.7078349604298929,0.7081501691147146,0.6757028160388485,0.6714713466789256,0.6702719199623948,0.6702806791905404,0.6646305629191092,0.6415175829673221,0.7042195838242188,0.6947608664657733,0.6350410429015738,0.6209323996060373,0.6826072693848715,0.6675782958633318,0.7811080970297144,0.7613152330159078,0.7954395289097639,0.7864368550566119,0.7587873413168372,0.7351705287133549,0.7727029649010705,0.7665875159081981,0.8060473377956867,0.7777358324763852,0.8135578543010358,0.8075091937561852,0.7833490934466302,0.7553230520690547,0.7945542945724776,0.7814843585409603,0.8106459639484576,0.7881122598150141,0.8146231365512553,0.8146117578445566,0.7841226804432597,0.7619759805558429,0.779397384824799,0.776882383519837
MHI_P90_2D__w15,0.9868629185605134,0.9785905931628651,0.9958772433155333,1.0,0.9728714770461583,0.9620514598875527,0.9763603309421394,0.9790902874963947,0.7410031072253187,0.7392995140367322,0.7171202829093852,0.7166025524160303,0.6985198257049826,0.706360125731666,0.6719357595538668,0.6732902804865067,0.7149123449442455,0.7022985204098625,0.7025359861878306,0.7025781979212321,0.6684429721603148,0.6637131590431651,0.6617439048279877,0.6616037426431914,0.6585564698168588,0.6379342353658427,0.6988191466926863,0.6899912615699099,0.6259265180657222,0.6135851210301587,0.6742092724434484,0.659414262833064,0.7754627455605692,0.7549302123187256,0.7883297819333155,0.7803775917396877,0.7522613410402779,0.7280005668138743,0.7645138972455648,0.7605446804995739,0.8016139963938345,0.7737726029164731,0.8087254256876715,0.8033728302158845,0.7784942512001526,0.7514739806194548,0.7895237514654798,0.7769969636251551,0.8081638825878527,0.7858207210712501,0.8124343655864279,0.812942564698655,0.7812390094566181,0.7594844496521578,0.7746777608671453,0.7734613595145584
MHI_P90_3D__month,0.9846069065597273,0.9793473108737851,0.9749386956202488,0.9728714770461583,1.0,0.9895403644613764,0.9820001779592463,0.9840077451273087,0.7624255044753493,0.7569476471116526,0.7415219870982079,0.7389503794463049,0.7464663258433343,0.752088813182163,0.7194048115218026,0.7198924660614673,0.7377300782016663,0.7193469549766719,0.7260205856457393,0.7239235925805303,0.7196288939151941,0.7136113738878196,0.7150131982988196,0.7138176775117365,0.6833567740027627,0.6504326270327425,0.7169276410191037,0.7083272534654863,0.6738556782976519,0.6501878002279436,0.7209458586870096,0.7010378492271807,0.7769932797164663,0.7680085432838791,0.7868106575617996,0.781238998126635,0.7627038616948891,0.7492551375341462,0.7717266153563606,0.7665431733584275,0.8065013224007381,0.7900840923607472,0.8049537995806452,0.7999911389388066,0.7911750097126679,0.7746953338352003,0.7938789376090832,0.7836371162775382,0.8149013314151969,0.8037878936289545,0.8153970424215985,0.8166331900396148,0.7935062470240222,0.7820003991307455,0.7916893462329979,0.7917763110810794
MHI_P90_3D__month_pm7,0.9770006482930588,0.9827850538334721,0.9629255672043984,0.9620514598875527,0.9895403644613764,1.0,0.9748258029354173,0.9790163942940922,0.7658391612518066,0.7618003616266632,0.748748324134361,0.7427763523200751,0.759845209688142,0.765999216425789,0.736628479110168,0.7341304023683691,0.7451644186469936,0.7255594511218801,0.7326808697174697,0.7289059659385029,0.7367856102566644,0.7286445197290996,0.7297015551501664,0.7258210863697937,0.6895918638318241,0.6548162784446868,0.7213827512757954,0.7107170503242568,0.6864184503574142,0.6622012139427813,0.7354530833701026,0.7132634783413796,0.7753108787411315,0.7759273936552292,0.7835471761072204,0.7786999685971417,0.761849733455074,0.7564959121125275,0.7694222989314794,0.7652108371011239,0.8062639313176377,0.7998015049089606,0.8033729660065143,0.7997587004435509,0.7899206234145943,0.7844935904113806,0.7926785641988738,0.7845255174115786,0.8177190198074009,0.8142208771833844,0.8179183137163265,0.8195512068325408,0.7946326633722443,0.7918294652119893,0.7958485415440387,0.7966317734246761
MHI_P90_3D__w05,0.9734813283453412,0.966852646389637,0.9818038916322015,0.9763603309421394,0.9820001779592463,0.9748258029354173,1.0,0.9928585225307668,0.7554301578485014,0.7489652685107594,0.7331697084258982,0.7293848670909934,0.7396669453917131,0.7428271491044082,0.7146418839426164,0.7127916275624608,0.7279990084349431,0.7127217043989994,0.7177889871913838,0.7171249408003877,0.7073764762273169,0.7036290067892867,0.7061016936787666,0.7055474318216061,0.677973809771311,0.6471581085603886,0.7113563834281263,0.7031338538529052,0.6701702301356459,0.6498980858617895,0.71313136983106,0.6977831320410999,0.7996654038634198,0.7885961087194236,0.8124447216236081,0.806305533618948,0.782083496986968,0.7672553659885019,0.7969607699189842,0.7922069790815728,0.8255025472011565,0.8069617078436873,0.8325348593961189,0.8267728212292836,0.8094503680197367,0.7912915639900044,0.8228742132117003,0.8125655312974324,0.8365913968519479,0.8210259556501862,0.8401994342098756,0.8408067689229904,0.8192638448973745,0.803784712878051,0.8182879400329012,0.8181308545148339
MHI_P90_3D__w15,0.9747563228013111,0.9693397876027522,0.9796547717929063,0.9790902874963947,0.9840077451273087,0.9790163942940922,0.9928585225307668,1.0,0.7545098885334898,0.7484501126887082,0.7306011972744221,0.7271447871341257,0.7399208579365351,0.7436561411144061,0.7129963499332777,0.7118308099568557,0.7294710746359677,0.7135098637497056,0.7181720166711515,0.7159316267137954,0.7091702701911407,0.704223954519007,0.7070955895163638,0.7055979067035675,0.678544613428172,0.6482450167788196,0.7123790647126719,0.7046634524541086,0.6716053379536887,0.6512779605739832,0.7171123661842929,0.7006431769167324,0.7973831176847164,0.7862815340769894,0.8085082116167188,0.802646716890864,0.7808307458802244,0.7659062153399314,0.7929157653682108,0.7894447961515487,0.8241554115806845,0.805888350520604,0.8284680974595909,0.8230641384481411,0.8097647801254841,0.7914848430838898,0.8185833142420046,0.8094045276380176,0.8335575795181158,0.8199111170375453,0.837523757253439,0.837947272061516,0.8156663441230978,0.8028740801670954,0.8139524324667888,0.813916730983913
TMAX_P85_2D__month,0.7523579784620912,0.7567367614217223,0.7464491809065698,0.7410031072253187,0.7624255044753493,0.7658391612518066,0.7554301578485014,0.7545098885334898,1.0,0.991774719582668,0.987107898348395,0.987662853378805,0.968425658517885,0.969896232351378,0.9488449684757608,0.9536846668789801,0.9765684930169376,0.9702711990465708,0.9759650785967552,0.977014204712983,0.9341910523604892,0.9357566543690453,0.9351803369688666,0.9364519863643661,0.936853768556227,0.9158561293891979,0.9497686314875693,0.9438525893311335,0.8987455286434561,0.8806226853299324,0.923820833333159,0.9103896502590968,0.41648625764034386,0.4268996597732408,0.42761272549499374,0.42921154910650056,0.3894998529010539,0.39260828587375185,0.40943094491860405,0.41229255368851436,0.46704833972191967,0.4713047630203436,0.47845683641325304,0.47978668344257625,0.44969902552140967,0.4590073594761814,0.47366400439676,0.4714973335362568,0.5388983562459497,0.538579442558099,0.5334459280205648,0.5508068120433166,0.5222699928711491,0.5224610054741128,0.5209636158606051,0.5283892691604859
TMAX_P85_2D__month_pm7,0.7508521982065076,0.7564615052302252,0.7441213297105318,0.7392995140367322,0.7569476471116526,0.7618003616266632,0.7489652685107594,0.7484501126887082,0.991774719582668,1.0,0.9818978587297165,0.9852186320106212,0.9526416850452293,0.9669884864350494,0.9331360207075617,0.9391506421454655,0.9760708760040212,0.9755298117912673,0.972639581740552,0.9740120241103227,0.9228010188933501,0.9283364042327392,0.9190503958064146,0.9204925434127891,0.935963855059625,0.9197211043782817,0.9466084171759738,0.941942397397619,0.8892792266311665,0.8752716081438513,0.9095894158696364,0.8994119327670659,0.4025003652712706,0.4102460357595751,0.4148460903175007,0.41550407924416705,0.3753934849422806,0.3751365095443546,0.3958950085588806,0.39824715547579864,0.45496278045748506,0.4562733668026968,0.46598948639931087,0.4667258261467318,0.4360575007819951,0.4426245895548302,0.46000078361362307,0.45646917098436424,0.5256840289472686,0.5246251206513864,0.518689124019769,0.537088361245204,0.5070405284416145,0.5064554180815303,0.503963040450758,0.5127635314097271
