run_id,definition_id,def_number,user_item,metric,metric_label,percentile,min_duration,window_key,window_label,window_order,counties_total,counties_with_any_heatwave_day,heatwave_days_QA_pooled,heatwave_events_QA_pooled,per_county_heatwave_days_median,per_county_heatwave_days_q25,per_county_heatwave_days_q75,per_county_heatwave_days_min,per_county_heatwave_days_max,event_duration_median_days,event_duration_q75_days,event_duration_max_days,pct_heatwave_days_jun_sep,pct_heatwave_days_imputed,artifact_county_days_set_missing,artifact_handling,baseline,season,absolute_floor,comparison_op,analysis_years,runtime_seconds
TMAX_P85_3D__month_pm7,TMAX_P85_3D,12,10,TMAX,daily maximum temperature,85,3,month_pm7,calendar month +/- 7 days,4,254,254,115678,22874,433.5,371.25,526.0,101,912,4.0,6.0,69,41.45,16.53,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.9
TMAX_P90_2D__w05,TMAX_P90_2D,3,1,TMAX,daily maximum temperature,90,2,w05,centered 5-day window (+/-2 days),1,254,254,114603,31963,432.5,366.75,524.5,125,956,3.0,4.0,48,36.81,15.24,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.4
TMAX_P90_2D__w15,TMAX_P90_2D,3,1,TMAX,daily maximum temperature,90,2,w15,centered 15-day window (+/-7 days),2,254,254,108359,30503,403.0,341.25,497.5,114,919,3.0,4.0,47,37.6,15.25,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.3
TMAX_P90_2D__month,TMAX_P90_2D,3,1,TMAX,daily maximum temperature,90,2,month,calendar-month bucket,3,254,254,106769,29755,403.5,340.5,485.0,104,853,3.0,4.0,48,36.78,15.25,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,3.2
TMAX_P90_2D__month_pm7,TMAX_P90_2D,3,1,TMAX,daily maximum temperature,90,2,month_pm7,calendar month +/- 7 days,4,254,254,97478,27589,370.5,309.25,438.75,73,766,3.0,4.0,48,38.54,15.15,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.8
TMAX_P90_3D__w05,TMAX_P90_3D,10,8,TMAX,daily maximum temperature,90,3,w05,centered 5-day window (+/-2 days),1,254,254,85949,17636,314.0,253.25,399.75,63,782,4.0,5.0,48,41.38,15.66,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.4
TMAX_P90_3D__w15,TMAX_P90_3D,10,8,TMAX,daily maximum temperature,90,3,w15,centered 15-day window (+/-7 days),2,254,254,80755,16701,297.5,239.25,373.75,59,747,4.0,5.0,47,42.52,15.69,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.5
TMAX_P90_3D__month,TMAX_P90_3D,10,8,TMAX,daily maximum temperature,90,3,month,calendar-month bucket,3,254,254,80451,16596,299.0,238.25,375.5,49,715,4.0,5.0,48,41.03,15.7,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.1
TMAX_P90_3D__month_pm7,TMAX_P90_3D,10,8,TMAX,daily maximum temperature,90,3,month_pm7,calendar month +/- 7 days,4,254,254,72426,15063,270.5,216.25,337.75,41,636,4.0,5.0,48,43.64,15.69,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.0
TMAX_P95_2D__w05,TMAX_P95_2D,7,5,TMAX,daily maximum temperature,95,2,w05,centered 5-day window (+/-2 days),1,254,254,62917,19095,235.0,187.0,296.5,34,556,3.0,4.0,46,37.82,14.36,0,not_applicable_metric_independent_of_rh,walk_forward_1979_to_Yminus1,year_round,none,>,2015-2025,2.2
