axis,run_a,run_b,definition_a,definition_b,value_a,value_b,metric,percentile,min_duration,window
window,TMIN_P90_3D__w15,TMIN_P90_3D__month_pm7,TMIN_P90_3D,TMIN_P90_3D,w15,month_pm7,TMIN,90,3,
percentile,TMIN_P90_3D__w15,TMIN_P85_3D__w15,TMIN_P90_3D,TMIN_P85_3D,90,85,TMIN,,3,w15
percentile,TMIN_P90_3D__w15,TMIN_P95_3D__w15,TMIN_P90_3D,TMIN_P95_3D,90,95,TMIN,,3,w15
metric,TMIN_P90_3D__w15,MHI_P90_3D__w15,TMIN_P90_3D,MHI_P90_3D,TMIN,MHI,,90,3,w15
window,TMIN_P90_3D__month,TMIN_P90_3D__month_pm7,TMIN_P90_3D,TMIN_P90_3D,month,month_pm7,TMIN,90,3,
percentile,TMIN_P90_3D__month,TMIN_P85_3D__month,TMIN_P90_3D,TMIN_P85_3D,90,85,TMIN,,3,month
percentile,TMIN_P90_3D__month,TMIN_P95_3D__month,TMIN_P90_3D,TMIN_P95_3D,90,95,TMIN,,3,month
metric,TMIN_P90_3D__month,MHI_P90_3D__month,TMIN_P90_3D,MHI_P90_3D,TMIN,MHI,,90,3,month
percentile,TMIN_P90_3D__month_pm7,TMIN_P85_3D__month_pm7,TMIN_P90_3D,TMIN_P85_3D,90,85,TMIN,,3,month_pm7
percentile,TMIN_P90_3D__month_pm7,TMIN_P95_3D__month_pm7,TMIN_P90_3D,TMIN_P95_3D,90,95,TMIN,,3,month_pm7
metric,TMIN_P90_3D__month_pm7,MHI_P90_3D__month_pm7,TMIN_P90_3D,MHI_P90_3D,TMIN,MHI,,90,3,month_pm7
window,TMAX_P85_3D__w05,TMAX_P85_3D__w15,TMAX_P85_3D,TMAX_P85_3D,w05,w15,TMAX,85,3,
window,TMAX_P85_3D__w05,TMAX_P85_3D__month,TMAX_P85_3D,TMAX_P85_3D,w05,month,TMAX,85,3,
