run_id,quantity,rebuilt,pipeline_published,result,note,checked_utc
TMAX_P90_3D__month,heatwave_events,16596,16596,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P90_2D__month_pm7,heatwave_days,97478,97478,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P90_2D__month_pm7,heatwave_events,27589,27589,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P90_3D__month_pm7,heatwave_days,72426,72426,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P90_3D__month_pm7,heatwave_events,15063,15063,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P90_2D__w05,heatwave_days,114603,114603,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P90_2D__w05,heatwave_events,31963,31963,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P90_3D__w05,heatwave_days,85949,85949,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P90_3D__w05,heatwave_events,17636,17636,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P90_2D__w15,heatwave_days,108359,108359,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P90_2D__w15,heatwave_events,30503,30503,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P90_3D__w15,heatwave_days,80755,80755,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P90_3D__w15,heatwave_events,16701,16701,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P95_2D__month,heatwave_days,55270,55270,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P95_2D__month,heatwave_events,16898,16898,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P95_3D__month,heatwave_days,38426,38426,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P95_3D__month,heatwave_events,8476,8476,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P95_2D__month_pm7,heatwave_days,48059,48059,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P95_2D__month_pm7,heatwave_events,14880,14880,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P95_3D__month_pm7,heatwave_days,32851,32851,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P95_3D__month_pm7,heatwave_events,7276,7276,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P95_2D__w05,heatwave_days,62917,62917,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P95_2D__w05,heatwave_events,19095,19095,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P95_3D__w05,heatwave_days,43977,43977,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P95_3D__w05,heatwave_events,9625,9625,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P95_2D__w15,heatwave_days,56576,56576,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P95_2D__w15,heatwave_events,17405,17405,PASS,QA pooled events,2026-07-30T18:32:57Z
TMAX_P95_3D__w15,heatwave_days,38876,38876,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMAX_P95_3D__w15,heatwave_events,8555,8555,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P85_2D__month,heatwave_days,182251,182251,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P85_2D__month,heatwave_events,47608,47608,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P85_3D__month,heatwave_days,145237,145237,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P85_3D__month,heatwave_events,29101,29101,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P85_2D__month_pm7,heatwave_days,174134,174134,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P85_2D__month_pm7,heatwave_events,45727,45727,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P85_3D__month_pm7,heatwave_days,138124,138124,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P85_3D__month_pm7,heatwave_events,27722,27722,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P85_2D__w05,heatwave_days,187198,187198,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P85_2D__w05,heatwave_events,49657,49657,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P85_3D__w05,heatwave_days,148116,148116,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P85_3D__w05,heatwave_events,30116,30116,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P85_2D__w15,heatwave_days,181444,181444,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P85_2D__w15,heatwave_events,48193,48193,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P85_3D__w15,heatwave_days,143020,143020,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P85_3D__w15,heatwave_events,28981,28981,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P90_2D__month,heatwave_days,122363,122363,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P90_2D__month,heatwave_events,34419,34419,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P90_3D__month,heatwave_days,93161,93161,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P90_3D__month,heatwave_events,19818,19818,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P90_2D__month_pm7,heatwave_days,115028,115028,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P90_2D__month_pm7,heatwave_events,32499,32499,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P90_3D__month_pm7,heatwave_days,87272,87272,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P90_3D__month_pm7,heatwave_events,18621,18621,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P90_2D__w05,heatwave_days,127906,127906,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P90_2D__w05,heatwave_events,36636,36636,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P90_3D__w05,heatwave_days,95876,95876,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P90_3D__w05,heatwave_events,20621,20621,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P90_2D__w15,heatwave_days,121777,121777,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P90_2D__w15,heatwave_events,34951,34951,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P90_3D__w15,heatwave_days,91133,91133,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P90_3D__w15,heatwave_events,19629,19629,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P95_2D__month,heatwave_days,61903,61903,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P95_2D__month,heatwave_events,19193,19193,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P95_3D__month,heatwave_days,43309,43309,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P95_3D__month,heatwave_events,9896,9896,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P95_2D__month_pm7,heatwave_days,56590,56590,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P95_2D__month_pm7,heatwave_events,17579,17579,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P95_3D__month_pm7,heatwave_days,39412,39412,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P95_3D__month_pm7,heatwave_events,8990,8990,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P95_2D__w05,heatwave_days,67525,67525,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P95_2D__w05,heatwave_events,21010,21010,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P95_3D__w05,heatwave_days,47099,47099,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P95_3D__w05,heatwave_events,10797,10797,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P95_2D__w15,heatwave_days,61496,61496,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P95_2D__w15,heatwave_events,19215,19215,PASS,QA pooled events,2026-07-30T18:32:57Z
TMIN_P95_3D__w15,heatwave_days,42638,42638,PASS,QA pooled county-days,2026-07-30T18:32:57Z
TMIN_P95_3D__w15,heatwave_events,9786,9786,PASS,QA pooled events,2026-07-30T18:32:57Z
