year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,10390,253,3296
2016,15824,254,4105
2017,15946,254,4649
2018,14124,254,3761
2019,14698,254,3763
2020,13182,254,3714
2021,13239,254,3831
2022,17989,254,4247
2023,22184,254,5078
2024,20969,254,5569
2025,15589,254,3912
