year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,11936,253,3715
2016,16583,254,4266
2017,16897,254,4980
2018,15810,254,4537
2019,15751,254,3850
2020,15051,254,4354
2021,13459,254,3927
2022,19030,254,4648
2023,23599,254,5541
2024,22830,254,5916
2025,16252,254,4186
