year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,11288,253,3527
2016,16672,254,4270
2017,16770,254,4818
2018,14763,254,3896
2019,15409,254,3895
2020,13777,254,3913
2021,13819,254,3962
2022,18566,254,4413
2023,22906,254,5270
2024,21937,254,5822
2025,16344,254,4031
