county_fips,year,classified_dates,events_started
48001,2015,64,13
48001,2016,52,10
48001,2017,45,11
48001,2018,71,10
48001,2019,38,7
48001,2020,41,10
48001,2021,46,10
48001,2022,107,14
48001,2023,97,16
48001,2024,64,13
48001,2025,80,13
48003,2015,45,10
48003,2016,42,9
48003,2017,57,12
48003,2018,46,7
48003,2019,38,10
48003,2020,62,15
48003,2021,41,10
48003,2022,42,10
48003,2023,78,13
48003,2024,33,8
48003,2025,45,10
48005,2015,65,13
48005,2016,74,16
48005,2017,46,11
48005,2018,63,9
48005,2019,37,8
48005,2020,64,16
48005,2021,65,15
48005,2022,112,15
48005,2023,126,15
48005,2024,63,14
48005,2025,87,14
48007,2015,51,12
48007,2016,112,21
48007,2017,144,27
48007,2018,52,8
48007,2019,63,11
48007,2020,132,26
48007,2021,52,12
48007,2022,138,17
48007,2023,179,13
48007,2024,176,20
48007,2025,172,22
48009,2015,36,8
48009,2016,40,9
48009,2017,35,8
48009,2018,39,9
48009,2019,31,7
48009,2020,34,10
48009,2021,38,8
48009,2022,88,15
48009,2023,98,17
48009,2024,72,15
48009,2025,53,11
48011,2015,56,12
48011,2016,71,15
48011,2017,63,13
48011,2018,58,12
48011,2019,56,12
48011,2020,81,16
48011,2021,53,13
48011,2022,104,20
48011,2023,113,21
48011,2024,118,22
48011,2025,65,14
48013,2015,36,6
48013,2016,53,11
48013,2017,82,18
48013,2018,58,10
48013,2019,67,10
48013,2020,75,16
48013,2021,47,11
48013,2022,119,11
48013,2023,124,15
48013,2024,80,15
48013,2025,86,14
48015,2015,35,7
48015,2016,33,8
48015,2017,50,12
48015,2018,49,10
48015,2019,36,7
48015,2020,30,7
48015,2021,23,5
48015,2022,88,10
48015,2023,122,14
48015,2024,62,12
48015,2025,87,13
48017,2015,30,8
48017,2016,41,10
48017,2017,48,9
48017,2018,44,9
48017,2019,34,8
48017,2020,68,12
48017,2021,44,10
48017,2022,50,10
48017,2023,82,19
48017,2024,74,17
48017,2025,51,9
48019,2015,54,11
48019,2016,63,13
48019,2017,86,17
48019,2018,52,7
48019,2019,55,9
48019,2020,71,16
48019,2021,18,5
48019,2022,94,14
48019,2023,111,13
48019,2024,80,12
48019,2025,90,12
48021,2015,34,7
48021,2016,44,10
48021,2017,68,16
48021,2018,47,8
48021,2019,50,9
48021,2020,47,11
48021,2021,31,7
48021,2022,94,11
48021,2023,126,16
48021,2024,96,16
48021,2025,107,19
48023,2015,43,9
48023,2016,45,11
48023,2017,46,10
48023,2018,45,9
48023,2019,28,5
48023,2020,43,12
48023,2021,42,8
48023,2022,93,14
48023,2023,102,15
48023,2024,90,15
48023,2025,71,14
48025,2015,12,3
48025,2016,38,8
48025,2017,57,14
48025,2018,46,8
48025,2019,38,7
48025,2020,84,19
48025,2021,37,8
48025,2022,66,8
48025,2023,151,15
48025,2024,77,16
48025,2025,99,18
48027,2015,40,10
48027,2016,43,10
48027,2017,59,14
48027,2018,63,8
48027,2019,52,9
48027,2020,50,12
48027,2021,31,6
48027,2022,110,13
48027,2023,124,19
48027,2024,88,19
48027,2025,80,17
48029,2015,58,10
48029,2016,67,15
48029,2017,91,17
48029,2018,55,8
48029,2019,54,8
48029,2020,68,16
48029,2021,35,7
48029,2022,108,16
48029,2023,126,14
48029,2024,97,18
48029,2025,100,19
48031,2015,49,11
48031,2016,25,7
48031,2017,60,16
48031,2018,48,7
48031,2019,55,8
48031,2020,50,12
48031,2021,50,10
48031,2022,153,20
48031,2023,148,15
48031,2024,119,17
48031,2025,102,15
48033,2015,37,9
48033,2016,34,7
48033,2017,28,6
48033,2018,36,8
48033,2019,28,6
48033,2020,50,11
48033,2021,32,7
48033,2022,51,9
48033,2023,72,14
48033,2024,62,14
48033,2025,50,13
48035,2015,30,7
48035,2016,37,9
48035,2017,25,7
48035,2018,46,9
48035,2019,31,6
48035,2020,21,6
48035,2021,28,5
48035,2022,107,18
48035,2023,108,16
48035,2024,56,12
48035,2025,59,11
48037,2015,49,10
48037,2016,69,13
48037,2017,45,10
48037,2018,72,9
48037,2019,41,6
48037,2020,25,7
48037,2021,43,9
48037,2022,90,16
48037,2023,66,14
48037,2024,62,14
48037,2025,64,11
48039,2015,67,10
48039,2016,103,19
48039,2017,95,19
48039,2018,92,15
48039,2019,52,11
48039,2020,86,20
48039,2021,32,7
48039,2022,73,13
48039,2023,155,16
48039,2024,87,17
48039,2025,65,12
48041,2015,25,4
48041,2016,29,6
48041,2017,32,7
48041,2018,30,7
48041,2019,37,8
48041,2020,53,14
48041,2021,37,9
48041,2022,126,16
48041,2023,142,14
48041,2024,76,15
48041,2025,72,14
48043,2015,43,8
48043,2016,55,12
48043,2017,60,13
48043,2018,47,10
48043,2019,44,10
48043,2020,69,12
48043,2021,62,14
48043,2022,61,9
48043,2023,95,13
48043,2024,85,17
48043,2025,48,8
48045,2015,34,8
48045,2016,39,11
48045,2017,40,10
48045,2018,44,9
48045,2019,49,10
48045,2020,63,14
48045,2021,53,13
48045,2022,82,17
48045,2023,88,20
48045,2024,100,17
48045,2025,47,10
48047,2015,12,3
48047,2016,34,10
48047,2017,51,13
48047,2018,12,3
48047,2019,32,7
48047,2020,24,7
48047,2021,24,5
48047,2022,23,5
48047,2023,91,11
48047,2024,31,7
48047,2025,37,6
48049,2015,51,11
48049,2016,36,8
48049,2017,39,9
48049,2018,46,7
48049,2019,44,5
48049,2020,34,9
48049,2021,36,7
48049,2022,82,13
48049,2023,88,15
48049,2024,46,9
48049,2025,50,11
48051,2015,45,8
48051,2016,69,12
48051,2017,65,14
48051,2018,64,11
48051,2019,75,8
48051,2020,35,10
48051,2021,28,6
48051,2022,91,14
48051,2023,93,17
48051,2024,50,9
48051,2025,57,11
48053,2015,64,12
48053,2016,65,14
48053,2017,62,15
48053,2018,69,11
48053,2019,57,6
48053,2020,62,15
48053,2021,47,9
48053,2022,115,16
48053,2023,135,13
48053,2024,103,16
48053,2025,77,13
48055,2015,53,9
48055,2016,65,15
48055,2017,77,16
48055,2018,70,7
48055,2019,69,10
48055,2020,91,18
48055,2021,37,8
48055,2022,129,15
48055,2023,133,13
48055,2024,114,19
48055,2025,124,21
48057,2015,33,8
48057,2016,56,11
48057,2017,70,14
48057,2018,40,7
48057,2019,39,9
48057,2020,83,18
48057,2021,35,7
48057,2022,93,14
48057,2023,169,15
48057,2024,118,19
48057,2025,132,20
48059,2015,53,11
48059,2016,38,9
48059,2017,35,8
48059,2018,47,11
48059,2019,42,8
48059,2020,46,11
48059,2021,40,8
48059,2022,106,18
48059,2023,95,18
48059,2024,69,15
48059,2025,59,13
48061,2015,31,6
48061,2016,111,17
48061,2017,139,29
48061,2018,115,20
48061,2019,111,19
48061,2020,121,22
48061,2021,72,16
48061,2022,84,12
48061,2023,166,12
48061,2024,91,13
48061,2025,89,14
48063,2015,101,21
48063,2016,76,14
48063,2017,42,11
48063,2018,61,9
48063,2019,37,7
48063,2020,23,7
48063,2021,34,7
48063,2022,103,15
48063,2023,86,17
48063,2024,60,14
48063,2025,52,9
48065,2015,41,10
48065,2016,39,9
48065,2017,45,12
48065,2018,52,10
48065,2019,43,11
48065,2020,62,12
48065,2021,47,11
48065,2022,87,20
48065,2023,99,19
48065,2024,101,20
48065,2025,58,12
48067,2015,72,15
48067,2016,53,12
48067,2017,36,10
48067,2018,34,7
48067,2019,40,5
