county_fips,year,month,classified_dates
48023,2023,7,13
48023,2023,8,24
48023,2023,9,13
48023,2024,6,7
48023,2024,7,3
48023,2024,8,14
48023,2024,9,6
48025,2016,9,5
48025,2017,6,3
48025,2018,6,9
48025,2019,8,14
48025,2019,9,3
48025,2020,7,4
48025,2020,8,3
48025,2020,9,4
48025,2021,9,4
48025,2022,6,19
48025,2022,7,5
48025,2023,6,19
48025,2023,7,25
48025,2023,8,21
48025,2023,9,26
48025,2024,6,5
48025,2024,8,3
48025,2025,7,2
48025,2025,8,7
48025,2025,9,1
48027,2015,8,5
48027,2016,9,5
48027,2017,6,3
48027,2017,7,7
48027,2017,9,3
48027,2018,6,19
48027,2018,7,16
48027,2019,8,4
48027,2019,9,20
48027,2020,7,8
48027,2020,8,10
48027,2020,9,1
48027,2021,9,3
48027,2022,6,23
48027,2022,7,26
48027,2022,8,4
48027,2022,9,6
48027,2023,6,15
48027,2023,7,21
48027,2023,8,27
48027,2023,9,19
48027,2024,8,6
48027,2024,9,8
48027,2025,9,3
48029,2015,8,9
48029,2015,9,4
48029,2016,7,16
48029,2016,8,3
48029,2016,9,4
48029,2017,7,11
48029,2017,9,3
48029,2018,6,14
48029,2018,7,9
48029,2019,8,9
48029,2019,9,15
48029,2020,7,6
48029,2020,8,4
48029,2021,9,5
48029,2022,6,19
48029,2022,7,20
48029,2022,8,3
48029,2022,9,3
48029,2023,6,10
48029,2023,7,15
48029,2023,8,28
48029,2023,9,24
48029,2024,6,7
48029,2024,8,6
48029,2024,9,8
48029,2025,7,2
48029,2025,8,5
48029,2025,9,6
48031,2015,8,6
48031,2015,9,3
48031,2017,6,3
48031,2017,9,3
48031,2018,6,6
48031,2018,7,10
48031,2019,8,6
48031,2019,9,17
48031,2020,7,10
48031,2020,8,6
48031,2021,9,4
48031,2022,6,24
48031,2022,7,30
48031,2022,8,8
48031,2022,9,11
48031,2023,6,19
48031,2023,7,25
48031,2023,8,29
48031,2023,9,23
48031,2024,6,3
48031,2024,8,14
48031,2024,9,11
48031,2025,9,3
48033,2015,8,5
48033,2016,7,4
48033,2017,9,9
48033,2018,6,6
48033,2018,7,6
48033,2019,8,11
48033,2020,6,2
48033,2020,7,10
48033,2020,8,13
48033,2022,6,4
48033,2022,7,12
48033,2022,8,4
48033,2023,6,9
48033,2023,7,8
48033,2023,8,17
48033,2023,9,10
48033,2024,6,7
48033,2024,8,13
48033,2025,8,3
48033,2025,9,3
48035,2015,8,4
48035,2018,6,7
48035,2018,7,8
48035,2019,9,7
48035,2020,8,3
48035,2022,6,18
48035,2022,7,15
48035,2022,8,3
48035,2022,9,6
48035,2023,6,10
48035,2023,7,16
48035,2023,8,27
48035,2023,9,16
48035,2024,8,5
48037,2015,6,3
48037,2015,8,6
48037,2016,6,3
48037,2016,7,5
48037,2016,8,3
48037,2016,9,7
48037,2017,9,5
48037,2018,6,13
48037,2018,7,7
48037,2018,9,6
48037,2019,9,18
48037,2021,6,4
48037,2022,6,9
48037,2022,7,22
48037,2022,9,7
48037,2023,8,17
48037,2023,9,4
48037,2024,6,6
48037,2024,9,3
48037,2025,9,7
48039,2015,7,12
48039,2015,8,14
48039,2016,6,8
48039,2016,7,15
48039,2016,8,6
48039,2016,9,9
48039,2017,7,3
48039,2017,9,5
48039,2018,6,8
48039,2018,7,4
48039,2018,8,3
48039,2018,9,3
48039,2019,6,8
48039,2019,7,3
48039,2019,8,3
48039,2019,9,6
48039,2020,6,5
48039,2020,7,6
48039,2020,8,3
48039,2020,9,3
48039,2021,6,5
48039,2022,6,17
48039,2022,7,6
48039,2022,9,5
48039,2023,6,14
48039,2023,7,19
48039,2023,8,30
48039,2023,9,23
48039,2024,8,8
48039,2024,9,11
48041,2015,8,3
48041,2018,6,3
48041,2019,9,6
48041,2020,7,3
48041,2021,6,3
48041,2022,6,25
48041,2022,7,27
48041,2022,8,10
48041,2022,9,6
48041,2023,6,10
48041,2023,7,22
48041,2023,8,30
48041,2023,9,26
48041,2024,9,7
48041,2025,6,3
48043,2015,8,11
48043,2015,9,8
48043,2016,7,11
48043,2016,8,3
48043,2017,6,5
48043,2018,6,3
48043,2018,7,5
48043,2018,8,5
48043,2019,8,19
48043,2020,7,10
48043,2020,8,17
48043,2020,9,1
48043,2021,6,6
48043,2021,9,4
48043,2022,6,8
48043,2022,7,5
48043,2022,8,3
48043,2023,6,17
48043,2023,7,13
48043,2023,8,16
48043,2023,9,18
48043,2024,6,6
48043,2024,7,2
48043,2024,8,11
48043,2024,9,5
48045,2015,9,3
48045,2016,7,4
48045,2016,8,5
48045,2017,9,4
48045,2018,6,7
48045,2018,7,7
48045,2019,7,4
48045,2019,8,14
48045,2019,9,4
48045,2020,6,2
48045,2020,7,12
48045,2020,8,11
48045,2020,9,3
48045,2021,6,6
48045,2021,9,4
48045,2022,6,11
