state,run_id,definition_id,metric,percentile,minimum_duration,window,event_id,county_fips,county_name,climate_division,start_date,end_date,event_duration_days,months_touched,event_crosses_month,event_crosses_year,peak_day_date,peak_metric_value,peak_day_threshold_value,days_in_event,imputed_days_in_event,pct_event_days_imputed,temperature_imputation_pct,fully_imputed_county,data_complete,review_reason,disposition
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_115_2022_011_TMIN_P85_2D,48115,Dawson,High Plains,2022-07-16,2022-08-11,27,2,True,False,2022-07-20,77.97,69.98,27,27,100.0,65.2,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_129_2019_015_TMIN_P85_2D,48129,Donley,Low Rolling Plains,2019-09-07,2019-10-03,27,2,True,False,2019-09-10,69.16,64.94,27,27,100.0,76.8,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_259_2019_014_TMIN_P85_2D,48259,Kendall,Edwards Plateau,2019-08-06,2019-09-01,27,2,True,False,2019-08-27,77.99,73.04,27,0,0.0,0.8,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_285_2023_020_TMIN_P85_2D,48285,Lavaca,South Central,2023-08-03,2023-08-29,27,1,False,False,2023-08-09,82.94,75.92,27,0,0.0,0.8,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_2D__w15,TMIN_P85_2D,TMIN,85,2,w15,48_377_2024_015_TMIN_P85_2D,48377,Presidio,Trans-Pecos,2024-10-09,2024-11-04,27,2,True,False,2024-10-22,69.08,56.94,27,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_115_2022_008_TMIN_P85_3D,48115,Dawson,High Plains,2022-07-16,2022-08-11,27,2,True,False,2022-07-20,77.97,69.98,27,27,100.0,65.2,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_129_2019_008_TMIN_P85_3D,48129,Donley,Low Rolling Plains,2019-09-07,2019-10-03,27,2,True,False,2019-09-10,69.16,64.94,27,27,100.0,76.8,False,False,long event AND >=50% imputed days,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_259_2019_009_TMIN_P85_3D,48259,Kendall,Edwards Plateau,2019-08-06,2019-09-01,27,2,True,False,2019-08-27,77.99,73.04,27,0,0.0,0.8,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_285_2023_014_TMIN_P85_3D,48285,Lavaca,South Central,2023-08-03,2023-08-29,27,1,False,False,2023-08-09,82.94,75.92,27,0,0.0,0.8,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P85_3D__w15,TMIN_P85_3D,TMIN,85,3,w15,48_377_2024_011_TMIN_P85_3D,48377,Presidio,Trans-Pecos,2024-10-09,2024-11-04,27,2,True,False,2024-10-22,69.08,56.94,27,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P90_2D__w15,TMIN_P90_2D,TMIN,90,2,w15,48_377_2024_013_TMIN_P90_2D,48377,Presidio,Trans-Pecos,2024-10-09,2024-11-04,27,2,True,False,2024-10-22,69.08,58.46,27,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,TMIN_P90_3D__w15,TMIN_P90_3D,TMIN,90,3,w15,48_377_2024_010_TMIN_P90_3D,48377,Presidio,Trans-Pecos,2024-10-09,2024-11-04,27,2,True,False,2024-10-22,69.08,58.46,27,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,MHI_P85_2D__w15,MHI_P85_2D,MHI,85,2,w15,48_377_2024_014_MHI_P85_2D,48377,Presidio,Trans-Pecos,2024-10-09,2024-11-03,26,2,True,False,2024-10-22,82.11,70.36,26,0,0.0,2.2,False,True,long event,"RETAINED - flagged for review, not deleted"
TX,MHI_P85_2D__w15,MHI_P85_2D,MHI,85,2,w15,48_489_2023_011_MHI_P85_2D,48489,Willacy,Lower Valley,2023-06-11,2023-07-06,26,2,True,False,2023-06-22,108.81,95.19,26,0,0.0,30.0,False,False,long event,"RETAINED - flagged for review, not deleted"
TX,TMAX_P85_2D__w15,TMAX_P85_2D,TMAX,85,2,w15,48_061_2023_009_TMAX_P85_2D,48061,Cameron,Lower Valley,2023-06-09,2023-07-04,26,2,True,False,2023-06-21,99.42,94.34,26,0,0.0,0.0,False,True,long event,"RETAINED - flagged for review, not deleted"
