year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,7093,252,2448
2016,10556,254,3099
2017,10129,254,3352
2018,7474,252,2565
2019,9070,253,2538
2020,8695,254,3015
2021,9077,254,2816
2022,11083,254,3311
2023,16655,254,4701
2024,15057,254,4536
2025,11913,254,3135
