year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,5434,249,1879
2016,9195,254,2830
2017,9461,254,3145
2018,6827,252,2036
2019,6943,252,2147
2020,6392,254,2185
2021,8070,254,2468
2022,9179,254,2936
2023,14933,254,4039
2024,12319,254,3712
2025,10729,254,3000
