year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,6359,251,2164
2016,10185,254,3118
2017,10568,254,3469
2018,7562,252,2213
2019,7921,253,2421
2020,7052,254,2412
2021,8925,254,2690
2022,10176,254,3205
2023,15795,254,4223
2024,13644,254,4091
2025,12147,254,3281
