year,heatwave_days_QA,counties_with_any,heatwave_events_QA
2015,6297,251,2191
2016,10171,254,3013
2017,9770,254,3283
2018,6862,251,2340
2019,8436,253,2346
2020,7894,254,2741
2021,8500,254,2639
2022,10429,254,3204
2023,16141,253,4551
2024,14563,254,4431
2025,11180,254,2948
