construct_id,baseline,role,literature_replication_status,positive_ehf_period_count,positive_period_longest_duration_days,thermal_support_event_count,thermal_support_longest_duration_days,benchmark_event_table,sensitivity_event_table,cross_family_comparable_events
EHF_TX_FIXED7914,fixed_1979_2014,benchmark,adapted_not_exact,38760,95,36456,97,ehf_positive_periods.csv,ehf_thermal_support_events.csv,False
EHF_TX_WALKFORWARD,walk_forward,candidate,adaptation,11169,94,10460,96,ehf_positive_periods.csv,ehf_thermal_support_events.csv,False
