county_fips,baseline,analysis_year,t95_c,expected_reference_days,n_reference_days,reference_day_completeness_fraction,n_distinct_reference_years,reference_imputed_day_count,reference_imputation_fraction,threshold_quality_flag
48009,walk_forward,2022.0,30.824071251979,15706,15706,1.0,43,5092,0.3242073093085445,ok
48009,walk_forward,2023.0,30.849999999999998,16071,16071,1.0,44,5457,0.3395557214859063,ok
48009,walk_forward,2024.0,30.877295260502304,16436,16436,1.0,45,5822,0.35422243854952545,ok
48009,walk_forward,2025.0,30.954183912720993,16802,16802,1.0,46,6188,0.36828948934650635,ok
48011,fixed_1979_2014,,27.799999999999997,13149,13149,1.0,36,5778,0.4394250513347023,ok
48011,walk_forward,2015.0,27.799999999999997,13149,13149,1.0,36,5778,0.4394250513347023,ok
48011,walk_forward,2016.0,27.799999999999997,13514,13514,1.0,37,6143,0.45456563563711705,ok
48011,walk_forward,2017.0,27.799999999999997,13880,13880,1.0,38,6509,0.4689481268011527,ok
48011,walk_forward,2018.0,27.799999999999997,14245,14245,1.0,39,6874,0.48255528255528257,ok
48011,walk_forward,2019.0,27.847645081012185,14610,14610,1.0,40,7239,0.49548254620123205,ok
48011,walk_forward,2020.0,27.87518941509033,14975,14975,1.0,41,7604,0.507779632721202,excessive_reference_imputation
48011,walk_forward,2021.0,27.91931018890771,15341,15341,1.0,42,7970,0.5195228472720161,excessive_reference_imputation
48011,walk_forward,2022.0,27.91789467867497,15706,15706,1.0,43,8335,0.5306889086973131,excessive_reference_imputation
48011,walk_forward,2023.0,27.985452174883463,16071,16071,1.0,44,8700,0.5413477692738473,excessive_reference_imputation
48011,walk_forward,2024.0,28.050000000000004,16436,16436,1.0,45,9065,0.5515332197614992,excessive_reference_imputation
48011,walk_forward,2025.0,28.099999813949715,16802,16802,1.0,46,9431,0.5613022259254851,excessive_reference_imputation
48013,fixed_1979_2014,,30.675000000000004,13149,13149,1.0,36,8,0.0006084112860293558,ok
48013,walk_forward,2015.0,30.675000000000004,13149,13149,1.0,36,8,0.0006084112860293558,ok
48013,walk_forward,2016.0,30.699999999999996,13514,13514,1.0,37,8,0.0005919786887672044,ok
48013,walk_forward,2017.0,30.699999999999996,13880,13880,1.0,38,8,0.0005763688760806917,ok
48013,walk_forward,2018.0,30.700000000000003,14245,14245,1.0,39,8,0.0005616005616005616,ok
48013,walk_forward,2019.0,30.721249999999998,14610,14610,1.0,40,8,0.0005475701574264203,ok
48013,walk_forward,2020.0,30.75,14975,14975,1.0,41,8,0.0005342237061769616,ok
48013,walk_forward,2021.0,30.81666666666667,15341,15341,1.0,42,8,0.000521478391239163,ok
48013,walk_forward,2022.0,30.800000000000004,15706,15706,1.0,43,8,0.0005093594804533299,ok
48013,walk_forward,2023.0,30.825000000000006,16071,16071,1.0,44,8,0.0004977910522058366,ok
48013,walk_forward,2024.0,30.849999999999998,16436,16436,1.0,45,8,0.0004867364322219518,ok
48013,walk_forward,2025.0,30.849999999999998,16802,16802,1.0,46,10,0.0005951672419950006,ok
48015,fixed_1979_2014,,29.750000000000007,13149,13149,1.0,36,1218,0.09263061829796942,ok
48015,walk_forward,2015.0,29.750000000000007,13149,13149,1.0,36,1218,0.09263061829796942,ok
48015,walk_forward,2016.0,29.750000000000007,13514,13514,1.0,37,1259,0.09316264614473879,ok
48015,walk_forward,2017.0,29.750000000000007,13880,13880,1.0,38,1295,0.09329971181556196,ok
48015,walk_forward,2018.0,29.750000000000007,14245,14245,1.0,39,1345,0.09441909441909442,ok
48015,walk_forward,2019.0,29.750000000000007,14610,14610,1.0,40,1408,0.09637234770704997,ok
48015,walk_forward,2020.0,29.750000000000007,14975,14975,1.0,41,1534,0.10243739565943238,ok
48015,walk_forward,2021.0,29.751087696013897,15341,15341,1.0,42,1621,0.1056645590248354,ok
48015,walk_forward,2022.0,29.750000000000007,15706,15706,1.0,43,1712,0.10900292881701261,ok
48015,walk_forward,2023.0,30.0,16071,16071,1.0,44,1773,0.11032294194511853,ok
48015,walk_forward,2024.0,30.0,16436,16436,1.0,45,1865,0.11347043076174251,ok
48015,walk_forward,2025.0,30.0,16802,16802,1.0,46,2030,0.12081895012498511,ok
48017,fixed_1979_2014,,26.816666666666663,13149,13149,1.0,36,21,0.0015970796258270592,ok
48017,walk_forward,2015.0,26.816666666666663,13149,13149,1.0,36,21,0.0015970796258270592,ok
48017,walk_forward,2016.0,26.800000000000004,13514,13514,1.0,37,21,0.0015539440580139114,ok
48017,walk_forward,2017.0,26.800000000000004,13880,13880,1.0,38,21,0.0015129682997118156,ok
48017,walk_forward,2018.0,26.799999999999997,14245,14245,1.0,39,21,0.0014742014742014742,ok
48017,walk_forward,2019.0,26.799999999999997,14610,14610,1.0,40,21,0.001437371663244353,ok
48017,walk_forward,2020.0,26.799999999999997,14975,14975,1.0,41,21,0.0014023372287145241,ok
48017,walk_forward,2021.0,26.800000000000004,15341,15341,1.0,42,21,0.0013688807770028029,ok
48017,walk_forward,2022.0,26.799999999999997,15706,15706,1.0,43,21,0.0013370686361899912,ok
48017,walk_forward,2023.0,26.816666666666663,16071,16071,1.0,44,21,0.0013067015120403211,ok
48017,walk_forward,2024.0,26.866666666666667,16436,16436,1.0,45,21,0.0012776831345826234,ok
48017,walk_forward,2025.0,26.899166666666652,16802,16802,1.0,46,21,0.0012498512081895012,ok
48019,fixed_1979_2014,,29.150000000000002,13149,13149,1.0,36,2244,0.1706593657312343,ok
48019,walk_forward,2015.0,29.150000000000002,13149,13149,1.0,36,2244,0.1706593657312343,ok
48019,walk_forward,2016.0,29.150000000000002,13514,13514,1.0,37,2245,0.16612401953529674,ok
48019,walk_forward,2017.0,29.150000000000002,13880,13880,1.0,38,2245,0.1617435158501441,ok
48019,walk_forward,2018.0,29.150000000000002,14245,14245,1.0,39,2245,0.1575991575991576,ok
48019,walk_forward,2019.0,29.200000000000003,14610,14610,1.0,40,2245,0.1536618754277892,ok
48019,walk_forward,2020.0,29.200000000000003,14975,14975,1.0,41,2245,0.14991652754590984,ok
48019,walk_forward,2021.0,29.200000000000003,15341,15341,1.0,42,2275,0.14829541750863698,ok
48019,walk_forward,2022.0,29.200000000000003,15706,15706,1.0,43,2275,0.1448491022539157,ok
48019,walk_forward,2023.0,29.200000000000003,16071,16071,1.0,44,2275,0.14155933047103478,ok
48019,walk_forward,2024.0,29.449999999999996,16436,16436,1.0,45,2276,0.1384765149671453,ok
48019,walk_forward,2025.0,29.449999999999996,16802,16802,1.0,46,2539,0.15111296274253064,ok
48021,fixed_1979_2014,,30.275000000000002,13149,13149,1.0,36,2,0.00015210282150733895,ok
48021,walk_forward,2015.0,30.275000000000002,13149,13149,1.0,36,2,0.00015210282150733895,ok
48021,walk_forward,2016.0,30.275000000000002,13514,13514,1.0,37,2,0.0001479946721918011,ok
48021,walk_forward,2017.0,30.275000000000002,13880,13880,1.0,38,2,0.00014409221902017292,ok
48021,walk_forward,2018.0,30.299999999999994,14245,14245,1.0,39,2,0.0001404001404001404,ok
48021,walk_forward,2019.0,30.349999999999998,14610,14610,1.0,40,2,0.00013689253935660506,ok
48021,walk_forward,2020.0,30.36666666666666,14975,14975,1.0,41,2,0.0001335559265442404,ok
48021,walk_forward,2021.0,30.36666666666666,15341,15341,1.0,42,2,0.00013036959780979076,ok
48021,walk_forward,2022.0,30.36666666666666,15706,15706,1.0,43,3,0.00019100980516999872,ok
48021,walk_forward,2023.0,30.412500000000005,16071,16071,1.0,44,7,0.000435567170680107,ok
48021,walk_forward,2024.0,30.477083333333336,16436,16436,1.0,45,10,0.0006084205402774398,ok
48021,walk_forward,2025.0,30.549999999999997,16802,16802,1.0,46,10,0.0005951672419950006,ok
48023,fixed_1979_2014,,31.25,13149,13149,1.0,36,52,0.003954673359190813,ok
48023,walk_forward,2015.0,31.25,13149,13149,1.0,36,52,0.003954673359190813,ok
48023,walk_forward,2016.0,31.25,13514,13514,1.0,37,52,0.0038478614769868287,ok
48023,walk_forward,2017.0,31.25,13880,13880,1.0,38,52,0.0037463976945244955,ok
48023,walk_forward,2018.0,31.224999999999998,14245,14245,1.0,39,52,0.00365040365040365,ok
48023,walk_forward,2019.0,31.25,14610,14610,1.0,40,52,0.003559206023271732,ok
48023,walk_forward,2020.0,31.25,14975,14975,1.0,41,52,0.0034724540901502504,ok
48023,walk_forward,2021.0,31.25,15341,15341,1.0,42,52,0.0033896095430545597,ok
48023,walk_forward,2022.0,31.22500000000001,15706,15706,1.0,43,52,0.0033108366229466445,ok
48023,walk_forward,2023.0,31.25,16071,16071,1.0,44,52,0.0032356418393379377,ok
48023,walk_forward,2024.0,31.375,16436,16436,1.0,45,52,0.003163786809442687,ok
48023,walk_forward,2025.0,31.375,16802,16802,1.0,46,52,0.003094869658374003,ok
48025,fixed_1979_2014,,30.400000000000002,13149,13149,1.0,36,283,0.021522549243288464,ok
48025,walk_forward,2015.0,30.400000000000002,13149,13149,1.0,36,283,0.021522549243288464,ok
48025,walk_forward,2016.0,30.300000000000004,13514,13514,1.0,37,292,0.02160722214000296,ok
48025,walk_forward,2017.0,30.300000000000004,13880,13880,1.0,38,302,0.02175792507204611,ok
48025,walk_forward,2018.0,30.300000000000004,14245,14245,1.0,39,308,0.021621621621621623,ok
48025,walk_forward,2019.0,30.300000000000004,14610,14610,1.0,40,308,0.02108145106091718,ok
