definition_A,definition_B,n_A_eligible_dates,n_B_eligible_dates,n_common_eligible_dates,eligibility_jaccard,fraction_A_eligible_also_eligible_B,fraction_B_eligible_also_eligible_A,n_classified_by_A,n_classified_by_B,n_classified_by_both,n_classified_by_either,n_A_only_positive,n_B_only_positive,jaccard_common_eligibility,matched_on,metric_isolating_claim
TMAX_P85_D2_W15,HIPROXY_P85_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,161001,159664,125157,195508,35844,34507,0.640163,percentile+min_duration+window,daily classification only; event-level differences are NOT claimed to isolate metric choice
TMAX_P90_D2_W15,HIPROXY_P90_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,108356,102725,77274,133807,31082,25451,0.577503,percentile+min_duration+window,daily classification only; event-level differences are NOT claimed to isolate metric choice
TMAX_P95_D2_W15,HIPROXY_P95_D2_W15_CONFEXCL,1020572,1020569,1020569,0.999997,0.999997,1.0,56574,48778,34659,70693,21915,14119,0.490275,percentile+min_duration+window,daily classification only; event-level differences are NOT claimed to isolate metric choice
